ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Xray-Th,Backscatter,SE-1588,DE-1631,SE-1631,Xray-NaI
2210,752.388,146.380,141.047,76.874,79.793,21.677,0.000,33.892,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.560,0.000,1.121,0.000
2211,752.728,143.046,140.688,76.795,80.022,21.718,0.000,33.266,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.558,0.000,1.120,0.000
2212,753.067,126.085,140.339,76.716,80.252,21.759,0.000,32.649,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.556,0.000,1.120,0.000
2213,753.406,149.566,139.998,76.637,80.483,21.797,0.000,32.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.554,0.000,1.119,0.000
2214,753.745,123.714,139.665,76.557,80.714,21.835,0.000,31.443,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.552,0.000,1.119,0.000
2215,754.084,132.972,139.342,76.478,80.947,21.871,0.000,30.853,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.549,0.000,1.118,0.000
2216,754.424,127.159,139.029,76.399,81.180,21.907,0.000,30.274,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.547,0.000,1.118,0.000
2217,754.763,120.381,138.724,76.319,81.414,21.940,0.000,29.705,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.545,0.000,1.117,0.000
2218,755.102,117.159,138.430,76.240,81.649,21.973,0.000,29.146,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.543,0.000,1.117,0.000
2219,755.441,122.047,138.145,76.161,81.885,22.004,0.000,28.597,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.540,0.000,1.116,0.000
2220,755.780,109.603,137.870,76.082,82.122,22.033,0.000,28.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.538,0.000,1.115,0.000
2221,756.119,128.640,137.606,76.002,82.359,22.061,0.000,27.531,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.536,0.000,1.115,0.000
2222,756.458,94.751,137.351,75.923,82.598,22.088,0.000,27.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.534,0.000,1.114,0.000
2223,756.797,135.381,137.107,75.844,82.837,22.113,0.000,26.509,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.531,0.000,1.114,0.000
2224,757.137,119.084,136.873,75.765,83.077,22.136,0.000,26.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.529,0.000,1.113,0.000
2225,757.476,153.603,136.650,75.685,83.318,22.158,0.000,25.531,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.527,0.000,1.113,0.000
2226,757.815,136.862,136.438,75.606,83.560,22.179,0.000,25.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.524,0.000,1.112,0.000
2227,758.154,138.454,136.236,75.527,83.803,22.197,0.000,24.599,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.522,0.000,1.111,0.000
2228,758.493,128.640,136.045,75.448,84.047,22.215,0.000,24.150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.520,0.000,1.111,0.000
2229,758.832,129.639,135.865,75.368,84.291,22.230,0.000,23.713,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.517,0.000,1.110,0.000
2230,759.171,128.973,135.695,75.289,84.536,22.244,0.000,23.287,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.515,0.000,1.110,0.000
2231,759.510,145.713,135.535,75.210,84.781,22.256,0.000,22.873,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.512,0.000,1.109,0.000
2232,759.849,146.046,135.386,75.130,85.026,22.266,0.000,22.472,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.510,0.000,1.108,0.000
2233,760.188,101.529,135.248,75.051,85.272,22.275,0.000,22.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.508,0.000,1.108,0.000
2234,760.527,119.973,135.120,74.972,85.518,22.282,0.000,21.703,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.505,0.000,1.107,0.000
2235,760.866,132.529,135.002,74.893,85.764,22.287,0.000,21.337,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.503,0.000,1.107,0.000
2236,761.205,133.713,134.895,74.813,86.011,22.291,0.000,20.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.501,0.000,1.106,0.000
2237,761.543,139.454,134.798,74.734,86.258,22.292,0.000,20.640,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.498,0.000,1.106,0.000
2238,761.882,116.085,134.712,74.655,86.505,22.292,0.000,20.309,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.496,0.000,1.105,0.000
2239,762.221,125.047,134.634,74.576,86.753,22.291,0.000,19.988,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.493,0.000,1.104,0.000
2240,762.560,128.343,134.567,74.496,87.003,22.287,0.000,19.678,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.491,0.000,1.104,0.000
2241,762.899,131.640,134.508,74.417,87.252,22.282,0.000,19.378,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.489,0.000,1.103,0.000
2242,763.238,122.937,134.457,74.338,87.501,22.275,0.000,19.087,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.486,0.000,1.103,0.000
2243,763.577,118.195,134.415,74.258,87.751,22.266,0.000,18.807,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.484,0.000,1.102,0.000
2244,763.916,128.047,134.381,74.179,88.002,22.256,0.000,18.537,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.481,0.000,1.101,0.000
2245,764.254,129.565,134.357,74.100,88.253,22.243,0.000,18.276,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.479,0.000,1.101,0.000
2246,764.593,88.603,134.340,74.021,88.505,22.229,0.000,18.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.476,0.000,1.100,0.000
2247,764.932,131.084,134.332,73.941,88.758,22.214,0.000,17.783,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.474,0.000,1.100,0.000
2248,765.271,123.381,134.333,73.862,89.011,22.196,0.000,17.550,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.472,0.000,1.099,0.000
2249,765.610,119.973,134.341,73.783,89.266,22.177,0.000,17.326,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.469,0.000,1.098,0.000
2250,765.948,98.344,134.358,73.704,89.521,22.157,0.000,17.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.467,0.000,1.098,0.000
2251,766.287,127.306,134.387,73.624,89.782,22.134,0.000,16.904,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.464,0.000,1.097,0.000
2252,766.626,126.714,134.420,73.545,90.040,22.110,0.000,16.706,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.462,0.000,1.097,0.000
2253,766.965,139.565,134.461,73.466,90.299,22.085,0.000,16.517,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.460,0.000,1.096,0.000
2254,767.303,158.196,134.509,73.386,90.559,22.058,0.000,16.335,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.457,0.000,1.095,0.000
2255,767.642,132.417,134.566,73.307,90.821,22.029,0.000,16.161,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.455,0.000,1.095,0.000
2256,767.981,134.899,134.629,73.228,91.084,21.998,0.000,15.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.452,0.000,1.094,0.000
2257,768.320,164.640,134.701,73.149,91.349,21.967,0.000,15.836,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.450,0.000,1.094,0.000
2258,768.658,136.714,134.780,73.069,91.616,21.933,0.000,15.684,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.448,0.000,1.093,0.000
2259,768.997,130.565,134.867,72.990,91.885,21.899,0.000,15.540,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.445,0.000,1.093,0.000
2260,769.336,124.677,134.961,72.911,92.156,21.862,0.000,15.402,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.443,0.000,1.092,0.000
2261,769.674,124.010,135.062,72.832,92.429,21.825,0.000,15.271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.440,0.000,1.091,0.000
2262,770.013,136.418,135.171,72.752,92.705,21.786,0.000,15.146,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.438,0.000,1.091,0.000
2263,770.351,132.195,135.287,72.673,92.983,21.746,0.000,15.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.436,0.000,1.090,0.000
2264,770.690,144.787,135.411,72.594,93.264,21.704,0.000,14.915,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.433,0.000,1.090,0.000
2265,771.029,96.047,135.542,72.514,93.547,21.661,0.000,14.807,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.431,0.000,1.089,0.000
2266,771.367,155.639,135.677,72.435,93.831,21.617,0.000,14.706,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.428,0.000,1.088,0.000
2267,771.706,130.789,135.814,72.356,94.112,21.572,0.000,14.610,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.426,0.000,1.088,0.000
2268,772.044,124.750,135.952,72.277,94.391,21.526,0.000,14.518,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.424,0.000,1.087,0.000
2269,772.383,140.602,136.092,72.197,94.667,21.478,0.000,14.432,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.421,0.000,1.087,0.000
2270,772.721,127.417,136.232,72.118,94.940,21.430,0.000,14.350,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.419,0.000,1.086,0.000
2271,773.060,137.788,136.372,72.039,95.210,21.381,0.000,14.273,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.417,0.000,1.086,0.000
2272,773.398,112.935,136.513,71.960,95.477,21.330,0.000,14.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.414,0.000,1.085,0.000
2273,773.737,150.194,136.653,71.880,95.741,21.279,0.000,14.130,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.412,0.000,1.084,0.000
2274,774.075,137.972,136.793,71.801,96.001,21.227,0.000,14.065,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.410,0.000,1.084,0.000
2275,774.414,127.565,136.932,71.722,96.258,21.173,0.000,14.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.408,0.000,1.083,0.000
2276,774.752,153.158,137.070,71.642,96.511,21.120,0.000,13.944,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.405,0.000,1.083,0.000
2277,775.091,136.306,137.206,71.563,96.760,21.065,0.000,13.889,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.403,0.000,1.082,0.000
2278,775.429,115.750,137.340,71.484,97.004,21.010,0.000,13.836,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.401,0.000,1.082,0.000
2279,775.768,104.529,137.472,71.405,97.245,20.954,0.000,13.786,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.398,0.000,1.081,0.000
2280,776.106,131.306,137.602,71.325,97.482,20.897,0.000,13.739,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.396,0.000,1.080,0.000
2281,776.445,138.936,137.730,71.246,97.713,20.840,0.000,13.694,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.394,0.000,1.080,0.000
2282,776.783,119.269,137.855,71.167,97.941,20.783,0.000,13.652,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.392,0.000,1.079,0.000
2283,777.121,135.639,137.977,71.088,98.163,20.725,0.000,13.613,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.389,0.000,1.079,0.000
2284,777.460,123.158,138.096,71.008,98.381,20.666,0.000,13.575,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.387,0.000,1.078,0.000
2285,777.798,127.565,138.212,70.929,98.593,20.608,0.000,13.540,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.385,0.000,1.078,0.000
2286,778.136,130.343,138.324,70.850,98.801,20.549,0.000,13.507,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.383,0.000,1.077,0.000
2287,778.475,106.306,138.432,70.770,99.002,20.489,0.000,13.475,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.380,0.000,1.077,0.000
2288,778.813,129.269,138.535,70.691,99.199,20.430,0.000,13.444,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.378,0.000,1.076,0.000
2289,779.151,143.157,138.634,70.612,99.389,20.370,0.000,13.415,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.376,0.000,1.075,0.000
2290,779.490,116.306,138.728,70.533,99.574,20.310,0.000,13.386,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.374,0.000,1.075,0.000
2291,779.828,116.121,138.816,70.453,99.753,20.250,0.000,13.358,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.371,0.000,1.074,0.000
2292,780.166,108.194,138.899,70.374,99.925,20.190,0.000,13.331,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.369,0.000,1.074,0.000
2293,780.505,133.157,138.976,70.295,100.092,20.131,0.000,13.304,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.367,0.000,1.073,0.000
2294,780.843,127.343,139.046,70.216,100.251,20.071,0.000,13.277,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.365,0.000,1.073,0.000
2295,781.181,130.639,139.110,70.136,100.405,20.011,0.000,13.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.363,0.000,1.072,0.000
2296,781.519,119.491,139.168,70.057,100.551,19.952,0.000,13.223,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.360,0.000,1.072,0.000
2297,781.858,118.269,139.218,69.978,100.691,19.892,0.000,13.196,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.358,0.000,1.071,0.000
2298,782.196,147.898,139.262,69.899,100.824,19.833,0.000,13.168,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.356,0.000,1.071,0.000
2299,782.534,124.936,139.298,69.819,100.950,19.775,0.000,13.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.354,0.000,1.070,0.000
2300,782.872,127.085,139.327,69.740,101.068,19.716,0.000,13.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.352,0.000,1.070,0.000
2301,783.210,132.417,139.347,69.661,101.179,19.658,0.000,13.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.349,0.000,1.069,0.000
2302,783.548,128.380,139.360,69.581,101.283,19.601,0.000,13.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.347,0.000,1.068,0.000
2303,783.887,140.121,139.365,69.502,101.379,19.544,0.000,13.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.345,0.000,1.068,0.000
2304,784.225,135.786,139.362,69.423,101.468,19.487,0.000,12.985,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.343,0.000,1.067,0.000
2305,784.563,128.861,139.350,69.344,101.549,19.431,0.000,12.951,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.341,0.000,1.067,0.000
2306,784.901,109.343,139.330,69.264,101.622,19.376,0.000,12.916,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.338,0.000,1.066,0.000
2307,785.239,125.157,139.301,69.185,101.687,19.321,0.000,12.879,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.336,0.000,1.066,0.000
2308,785.577,105.751,139.263,69.106,101.744,19.267,0.000,12.841,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.334,0.000,1.065,0.000
2309,785.915,110.639,139.217,69.027,101.793,19.214,0.000,12.801,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.332,0.000,1.065,0.000
2310,786.253,125.009,139.161,68.947,101.834,19.161,0.000,12.760,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.330,0.000,1.064,0.000
2311,786.591,145.490,139.097,68.868,101.867,19.110,0.000,12.717,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.327,0.000,1.064,0.000
2312,786.929,123.565,139.023,68.789,101.891,19.059,0.000,12.672,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.325,0.000,1.063,0.000
2313,787.267,136.825,138.940,68.709,101.907,19.009,0.000,12.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.323,0.000,1.062,0.000
2314,787.605,115.195,138.848,68.630,101.915,18.960,0.000,12.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.321,0.000,1.062,0.000
2315,787.943,126.120,138.747,68.551,101.914,18.911,0.000,12.528,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.319,0.000,1.061,0.000
2316,788.281,106.972,138.636,68.472,101.905,18.864,0.000,12.476,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.316,0.000,1.061,0.000
2317,788.619,137.491,138.516,68.392,101.888,18.818,0.000,12.423,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.314,0.000,1.060,0.000
2318,788.957,125.454,138.387,68.313,101.862,18.772,0.000,12.368,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.312,0.000,1.060,0.000
2319,789.295,125.416,138.248,68.234,101.827,18.728,0.000,12.310,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.310,0.000,1.059,0.000
2320,789.633,123.083,138.100,68.155,101.784,18.685,0.000,12.251,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.307,0.000,1.059,0.000
2321,789.971,113.491,137.943,68.075,101.732,18.643,0.000,12.190,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.305,0.000,1.058,0.000
2322,790.309,99.120,137.776,67.996,101.672,18.602,0.000,12.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.303,0.000,1.058,0.000
2323,790.647,117.491,137.600,67.917,101.603,18.562,0.000,12.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.301,0.000,1.057,0.000
2324,790.985,111.380,137.415,67.837,101.526,18.524,0.000,11.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.298,0.000,1.056,0.000
2325,791.323,136.750,137.221,67.758,101.441,18.486,0.000,11.928,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.296,0.000,1.056,0.000
2326,791.661,131.491,137.017,67.679,101.347,18.450,0.000,11.857,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.294,0.000,1.055,0.000
2327,791.999,112.491,136.805,67.600,101.244,18.415,0.000,11.785,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.292,0.000,1.055,0.000
2328,792.337,116.491,136.584,67.520,101.133,18.381,0.000,11.711,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.289,0.000,1.054,0.000
2329,792.674,96.750,136.354,67.441,101.014,18.349,0.000,11.635,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.287,0.000,1.054,0.000
2330,793.012,134.676,136.115,67.362,100.887,18.318,0.000,11.557,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.285,0.000,1.053,0.000
2331,793.350,129.824,135.868,67.283,100.752,18.288,0.000,11.478,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.282,0.000,1.053,0.000
2332,793.688,124.269,135.612,67.203,100.609,18.260,0.000,11.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.280,0.000,1.052,0.000
2333,794.026,98.083,135.348,67.124,100.457,18.233,0.000,11.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.278,0.000,1.051,0.000
2334,794.363,104.898,135.076,67.045,100.298,18.207,0.000,11.229,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.275,0.000,1.051,0.000
2335,794.701,105.824,134.796,66.965,100.132,18.183,0.000,11.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.273,0.000,1.050,0.000
2336,795.039,108.639,134.508,66.886,99.957,18.160,0.000,11.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.271,0.000,1.050,0.000
2337,795.377,115.639,134.213,66.807,99.775,18.138,0.000,10.966,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.268,0.000,1.049,0.000
2338,795.714,93.453,133.910,66.728,99.586,18.118,0.000,10.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.266,0.000,1.048,0.000
2339,796.052,93.750,133.600,66.648,99.389,18.100,0.000,10.783,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.264,0.000,1.048,0.000
2340,796.390,107.379,133.259,66.545,99.170,18.077,0.000,10.689,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.260,0.000,1.047,0.000
2341,796.728,116.750,132.911,66.442,98.944,18.057,0.000,10.593,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.256,0.000,1.046,0.000
2342,797.065,114.527,132.557,66.340,98.711,18.037,0.000,10.496,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.252,0.000,1.045,0.000
2343,797.403,132.416,132.196,66.237,98.471,18.019,0.000,10.398,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.248,0.000,1.044,0.000
2344,797.741,92.824,131.830,66.134,98.225,18.003,0.000,10.299,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.244,0.000,1.043,0.000
2345,798.078,119.120,131.457,66.031,97.973,17.988,0.000,10.198,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.240,0.000,1.042,0.000
2346,798.416,103.194,131.079,65.928,97.714,17.975,0.000,10.097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.236,0.000,1.041,0.000
2347,798.753,107.379,130.696,65.825,97.450,17.963,0.000,9.994,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.232,0.000,1.040,0.000
2348,799.091,103.676,130.307,65.722,97.181,17.952,0.000,9.890,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.228,0.000,1.039,0.000
2349,799.429,102.565,129.914,65.619,96.905,17.944,0.000,9.786,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.224,0.000,1.038,0.000
2350,799.766,135.676,129.516,65.516,96.625,17.937,0.000,9.681,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.220,0.000,1.037,0.000
2351,800.104,123.490,129.114,65.413,96.340,17.931,0.000,9.574,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.215,0.000,1.036,0.000
2352,800.441,130.898,128.708,65.310,96.050,17.927,0.000,9.468,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.211,0.000,1.035,0.000
2353,800.779,90.157,128.298,65.207,95.755,17.925,0.000,9.360,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.207,0.000,1.034,0.000
2354,801.117,118.342,127.886,65.104,95.457,17.924,0.000,9.252,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.203,0.000,1.033,0.000
2355,801.454,108.824,127.470,65.001,95.154,17.925,0.000,9.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.199,0.000,1.032,0.000
2356,801.792,95.009,127.052,64.898,94.848,17.927,0.000,9.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.195,0.000,1.031,0.000
2357,802.129,105.935,126.631,64.795,94.538,17.931,0.000,8.925,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.190,0.000,1.030,0.000
2358,802.467,102.231,126.209,64.692,94.225,17.937,0.000,8.815,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.186,0.000,1.029,0.000
2359,802.804,98.750,125.784,64.589,93.909,17.944,0.000,8.705,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.182,0.000,1.028,0.000
2360,803.142,123.304,125.359,64.487,93.590,17.953,0.000,8.594,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.178,0.000,1.027,0.000
2361,803.479,107.527,124.933,64.384,93.269,17.964,0.000,8.484,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.173,0.000,1.026,0.000
2362,803.816,113.934,124.506,64.281,92.946,17.976,0.000,8.373,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.169,0.000,1.025,0.000
2363,804.154,127.119,124.079,64.178,92.621,17.990,0.000,8.262,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.165,0.000,1.024,0.000
2364,804.491,110.193,123.652,64.075,92.295,18.005,0.000,8.151,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.161,0.000,1.023,0.000
2365,804.829,109.120,123.226,63.972,91.968,18.023,0.000,8.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.156,0.000,1.022,0.000
2366,805.166,117.231,122.801,63.869,91.640,18.042,0.000,7.930,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.152,0.000,1.020,0.000
2367,805.503,112.305,122.377,63.766,91.311,18.063,0.000,7.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.147,0.000,1.019,0.000
2368,805.841,104.379,121.955,63.663,90.982,18.085,0.000,7.709,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.143,0.000,1.018,0.000
2369,806.178,124.083,121.535,63.560,90.653,18.109,0.000,7.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.139,0.000,1.017,0.000
2370,806.516,102.231,121.116,63.457,90.324,18.135,0.000,7.490,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.134,0.000,1.016,0.000
2371,806.853,120.564,120.700,63.354,89.994,18.163,0.000,7.381,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.130,0.000,1.015,0.000
2372,807.190,115.824,120.287,63.251,89.666,18.192,0.000,7.272,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.125,0.000,1.014,0.000
2373,807.528,102.602,119.876,63.148,89.338,18.224,0.000,7.164,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.121,0.000,1.013,0.000
2374,807.865,84.527,119.469,63.045,89.011,18.257,0.000,7.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.116,0.000,1.012,0.000
2375,808.202,88.342,119.065,62.942,88.685,18.291,0.000,6.949,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.112,0.000,1.011,0.000
2376,808.539,97.379,118.666,62.839,88.361,18.328,0.000,6.843,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.107,0.000,1.009,0.000
2377,808.877,92.898,118.270,62.736,88.038,18.367,0.000,6.737,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.103,0.000,1.008,0.000
2378,809.214,121.046,117.879,62.634,87.718,18.407,0.000,6.632,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.098,0.000,1.007,0.000
2379,809.551,110.416,117.494,62.531,87.400,18.449,0.000,6.528,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.094,0.000,1.006,0.000
2380,809.888,104.379,117.113,62.428,87.085,18.493,0.000,6.424,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.089,0.000,1.005,0.000
2381,810.226,111.193,116.738,62.325,86.772,18.539,0.000,6.322,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.084,0.000,1.004,0.000
2382,810.563,101.416,116.369,62.222,86.463,18.587,0.000,6.220,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.080,0.000,1.003,0.000
2383,810.900,97.268,116.007,62.119,86.157,18.637,0.000,6.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.075,0.000,1.002,0.000
2384,811.237,102.490,115.651,62.016,85.855,18.689,0.000,6.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.070,0.000,1.000,0.000
