ch,keV,net,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Xray-Pb,Xray-Th
19,-1.329,0.000,0.021,0.000,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
20,-0.993,0.000,0.027,0.000,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
21,-0.657,0.000,0.037,0.000,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
22,-0.321,0.000,0.049,0.000,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
23,0.015,0.000,0.065,0.000,0.065,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
24,0.351,0.000,0.086,0.000,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
25,0.688,0.000,0.115,0.000,0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
26,1.024,0.000,0.152,0.000,0.152,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
27,1.360,0.000,0.202,0.000,0.202,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
28,1.696,0.000,0.268,0.000,0.268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29,2.033,0.000,0.356,0.000,0.356,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30,2.369,0.000,0.473,0.000,0.473,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31,2.705,0.000,0.629,0.000,0.629,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32,3.042,0.000,0.836,0.000,0.836,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33,3.378,0.000,1.111,0.000,1.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34,3.715,0.000,1.477,0.000,1.477,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35,4.051,0.000,1.965,0.000,1.965,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36,4.388,0.000,2.614,0.000,2.614,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37,4.724,0.000,3.477,0.000,3.477,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38,5.061,0.000,4.627,0.000,4.627,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39,5.397,0.000,6.159,0.000,6.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40,5.734,0.000,8.199,0.000,8.199,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41,6.070,0.000,10.917,0.000,10.917,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,6.407,0.000,14.448,0.000,14.448,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43,6.744,0.000,18.597,0.000,18.597,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44,7.080,0.000,22.880,0.000,22.879,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45,7.417,0.000,26.962,0.000,26.961,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,7.754,0.000,30.573,0.000,30.573,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,8.090,0.000,33.600,0.000,33.599,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
48,8.427,0.000,35.991,0.000,35.990,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
49,8.764,0.000,37.615,0.000,37.614,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
50,9.101,0.000,38.527,0.000,38.526,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
51,9.438,0.852,38.922,0.000,38.921,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
52,9.774,0.000,39.045,0.000,39.043,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000
53,10.111,0.000,39.118,0.000,39.117,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000
54,10.448,0.037,39.187,0.000,39.185,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000
55,10.785,4.889,39.161,0.000,39.159,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000
56,11.122,12.853,39.057,0.000,39.054,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000
57,11.459,23.373,38.922,0.000,38.918,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000
58,11.796,50.412,38.853,0.000,38.848,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000
59,12.133,84.230,38.889,0.000,38.883,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000
60,12.470,132.234,38.930,0.000,38.924,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000
61,12.807,160.759,38.918,0.000,38.911,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000
62,13.144,207.691,38.872,0.000,38.862,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000
63,13.481,240.807,38.839,0.000,38.828,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000
64,13.818,297.330,52.550,13.659,41.470,1.737,1.461,0.346,0.114,0.019,0.003,5.651,1.747
65,14.155,288.630,66.312,27.318,44.162,3.474,2.922,0.683,0.227,0.037,0.005,11.303,3.495
66,14.492,317.745,80.044,40.977,46.819,5.211,4.383,1.020,0.341,0.056,0.008,16.956,5.244
67,14.830,363.376,93.723,54.636,49.422,6.949,5.844,1.358,0.454,0.074,0.011,22.611,6.992
68,15.167,315.749,107.374,68.295,51.993,8.687,7.306,1.696,0.568,0.093,0.014,28.267,8.741
69,15.504,384.897,121.054,81.954,54.590,10.425,8.769,2.035,0.681,0.112,0.016,33.924,10.491
70,15.841,329.122,134.793,95.613,57.244,12.164,10.231,2.375,0.795,0.130,0.019,39.582,12.240
71,16.178,363.898,148.529,109.273,59.890,13.904,11.694,2.716,0.909,0.149,0.022,45.241,13.991
72,16.516,378.716,162.220,122.932,62.489,15.643,13.157,3.058,1.023,0.168,0.025,50.902,15.741
73,16.853,372.714,175.881,136.591,65.054,17.383,14.621,3.402,1.136,0.186,0.027,56.564,17.492
74,17.190,376.682,189.539,150.250,67.612,19.124,16.085,3.747,1.250,0.205,0.030,62.227,19.243
75,17.528,360.754,203.250,163.909,70.219,20.865,17.549,4.094,1.364,0.224,0.033,67.892,20.995
76,17.865,394.052,216.992,177.568,72.852,22.606,19.013,4.443,1.478,0.242,0.036,73.558,22.747
77,18.202,395.830,230.709,191.227,75.455,24.348,20.478,4.795,1.592,0.261,0.038,79.225,24.500
78,18.540,387.831,244.395,204.886,78.021,26.090,21.943,5.150,1.705,0.280,0.041,84.893,26.253
79,18.877,402.016,258.070,218.545,80.571,27.832,23.409,5.509,1.819,0.298,0.044,90.562,28.006
80,19.215,378.093,271.769,232.204,83.137,29.575,24.875,5.872,1.933,0.317,0.047,96.233,29.759
81,19.552,376.460,285.523,245.863,85.751,31.318,26.341,6.241,2.047,0.336,0.049,101.905,31.514
82,19.890,374.761,299.272,259.522,88.350,33.061,27.807,6.617,2.161,0.354,0.052,107.579,33.268
83,20.227,405.317,312.984,273.181,90.901,34.805,29.274,7.001,2.275,0.373,0.055,113.253,35.023
84,20.565,406.136,326.666,286.840,93.410,36.550,30.741,7.395,2.389,0.392,0.058,118.929,36.778
85,20.902,360.432,340.349,300.500,95.905,38.294,32.209,7.801,2.503,0.410,0.060,124.606,38.534
86,21.240,414.732,354.074,314.159,98.424,40.040,33.676,8.222,2.617,0.429,0.063,130.285,40.290
87,21.578,409.253,367.839,327.818,100.963,41.785,35.145,8.663,2.731,0.448,0.066,135.965,42.046
88,21.915,429.401,381.583,341.477,103.452,43.531,36.613,9.127,2.846,0.467,0.069,141.646,43.803
89,22.253,433.553,395.299,355.136,105.880,45.277,38.082,9.624,2.960,0.485,0.072,147.329,45.560
90,22.590,408.403,409.007,368.795,108.255,47.024,39.551,10.162,3.074,0.504,0.074,153.013,47.318
91,22.928,490.184,422.736,382.454,110.594,48.772,41.020,10.754,3.188,0.523,0.077,158.699,49.076
92,23.266,433.816,436.532,396.113,112.923,50.519,42.490,11.422,3.302,0.541,0.080,164.385,50.834
93,23.604,455.223,450.355,409.772,115.194,52.267,43.961,12.171,3.417,0.560,0.083,170.074,52.593
94,23.941,534.964,464.174,423.431,117.364,54.016,45.431,13.013,3.531,0.579,0.085,175.765,54.353
95,24.279,524.113,477.994,437.090,119.421,55.765,46.902,13.969,3.645,0.598,0.088,181.455,56.112
96,24.617,555.780,491.840,450.749,121.358,57.515,48.374,15.068,3.759,0.616,0.091,187.148,57.873
97,24.955,605.222,505.749,464.408,123.171,59.265,49.846,16.350,3.874,0.635,0.094,192.842,59.633
98,25.293,592.334,519.749,478.067,124.841,61.016,51.318,17.861,3.988,0.654,0.096,198.539,61.394
99,25.630,638.259,533.789,491.727,126.297,62.767,52.791,19.626,4.103,0.673,0.099,204.236,63.156
100,25.968,583.187,547.871,505.386,127.497,64.519,54.264,21.684,4.217,0.692,0.102,209.935,64.918
101,26.306,725.704,562.014,519.045,128.409,66.273,55.739,24.086,4.332,0.710,0.105,215.636,66.680
102,26.644,727.591,576.247,532.704,129.014,68.027,57.213,26.882,4.446,0.729,0.107,221.339,68.443
103,26.982,721.219,590.612,546.363,129.309,69.782,58.689,30.116,4.561,0.748,0.110,227.044,70.207
104,27.320,780.442,605.108,560.022,129.299,71.538,60.165,33.782,4.675,0.767,0.113,232.750,71.971
105,27.658,729.442,619.697,573.681,129.034,73.297,61.643,37.786,4.790,0.785,0.116,238.460,73.736
106,27.996,828.959,634.398,587.340,128.647,75.057,63.122,42.021,4.905,0.804,0.119,244.172,75.501
107,28.334,808.257,649.238,600.999,128.290,76.818,64.602,46.360,5.020,0.823,0.121,249.886,77.267
108,28.672,771.439,664.253,614.658,128.123,78.581,66.082,50.678,5.135,0.842,0.124,255.602,79.034
109,29.010,808.996,679.472,628.317,128.290,80.346,67.566,54.853,5.249,0.861,0.127,261.323,80.801
110,29.348,815.809,694.816,641.976,128.890,82.113,69.049,58.717,5.364,0.880,0.130,267.046,82.570
111,29.686,811.810,710.239,655.635,129.974,83.881,70.534,62.170,5.480,0.898,0.132,272.773,84.339
112,30.024,853.698,725.743,669.294,131.559,85.650,72.020,65.196,5.595,0.917,0.135,278.503,86.109
113,30.363,849.737,741.339,682.954,133.617,87.424,73.509,67.825,5.710,0.936,0.138,284.239,87.881
114,30.701,847.663,757.032,696.613,136.055,89.197,74.998,70.169,5.825,0.955,0.141,289.977,89.653
115,31.039,839.886,772.775,710.272,138.793,90.973,76.488,72.254,5.941,0.974,0.144,295.719,91.427
116,31.377,800.513,788.424,723.931,141.767,92.751,77.980,73.998,6.056,0.993,0.146,301.467,93.201
117,31.715,867.737,803.924,737.590,144.937,94.533,79.476,75.381,6.172,1.012,0.149,307.221,94.977
118,32.054,777.624,819.237,751.249,148.269,96.315,80.971,76.412,6.287,1.031,0.152,312.979,96.754
119,32.392,811.661,834.351,764.908,151.744,98.100,82.467,77.090,6.403,1.050,0.155,318.741,98.532
120,32.730,802.552,849.247,778.567,155.347,99.887,83.966,77.411,6.519,1.069,0.157,324.508,100.311
121,33.069,839.033,863.871,792.226,159.067,101.678,85.468,77.328,6.635,1.088,0.160,330.283,102.092
122,33.407,762.069,878.159,805.885,162.888,103.469,86.969,76.805,6.751,1.107,0.163,336.061,103.873
123,33.745,783.293,892.114,819.544,166.800,105.261,88.472,75.849,6.867,1.126,0.166,341.843,105.655
124,34.084,847.735,905.767,833.203,170.788,107.056,89.975,74.491,6.983,1.145,0.169,347.644,107.438
125,34.422,739.550,919.162,846.862,174.839,108.852,91.481,72.785,7.099,1.164,0.171,353.469,109.222
126,34.760,743.735,932.280,860.521,178.932,110.648,92.985,70.784,7.215,1.183,0.174,359.271,111.006
127,35.099,753.773,927.748,856.785,179.805,110.212,92.614,68.131,7.186,1.178,0.174,357.821,110.547
128,35.437,759.995,923.019,853.048,180.672,109.777,92.251,65.241,7.156,1.173,0.173,356.406,110.087
129,35.776,733.442,918.123,849.311,181.513,109.341,91.891,62.196,7.126,1.169,0.172,355.008,109.627
130,36.114,742.480,913.066,845.575,182.309,108.900,91.516,59.088,7.097,1.164,0.171,353.575,109.166
131,36.453,789.666,907.950,841.838,183.041,108.457,91.139,55.984,7.067,1.159,0.171,352.147,108.705
132,36.791,764.591,902.803,838.101,183.702,108.011,90.761,52.920,7.037,1.154,0.170,350.724,108.243
133,37.130,753.666,897.639,834.365,184.289,107.564,90.382,49.910,7.007,1.149,0.169,349.309,107.780
134,37.468,752.595,892.487,830.628,184.797,107.114,90.000,46.988,6.977,1.144,0.168,347.900,107.318
135,37.807,718.222,887.381,826.891,185.229,106.661,89.617,44.186,6.947,1.139,0.168,346.499,106.854
136,38.146,763.149,882.358,823.155,185.593,106.206,89.232,41.530,6.917,1.134,0.167,345.108,106.390
137,38.484,759.708,877.445,819.418,185.873,105.750,88.859,39.046,6.887,1.129,0.166,343.729,105.925
138,38.823,719.117,872.631,815.681,186.035,105.294,88.478,36.775,6.856,1.124,0.166,342.361,105.461
139,39.162,808.226,867.917,811.945,186.068,104.838,88.092,34.724,6.826,1.119,0.165,341.008,104.995
140,39.500,773.747,863.314,808.208,185.991,104.383,87.707,32.878,6.796,1.114,0.164,339.672,104.529
141,39.839,810.562,858.834,804.471,185.825,103.930,87.322,31.219,6.766,1.109,0.163,338.354,104.064
142,40.178,722.193,854.490,800.735,185.599,103.479,86.939,29.736,6.735,1.104,0.163,337.057,103.597
143,40.517,718.861,850.275,796.998,185.312,103.030,86.557,28.415,6.705,1.100,0.162,335.784,103.131
144,40.855,841.936,846.170,793.261,184.954,102.585,86.177,27.241,6.675,1.095,0.161,334.536,102.664
145,41.194,808.159,842.175,789.525,184.536,102.145,85.801,26.200,6.645,1.090,0.160,333.320,102.197
146,41.533,759.197,838.300,785.788,184.079,101.708,85.426,25.279,6.615,1.085,0.160,332.137,101.731
147,41.872,791.678,834.554,782.051,183.599,101.277,85.055,24.464,6.585,1.080,0.159,330.990,101.264
148,42.211,828.312,830.950,778.315,183.112,100.852,84.688,23.744,6.554,1.075,0.158,329.887,100.797
149,42.549,817.608,827.464,774.578,182.601,100.434,84.325,23.107,6.525,1.071,0.157,328.830,100.330
150,42.888,854.573,824.079,770.841,182.057,100.023,83.966,22.542,6.495,1.066,0.157,327.827,99.864
151,43.227,856.724,820.804,767.105,181.484,99.621,83.613,22.041,6.465,1.061,0.156,326.882,99.397
152,43.566,893.689,817.650,763.368,180.893,99.229,83.265,21.597,6.435,1.056,0.155,326.003,98.931
153,43.905,879.428,814.645,759.631,180.296,98.847,82.924,21.205,6.406,1.051,0.155,325.209,98.465
154,44.244,874.244,811.810,755.895,179.694,98.477,82.590,20.859,6.376,1.046,0.154,324.525,98.000
155,44.583,927.208,809.051,752.158,179.052,98.120,82.263,20.550,6.347,1.042,0.153,323.899,97.535
156,44.922,859.656,806.401,748.421,178.361,97.778,81.946,20.270,6.317,1.037,0.152,323.376,97.071
157,45.261,798.472,803.871,744.685,177.621,97.452,81.638,20.017,6.288,1.032,0.152,322.969,96.607
158,45.600,870.955,801.476,740.948,176.837,97.142,81.341,19.786,6.260,1.027,0.151,322.691,96.144
159,45.939,836.326,799.237,737.211,176.016,96.851,81.053,19.575,6.231,1.023,0.150,322.557,95.681
160,46.278,770.441,797.158,733.475,175.147,96.579,80.777,19.380,6.202,1.018,0.149,322.584,95.219
161,46.617,804.665,795.231,729.738,174.202,96.329,80.513,19.193,6.174,1.014,0.149,322.790,94.765
162,46.957,748.297,793.469,726.001,173.180,96.100,80.261,19.011,6.146,1.009,0.148,323.196,94.311
163,47.296,764.740,791.893,722.265,172.084,95.894,80.022,18.834,6.118,1.005,0.147,323.826,93.854
164,47.635,771.336,790.542,718.528,170.921,95.712,79.796,18.659,6.090,1.000,0.146,324.706,93.397
165,47.974,711.412,789.455,714.791,169.700,95.556,79.585,18.486,6.063,0.996,0.146,325.865,92.943
166,48.313,789.080,788.649,711.055,168.408,95.425,79.388,18.312,6.036,0.991,0.145,327.336,92.490
167,48.652,709.564,788.153,707.318,167.039,95.320,79.205,18.135,6.009,0.987,0.144,329.154,92.038
168,48.992,766.009,788.016,703.581,165.600,95.242,79.037,17.954,5.982,0.983,0.144,331.361,91.589
169,49.331,709.825,788.312,699.845,164.102,95.192,78.884,17.769,5.956,0.978,0.143,334.002,91.157
170,49.670,668.827,789.074,696.108,162.558,95.170,78.745,17.581,5.930,0.974,0.142,337.125,90.718
171,50.010,701.683,790.332,692.371,160.979,95.169,78.623,17.392,5.904,0.970,0.141,340.742,90.278
172,50.349,717.722,792.030,688.635,159.371,95.176,78.517,17.201,5.878,0.966,0.141,344.803,89.840
173,50.688,726.982,794.173,684.898,157.742,95.183,78.430,17.009,5.853,0.962,0.140,349.308,89.407
174,51.028,722.429,796.792,681.161,156.105,95.189,78.363,16.817,5.828,0.958,0.139,354.272,88.977
175,51.367,752.801,799.918,677.425,154.475,95.190,78.317,16.626,5.803,0.954,0.138,359.716,88.552
176,51.706,765.509,803.569,673.688,152.865,95.183,78.292,16.439,5.779,0.950,0.138,365.643,88.131
177,52.046,747.583,807.668,669.951,151.286,95.161,78.283,16.255,5.756,0.946,0.137,371.977,87.715
178,52.385,754.809,812.090,666.215,149.744,95.115,78.285,16.076,5.732,0.942,0.136,378.597,87.304
179,52.725,742.701,816.802,662.478,148.249,95.045,78.297,15.902,5.710,0.939,0.136,385.465,86.900
180,53.064,922.664,821.781,658.741,146.808,94.950,78.318,15.734,5.688,0.935,0.135,392.548,86.501
181,53.404,873.481,827.018,655.005,145.427,94.832,78.350,15.573,5.667,0.932,0.134,399.825,86.109
182,53.743,859.855,832.467,651.268,144.111,94.691,78.390,15.419,5.647,0.928,0.134,407.249,85.725
183,54.083,850.008,838.021,647.531,142.854,94.524,78.434,15.271,5.627,0.925,0.133,414.726,85.349
184,54.422,823.674,843.609,643.795,141.655,94.329,78.476,15.130,5.609,0.922,0.132,422.192,84.981
185,54.762,917.234,849.218,640.058,140.514,94.109,78.517,14.996,5.592,0.919,0.131,429.627,84.622
186,55.101,919.494,854.851,636.322,139.431,93.868,78.558,14.868,5.577,0.917,0.131,437.032,84.273
187,55.441,964.055,860.531,632.585,138.407,93.609,78.599,14.747,5.562,0.915,0.130,444.423,83.935
188,55.781,940.946,866.244,628.848,137.436,93.331,78.637,14.633,5.550,0.912,0.129,451.796,83.609
189,56.120,939.909,871.975,625.112,136.508,93.034,78.670,14.523,5.538,0.911,0.129,459.148,83.294
190,56.460,940.986,877.765,621.375,135.619,92.720,78.697,14.418,5.528,0.909,0.128,466.522,82.994
191,56.800,939.731,883.696,617.638,134.770,92.391,78.718,14.319,5.519,0.908,0.127,473.996,82.708
192,57.139,991.991,889.875,613.902,133.959,92.052,78.738,14.224,5.511,0.907,0.127,481.667,82.438
193,57.479,1039.879,896.416,610.165,133.184,91.705,78.756,14.133,5.505,0.907,0.126,489.646,82.186
194,57.819,1082.180,903.369,606.428,132.437,91.350,78.771,14.047,5.500,0.907,0.125,497.988,81.961
195,58.158,1111.884,910.804,602.692,131.711,90.986,78.781,13.963,5.495,0.908,0.125,506.782,81.753
196,58.498,1065.295,918.862,598.955,131.004,90.615,78.788,13.883,5.491,0.910,0.124,516.164,81.565
197,58.838,1067.522,927.715,595.218,130.315,90.241,78.796,13.805,5.488,0.912,0.123,526.293,81.402
198,59.178,1132.524,937.551,591.482,129.647,89.866,78.810,13.731,5.486,0.914,0.123,537.344,81.266
199,59.518,1104.120,948.523,587.745,128.998,89.494,78.833,13.659,5.484,0.918,0.122,549.464,81.162
200,59.857,1191.230,960.703,584.008,128.359,89.121,78.862,13.589,5.482,0.922,0.121,562.742,81.090
201,60.197,1151.307,974.251,580.272,127.726,88.747,78.901,13.521,5.480,0.927,0.121,577.331,81.056
202,60.537,1087.385,995.688,582.859,128.270,89.202,79.649,13.579,5.532,0.942,0.121,596.023,81.900
203,60.877,1213.644,1018.906,585.447,128.826,89.663,80.419,13.640,5.584,0.957,0.122,616.408,82.791
204,61.217,1155.425,1044.141,588.034,129.396,90.134,81.217,13.703,5.635,0.973,0.123,638.706,83.733
205,61.557,1230.988,1071.531,590.622,129.978,90.614,82.044,13.767,5.687,0.991,0.123,663.053,84.731
206,61.897,1298.095,1101.200,593.210,130.566,91.100,82.899,13.833,5.738,1.009,0.124,689.576,85.791
207,62.237,1273.954,1133.380,595.797,131.161,91.594,83.788,13.901,5.788,1.027,0.125,718.494,86.919
208,62.577,1295.544,1168.331,598.385,131.765,92.100,84.716,13.970,5.838,1.047,0.126,750.050,88.122
209,62.917,1262.288,1206.346,600.973,132.382,92.618,85.691,14.041,5.887,1.067,0.126,784.518,89.407
210,63.257,1277.438,1247.730,603.560,133.015,93.154,86.717,14.114,5.936,1.088,0.127,822.182,90.781
211,63.597,1329.255,1292.635,606.148,133.660,93.703,87.798,14.189,5.984,1.109,0.128,863.204,92.239
212,63.937,1304.069,1341.326,608.735,134.318,94.268,88.936,14.266,6.032,1.131,0.129,907.842,93.783
213,64.277,1308.334,1394.162,611.323,134.991,94.849,90.139,14.344,6.079,1.154,0.130,956.440,95.418
214,64.617,1359.189,1451.554,613.911,135.683,95.451,91.415,14.426,6.126,1.178,0.130,1009.387,97.149
215,64.957,1438.334,1513.957,616.498,136.399,96.076,92.774,14.511,6.173,1.202,0.131,1067.114,98.981
216,65.297,1391.340,1581.808,619.086,137.142,96.728,94.224,14.599,6.220,1.227,0.132,1130.040,100.916
217,65.638,1539.453,1655.450,621.674,137.909,97.405,95.768,14.690,6.268,1.252,0.133,1198.518,102.947
218,65.978,1623.600,1735.429,624.261,138.704,98.111,97.416,14.785,6.316,1.278,0.134,1273.073,105.075
219,66.318,1533.270,1822.378,626.849,139.532,98.850,99.181,14.884,6.365,1.305,0.135,1354.311,107.303
220,66.658,1583.868,1917.009,629.437,140.399,99.627,101.076,14.988,6.415,1.332,0.136,1442.913,109.639
221,66.998,1592.456,2019.767,632.024,141.312,100.446,103.115,15.097,6.466,1.361,0.137,1539.293,112.084
222,67.339,1559.170,2129.815,634.612,142.272,101.308,105.310,15.212,6.520,1.390,0.138,1642.603,114.635
223,67.679,1653.057,2245.688,637.199,143.282,102.212,107.673,15.332,6.575,1.420,0.140,1751.375,117.284
224,68.019,1709.128,2367.276,639.787,144.346,103.161,110.221,15.458,6.632,1.452,0.141,1865.468,120.034
225,68.359,1844.984,2494.527,642.375,145.472,104.159,112.973,15.589,6.693,1.484,0.142,1984.791,122.889
226,68.700,1925.911,2627.413,644.962,146.667,105.210,115.952,15.727,6.757,1.519,0.144,2109.278,125.858
227,69.040,1894.253,2764.410,647.550,147.934,106.315,119.151,15.872,6.824,1.555,0.145,2237.401,128.939
228,69.380,2047.622,2901.838,650.138,149.277,107.470,122.526,16.023,6.895,1.592,0.147,2365.536,132.126
229,69.721,2095.439,3036.757,652.725,150.697,108.670,126.046,16.182,6.970,1.632,0.148,2490.781,135.413
230,70.061,2206.847,3167.480,655.313,152.198,109.915,129.703,16.347,7.049,1.673,0.150,2611.444,138.805
231,70.402,2296.328,3292.297,657.900,153.785,111.205,133.490,16.519,7.133,1.717,0.152,2725.813,142.309
232,70.742,2475.549,3409.512,660.488,155.461,112.540,137.398,16.699,7.222,1.764,0.154,2832.188,145.932
233,71.082,2545.594,3517.424,663.076,157.225,113.915,141.416,16.886,7.316,1.813,0.156,2928.891,149.669
234,71.423,2795.368,3614.415,665.663,159.074,115.326,145.531,17.080,7.415,1.865,0.158,3014.339,153.509
235,71.763,2886.039,3699.067,668.251,161.006,116.770,149.733,17.280,7.518,1.921,0.160,3087.122,157.452
236,72.104,2994.519,3770.174,670.839,163.022,118.245,154.017,17.486,7.627,1.980,0.162,3146.037,161.505
237,72.444,3169.522,3826.766,673.426,165.121,119.748,158.383,17.699,7.741,2.043,0.165,3190.109,165.676
238,72.785,3193.008,3868.102,676.014,167.302,121.276,162.813,17.918,7.861,2.109,0.167,3218.612,169.971
239,73.125,3613.229,3893.567,678.602,169.556,122.825,167.200,18.143,7.985,2.180,0.169,3231.073,174.371
240,73.466,3723.936,3902.887,681.189,171.875,124.387,171.460,18.372,8.115,2.256,0.172,3227.326,178.867
241,73.806,3853.081,3896.169,683.777,174.255,125.961,175.552,18.605,8.249,2.337,0.175,3207.524,183.461
242,74.147,4084.640,3873.833,686.364,176.690,127.542,179.437,18.841,8.387,2.422,0.177,3172.129,188.159
243,74.488,4096.862,3836.606,688.952,179.176,129.129,183.081,19.081,8.530,2.514,0.180,3121.901,192.969
244,74.828,4274.308,3785.457,691.540,181.704,130.718,186.452,19.324,8.678,2.612,0.183,3057.855,197.892
245,75.169,4356.197,3721.547,694.127,184.261,132.301,189.516,19.568,8.830,2.716,0.186,2981.220,202.912
246,75.510,4532.568,3646.308,696.715,186.840,133.877,192.247,19.813,8.985,2.827,0.189,2893.464,208.031
247,75.850,4575.123,3561.376,699.303,189.431,135.441,194.624,20.058,9.144,2.946,0.191,2796.246,213.259
248,76.191,4643.497,3468.533,701.890,192.031,136.993,196.633,20.302,9.306,3.073,0.194,2691.356,218.610
249,76.532,4592.313,3369.672,704.478,194.633,138.532,198.266,20.545,9.473,3.209,0.197,2580.683,224.099
250,76.872,4565.608,3266.680,707.066,197.228,140.055,199.516,20.787,9.642,3.355,0.200,2466.133,229.730
251,77.213,4574.349,3161.444,709.653,199.808,141.559,200.383,21.026,9.813,3.512,0.203,2349.604,235.503
252,77.554,4674.832,3055.874,712.241,202.369,143.044,200.877,21.263,9.985,3.681,0.205,2232.978,241.439
