key,det,channels,live_s,counts,chains,nuclides,background,ecal_mode,ecal_lines,ecal_rms_kev,ecal_rms_fwhm,bg_ecal_mode,fwhm_662_pct,result_data,source,why
OBS_UGlass,OBS,1024,65535.0,1151291,U-238u;U-235,,Фон дом.xml,stored/grp,4,15.38,0.29,stored,15.08,0,Obsidian\UGlass.xml,урановое стекло на 1024 каналах: голова ряда в самой тесной сетке
OBS_Background,OBS,1024,420752.7,4856450,Th-232;Ra-226,40K,нет,ref-cal(OBS_Th232WT20),1,31.16,0.363,-,15.08,0,Obsidian\Фон деревня.xml,фон помещения того же прибора
RC103_K40,RC103,1024,314904.0,3108718,,40K,встроен,gain/grp,3,1.27,0.015,как передний план,8.49,0,!КОТ-103\K40 маринелли.xml,"негатив на RC-103: маринелли с KCl, одна линия 1461 кэВ"
RC103_Background,RC103,1024,848637.0,2162584,Th-232;Ra-226,40K,нет,stored/grp,2,18.56,0.251,-,8.49,0,!КОТ-103\Фон дома 103.xml,"фон помещения RC-103, 848 ks"
RC103_Co60,RC103g,1024,7989.0,958402,,60CO,нет,poly2/grp,4,2.41,0.04,-,8.29,1,КИ от Жени\RC все модели Co-60.xml,"Co-60: две линии 1173/1332 выше всей ториевой части, но ниже 2614 — чистая проверка ложного срабатывания ториевого якоря"
RC101_Th232,RC101,1024,4787.0,597091,Th-232,,встроен,gain/grp,3,4.85,0.113,как передний план,10.85,3,КОТ\2Куба калибровка.xml,"RadiaCode-101 — предыдущее поколение, разрешение заметно хуже"
RC101_I131,RC101,1024,690.0,2871658,,131I,Фон дом деревня.xml,gain/grp,2,2.4,0.049,stored,10.85,0,КОТ\I 131.xml,I-131 даёт 364.5 кэВ — в полуширине от 351.9 кэВ Bi-214. Прямая ловушка на ложный радиевый якорь
AS1Pro_Ra226,AS1PRO,8192,3600.0,24541759,Ra-226,,встроен,affine/grp,12,5.04,0.1,как передний план,7.09,0,Калугин Алексей\Radium_226_Atom_Spectra _1_Pro_(3600s_6817CPS)_28-04-2021.xml,"радиевый источник, 24.5 М отсчётов — на два порядка сильнее чароита AS80x80 (0.43 М), на котором меряется Ra-226"
ASN16_Charoite_v2,ASN16,8192,172703.0,10615011,Th-232;Ra-226,,встроен,affine/robust,13,10.23,0.171,как передний план,6.66,0,!ASN16\Чароит без свинцовой защиты.xml,"тот же чароит, что ASN16_Charoite, но 10.6 М вместо 4.6 М и обе цепочки уверенно видны"
ASN16_Th232_Am241,ASN16,8192,66131.0,32230544,Th-232,241AM,Фон дом хрущёвка nos 12.xml,stored/grp,13,5.01,0.136,affine,6.66,0,!ASN16\Th232 + Am241.xml,"два источника сразу: линия 59.5 кэВ садится в область, где у ториевого сета свои слабые линии"
ASN16_Am241,ASN16,8192,180269.2,41129508,,241AM,встроен,poly2/grp,8,5.82,0.144,affine,6.66,0,!ASN16\Am241.xml,"негатив ASN16, 41 М отсчётов"
ASN16_Cs137,ASN16,8192,356491.2,250626474,,137CS,встроен,poly2/grp,6,2.95,0.048,как передний план,6.66,0,!ASN16\Cs 137 в домике 24.11.2022.xml,"негатив ASN16, 251 М отсчётов — самый сильный односоставный спектр библиотеки"
ASN16_Background,ASN16,8192,740694.0,15678694,Th-232;Ra-226,40K,нет,poly2/grp,10,2.31,0.059,-,6.66,0,!ASN16\Фон дома nos 25.01.2023.xml,"фон помещения: цепочки есть, но на уровне комнаты — граница между «нашёл образец» и «нашёл комнату»"
ASN16_BrazilNuts,ASN16,8192,196931.0,1255521,Ra-226,40K,встроен,stored/grp,10,4.41,0.085,как передний план,6.66,0,!ASN16\Бразильские орехи из Боливии в домике.xml,"реальный слабоактивный образец: Ra-226 и K-40 в пище, 1.3 М отсчётов за 197 ks в свинцовом домике"
AS80_Th232Medal,AS80x80,8192,52742.3,33620155,Th-232,,Фон дом.xml,gain/robust/grp,12,12.44,0.204,gain,7.65,0,!AS80x80\Th-232(медальон).xml,"второй сильный Th-232 у AS80x80 (33.6 М) — другой образец, без вольфрамовых линий электрода"
AS80_Onyx,AS80x80,8192,380497.5,68068445,Th-232;Ra-226,40K,встроен,stored/grp,10,8.73,0.156,gain,7.65,0,!AS80x80\Камни\Оникс.xml,"природный камень, 68 М отсчётов за 380 ks: обе цепочки на естественном уровне и с измеренным фоном"
AS80_K40,AS80x80,8192,323624.3,66756892,,40K,встроен,affine/grp,8,13.5,0.146,как передний план,7.65,0,!AS80x80\K40 Москва.xml,"негатив AS80x80, 67 М отсчётов"
AS80_Background,AS80x80,8192,192360.4,33583597,Th-232;Ra-226,40K,нет,affine/robust/grp,9,9.94,0.201,-,7.65,0,!AS80x80\Фон дом.xml,"тот самый фон, который подмешан в пару 28.08.2025 — теперь и сам по себе, как спектр"
G1S_Th232_Denta,G1S,1024,6309.1,702463,Th-232,,встроен,affine/robust/grp,11,7.22,0.137,gain,6.44,0,SpectraVibe\Gamma-1S\Th232 Дента-120мл.xml,"Th-232, флакон Дента 120 мл вплотную; 1940 Бк/кг паспорт"
G1S_Th232_Marinelli,G1S,1024,11359.2,8006138,Th-232,,встроен,affine/grp,9,3.23,0.064,stored,6.44,0,SpectraVibe\Gamma-1S\Th232 Маринелли-1л.xml,"тот же источник в маринелли 1 л: другая геометрия, другое каскадное суммирование"
G1S_Th232_Petri,G1S,1024,61929.4,4750845,Th-232,,встроен,poly2/robust/grp,10,3.86,0.083,gain,6.44,0,SpectraVibe\Gamma-1S\Th232 Петри-60мл.xml,тот же источник в чашке Петри 60 мл — третья точка оси геометрии
G1S_Ra226_Denta,G1S,1024,6937.7,232899,Ra-226,,встроен,affine,12,4.56,0.112,gain,6.44,0,SpectraVibe\Gamma-1S\Ra226 Дента-120мл.xml,"аттестованный Ra-226, 1780 Бк/кг"
G1S_Ra226_Petri,G1S,1024,9050.7,220817,Ra-226,,встроен,poly2,12,7.92,0.149,gain,6.44,0,SpectraVibe\Gamma-1S\Ra226 Петри-60мл.xml,тот же радий в другой геометрии
G1S_K40_Denta,G1S,1024,57055.2,522328,,40K,встроен,poly2/robust/grp,9,8.64,0.15,gain,6.44,0,SpectraVibe\Gamma-1S\K40 Дента-120мл.xml,"негатив с паспортной активностью, 2530 Бк/кг"
G1S_Th228_25cm,G1S,1024,7634.4,1908325,Th-228,,встроен,affine/grp,9,3.9,0.115,affine,6.44,0,SpectraVibe\Gamma-1S\Th228 точечный 25см.xml,"укороченный ториевый ряд, точечный источник на 25 см — суммирование слабое"
G1S_Th228_5cm,G1S,1024,1800.0,376070,Th-228,,встроен,poly2,6,1.17,0.028,gain,6.44,0,SpectraVibe\Gamma-1S\Th228 точечный 5см.xml,тот же ряд на 5 см — суммирование сильное. Пара к предыдущему: чистая ось каскадного суммирования при неизменном всём остальном
G1S_Eu152_25cm,G1S,1024,3600.0,995657,,152EU,встроен,affine,9,2.43,0.04,affine,6.44,0,SpectraVibe\Gamma-1S\Eu152 точечный 25см.xml,"четырнадцать линий одного нуклида, 122-1408 кэВ, слабое суммирование"
G1S_Eu152_5cm,G1S,1024,1800.0,5029781,,152EU,встроен,affine,8,3.92,0.082,gain,6.44,0,SpectraVibe\Gamma-1S\Eu152 точечный 5см.xml,"тот же европий на 5 см: у Eu-152 каскадов много, и здесь они видны"
G1S_Co60_25cm,G1S,1024,1800.0,495775,,60CO,встроен,affine,3,4.89,0.093,affine,6.44,0,SpectraVibe\Gamma-1S\Co60 точечный 25см.xml,негатив; классическая каскадная пара 1173/1332
G1S_Ba133_25cm,G1S,1024,1800.0,444959,,133BA,встроен,poly2,5,4.15,0.078,affine,6.44,0,SpectraVibe\Gamma-1S\Ba133 точечный 25см.xml,"негатив из семи линий — многолинейчатый, но не цепочка"
HPGeGMX_Th232,HPGE_GMX,8192,300.0,94237,Th-232,,встроен,affine/grp,12,0.17,0.125,affine,0.2,0,SpectraVibe\HPGe GMX\Th232 17 кБк.xml,"ТОРИЕВАЯ ЦЕПОЧКА НА ГЕРМАНИИ. Единственный прежний HPGe нёс головы рядов U-238 и U-235, где сильных линий почти нет, и вето по согласованности набора там не с чем было строить"
HPGeGMX_Th228,HPGE_GMX,8192,300.0,174257,Th-228,,встроен,affine/grp,6,0.04,0.027,affine,0.2,0,SpectraVibe\HPGe GMX\Th228 68 кБк.xml,укороченный ряд на германии: линии разделены полностью
HPGeGMX_Eu152,HPGE_GMX,8192,300.0,548241,,152EU,встроен,affine/grp,7,0.03,0.019,affine,0.2,0,SpectraVibe\HPGe GMX\Eu152 244 кБк.xml,четырнадцать разрешённых линий — предельный случай для критерия согласованности
HPGeGMX_Background,HPGE_GMX,8192,956.0,62083,Th-232;Ra-226,40K,нет,affine/grp,9,0.12,0.1,-,0.2,0,SpectraVibe\HPGe GMX\Фон.xml,фон того же германия
HPGeGEM_Th232,HPGE_GEM,8192,1800.0,890416,Th-232,,Фон маринелли (дист. вода).xml,poly2,17,0.04,0.03,poly2,0.2,0,SpectraVibe\HPGe GEM20\Th232 маринелли.xml,"второй германий, маринелли: два независимых HPGe вместо одного"
HPGeGEM_Ra226,HPGE_GEM,8192,1800.0,626854,Ra-226,,Фон маринелли (дист. вода).xml,poly2,12,0.03,0.018,poly2,0.2,0,SpectraVibe\HPGe GEM20\Ra226 маринелли.xml,радий на германии — линии ряда разрешены поодиночке
HPGeGEM_K40,HPGE_GEM,8192,3600.0,70809,,40K,Фон маринелли (дист. вода).xml,gain/grp,2,0.16,0.2,poly2,0.2,0,SpectraVibe\HPGe GEM20\K40 маринелли.xml,негатив на германии
LaBrBril_Th228,LABR_BRIL,1024,3600.0,648015,Th-228,,встроен,poly2/robust/grp,11,6.25,0.188,как передний план,3.46,0,SpectraVibe\LaBr3 BrilLanCe\Th228 24см.xml,"второй LaBr3, другой производитель и вчетверо меньше каналов. ОГОВОРКА: вшитый фон Background_1 подобран апстримом автоматически и человеком не проверен (detectors/CHANGELOG.md, 27.07.2026). Оставлен: это фоновое измерение того же детектора, а образец — точечный источник на 24 см, для которого комнатный фон и есть верный"
LaBrBril_Eu152,LABR_BRIL,1024,3600.0,1024978,,152EU,встроен,affine/robust/grp,12,3.62,0.133,как передний план,3.46,0,SpectraVibe\LaBr3 BrilLanCe\Eu152 24см.xml,европий на LaBr3: 14 линий при разрешении между NaI и германием
LaBrBril_Background,LABR_BRIL,1024,3600.0,416667,Th-232;Ra-226,40K,нет,poly2/grp,8,3.8,0.165,-,3.46,0,SpectraVibe\LaBr3 BrilLanCe\Фон.xml,фон LaBr3 — у кристалла есть собственная активность
CZTTeCd_Mix,CZT_TECD,4095,1800.0,4152901,,241AM;139CE;137CS;60CO;88Y,нет,poly2,7,0.2,0.02,-,1.74,0,SpectraVibe\CZT TeCd\Смесь Am-Ce-Cs-Co-Y.xml,"второй CZT и первая в корпусе СМЕСЬ из пяти независимых нуклидов: проверка, не примет ли фит чужие линии за свою цепочку"
