arm;line_kev;delta_kev;peak_bin;centroid_kev;offset_kev;window_centroid_kev;window_offset_kev;area;in_peak_share;dipole_share;image_width_kev;sigma_growth_percent
node;414.6610;0.6610;207;;;;;;;;;-0.159403
node;434.1901;0.1901;217;;;;;;;;;-0.043772
node;454.6389;0.6389;227;;;;;;;;;-0.140524
node;476.0508;0.0508;238;;;;;;;;;-0.010664
node;498.4711;0.4711;249;;;;;;;;;-0.094505
node;521.9473;-0.0527;261;;;;;;;;;0.010094
node;546.5292;0.5292;273;;;;;;;;;-0.096829
node;572.2688;0.2688;286;;;;;;;;;-0.046971
node;599.2206;-0.7794;300;;;;;;;;;0.130062
node;627.4418;-0.5582;314;;;;;;;;;0.088960
node;656.9921;0.9921;328;;;;;;;;;-0.151011
node;687.9341;-0.0659;344;;;;;;;;;0.009573
node;720.3334;0.3334;360;;;;;;;;;-0.046287
node;754.2586;0.2586;377;;;;;;;;;-0.034284
node;789.7815;-0.2185;395;;;;;;;;;0.027664
node;826.9774;0.9774;413;;;;;;;;;-0.118195
node;865.9252;-0.0748;433;;;;;;;;;0.008641
node;906.7072;0.7072;453;;;;;;;;;-0.077996
node;949.4099;-0.5901;475;;;;;;;;;0.062153
node;994.1238;0.1238;497;;;;;;;;;-0.012451
node;1040.9435;0.9435;520;;;;;;;;;-0.090640
node;1089.9683;-0.0317;545;;;;;;;;;0.002909
node;1141.3020;-0.6980;571;;;;;;;;;0.061162
node;1195.0533;-0.9467;598;;;;;;;;;0.079221
node;1251.3361;-0.6639;626;;;;;;;;;0.053058
node;1310.2696;0.2696;655;;;;;;;;;-0.020575
node;1371.9787;-0.0213;686;;;;;;;;;0.001554
node;1436.5940;0.5940;718;;;;;;;;;-0.041351
node;1504.2526;0.2526;752;;;;;;;;;-0.016790
node;1575.0976;-0.9024;788;;;;;;;;;0.057294
node;1649.2791;-0.7209;825;;;;;;;;;0.043709
node;1726.9544;0.9544;863;;;;;;;;;-0.055262
node;1808.2878;0.2878;904;;;;;;;;;-0.015917
node;1893.4518;-0.5482;947;;;;;;;;;0.028951
node;1982.6267;0.6267;991;;;;;;;;;-0.031611
node;2076.0015;0.0015;1038;;;;;;;;;-0.000071
node;2173.7738;-0.2262;1087;;;;;;;;;0.010404
node;2276.1509;0.1509;1138;;;;;;;;;-0.006631
node;2383.3496;-0.6504;1192;;;;;;;;;0.027288
node;2495.5970;-0.4030;1248;;;;;;;;;0.016148
node;2613.1308;-0.8692;1307;;;;;;;;;0.033261
node;2736.2001;0.2001;1368;;;;;;;;;-0.007313
node;2865.0655;-0.9345;1433;;;;;;;;;0.032617
node;3000.0000;0.0000;1500;;;;;;;;;0.000000
