spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,live,key
edge93,edge93,3.3,ring05,eq,752.667,102.104,108.602,14.695,3.97036,27.4619,0.554392,0.0356724,0.108365,-0.145525,-0.0781081,-0.0648328,10.7056,0.999917,22.8796,23492.2,edge93__AS80_p67_edge93_r33_ring05__eq
edge93,edge93,3.3,ring05,kf2,703.052,97.8987,118.792,18.0809,2.98929,23.7058,0.513301,-0.0263541,0.0686161,-0.120566,-0.0214603,-0.0354809,13.9696,1.00068,25.3116,23492.2,edge93__AS80_p67_edge93_r33_ring05__kf2
edge93,edge93,3.3,ring10,asis,836.278,158.4,119.067,20.0639,1.71861,1.893,0.141167,-0.0218872,-0.00822094,-0.0484343,-0.08734,-0.0337703,25.2943,1.00531,-16.1861,23492.2,edge93__AS80_p67_edge93_r33__asis
edge93,edge93,3.3,ring10,eq,767.01,100.909,109.527,14.3918,3.99277,27.4948,0.554737,0.0303415,0.105817,-0.151544,-0.0820136,-0.0644648,10.3954,0.999835,23.0369,23492.2,edge93__AS80_p67_edge93_r33__eq
edge93,edge93,3.3,ring10,kf2,716.787,96.6553,120.294,17.7941,3.00096,23.7282,0.513522,-0.0306921,0.0670078,-0.122662,-0.0214135,-0.0335589,13.6369,1.00062,25.3057,23492.2,edge93__AS80_p67_edge93_r33__kf2
edge93,edge93,3.3,ring20,asis,796.67,126.794,212.577,35.4108,1.83955,2.42975,0.178612,-0.116695,-0.000298455,-0.0274153,-0.098003,-0.0934314,24.1011,1.00829,-38.0126,23492.2,edge93__AS80_p67_edge93_r33_ring20__asis
edge93,edge93,3.3,ring20,eq,789.931,98.5581,111.569,13.9895,4.02359,27.632,0.556172,0.0200759,0.0976196,-0.152638,-0.0821018,-0.0560174,10.3668,0.999929,23.0677,23492.2,edge93__AS80_p67_edge93_r33_ring20__eq
edge93,edge93,3.3,ring20,kf2,736.928,94.1845,123.524,17.4137,3.0286,23.7832,0.514143,-0.0413785,0.0591656,-0.124186,-0.0224479,-0.0311804,13.6676,1.00059,25.8383,23492.2,edge93__AS80_p67_edge93_r33_ring20__kf2
edge93,edge93,3.8,ring10,asis,797.956,126.36,205.471,34.3615,1.83922,2.44212,0.179383,-0.124743,0.00157977,-0.0284185,-0.0958561,-0.0890407,25.0522,1.00828,-37.6251,23492.2,edge93__AS80_p67_edge93_r38__asis
edge93,edge93,3.8,ring10,eq,802.645,96.8452,113.238,14.1566,4.02228,27.6423,0.55628,-0.0108698,0.113275,-0.145643,-0.0746394,-0.045936,9.54518,0.9999,22.8899,23492.2,edge93__AS80_p67_edge93_r38__eq
edge93,edge93,3.8,ring10,kf2,745.714,75.6118,123.349,16.7031,3.01979,23.7831,0.514111,-0.0551201,0.0673214,-0.121041,-0.0200386,-0.0274958,13.5877,1.00065,25.3046,23492.2,edge93__AS80_p67_edge93_r38__kf2
edge93,edge93,4.2,ring10,asis,857.449,143.505,177.432,29.7512,1.79185,2.13819,0.159373,-0.0936751,0.00163455,-0.0316152,-0.0825261,-0.0443958,24.7566,1.00625,-27.7184,23492.2,edge93__AS80_p67_edge93_r42__asis
edge93,edge93,4.2,ring10,eq,823.919,93.6738,122.131,14.6824,4.03957,27.7113,0.557001,-0.0472367,0.119168,-0.139023,-0.0736523,-0.043278,8.93749,0.999511,22.4841,23492.2,edge93__AS80_p67_edge93_r42__eq
edge93,edge93,4.2,ring10,kf2,760.829,72.8157,126.212,16.1745,3.14283,24.1177,0.517911,-0.0717897,0.0587674,-0.120106,-0.0204274,-0.0274988,13.9856,1.00058,25.6317,23492.2,edge93__AS80_p67_edge93_r42__kf2
edge93,edge93,4.345,ring10,asis,873.047,138.068,185.174,29.4071,1.83381,2.27562,0.16871,-0.125968,-0.0113796,-0.0388667,-0.0758629,-0.0299332,27.0502,1.00628,-28.3536,23492.2,edge93__AS80_p67_edge93_p13__asis
edge93,edge93,4.345,ring10,eq,866.848,89.6199,148.242,17.3257,4.02728,27.7004,0.556921,-0.138881,0.112143,-0.122078,-0.0584082,-0.0126233,6.85366,0.999294,21.6385,23492.2,edge93__AS80_p67_edge93_p13__eq
edge93,edge93,4.345,ring10,kf2,808.813,74.2514,128.904,15.9364,3.03243,23.8111,0.514427,-0.0937928,0.0285232,-0.111773,-0.0159274,-0.00701036,13.74,1.00022,26.3189,23492.2,edge93__AS80_p67_edge93_p13__kf2
face81,face81,2.8,ring10,asis,520.751,99.0813,,,4.08609,7.55318,0.147867,0.0132858,-0.0281607,-0.0334127,-0.0416242,-0.264068,66.5901,0.992014,0,57251.4,face81__AS80_p67_face81_r28__asis
face81,face81,2.8,ring10,eq,644.34,119.086,,,3.88105,32.3877,0.299147,-0.0462708,-0.0329718,-0.0162822,-0.03153,-0.182499,62.1063,1.00721,0,57251.4,face81__AS80_p67_face81_r28__eq
face81,face81,2.8,ring10,kf2,604.568,98.6642,,,3.08468,30.2268,0.288397,-0.0494551,-0.00184274,-0.0131903,-0.0585246,-0.0946102,64.3836,1.01058,0,57251.4,face81__AS80_p67_face81_r28__kf2
face81,face81,3.3,ring10,asis,545.07,102.235,,,4.02191,7.37862,0.145892,0.0140275,-0.0273854,-0.0303281,-0.0339781,-0.24655,65.2562,0.991958,0,57251.4,face81__AS80_p67_face81_r33__asis
face81,face81,3.3,ring10,eq,644.145,116.872,15.3787,3.24946,3.87405,32.6344,0.300304,-0.0503343,-0.0329314,-0.0149813,-0.0310701,-0.182815,61.6764,1.00713,0,57251.4,face81__AS80_p67_face81_r33__eq
face81,face81,3.3,ring10,kf2,616.583,94.5124,,,3.1484,30.4843,0.289668,-0.0484568,-0.00295132,-0.0121111,-0.0563017,-0.084871,63.9521,1.01052,0,57251.4,face81__AS80_p67_face81_r33__kf2
face81,face81,3.8,ring10,asis,561.766,103.269,,,3.96649,7.16943,0.143474,0.0156968,-0.0231817,-0.0286817,-0.029812,-0.236214,63.9791,0.991983,0,57251.4,face81__AS80_p67_face81_r38__asis
face81,face81,3.8,ring10,eq,650.977,116.622,15.1977,3.17557,3.87334,32.8343,0.301252,-0.0520077,-0.0329862,-0.0153432,-0.030856,-0.17846,61.4993,1.00721,0,57251.4,face81__AS80_p67_face81_r38__eq
face81,face81,3.8,ring10,kf2,614.359,96.7117,,,3.05722,30.7471,0.290981,-0.0413194,-0.00558278,-0.0109613,-0.0507021,-0.0881284,64.5659,1.01059,0,57251.4,face81__AS80_p67_face81_r38__kf2
face81,face81,4.2,ring10,asis,569.288,102.61,,,3.95621,7.06401,0.142236,0.0147602,-0.0204458,-0.0287611,-0.027792,-0.233839,63.2523,0.991928,0,57251.4,face81__AS80_p67_face81_r42__asis
face81,face81,4.2,ring10,eq,653.969,115.374,,,3.93649,33.4378,0.304129,-0.0526611,-0.0343056,-0.0197164,-0.0313596,-0.180195,62.2623,1.00713,0,57251.4,face81__AS80_p67_face81_r42__eq
face81,face81,4.2,ring10,kf2,621.924,91.5694,,,3.19331,30.8401,0.291413,-0.0505307,-0.00328347,-0.0123601,-0.0557159,-0.0850534,64.1073,1.01058,0,57251.4,face81__AS80_p67_face81_r42__kf2
face81,face81,4.345,ring10,asis,575.265,103.329,,,3.96233,6.907,0.140397,0.00647458,-0.0150715,-0.0278321,-0.0267106,-0.229436,62.9079,0.991979,0,57251.4,face81__AS80_p67_face81_p13__asis
face81,face81,4.345,ring10,eq,665.363,115.929,,,3.91178,32.9058,0.301607,-0.0584847,-0.0365289,-0.0188214,-0.0301187,-0.170574,62.6073,1.0072,0,57251.4,face81__AS80_p67_face81_p13__eq
face81,face81,4.345,ring10,kf2,617.441,101.089,,,2.88998,30.0469,0.287516,-0.0282845,-0.00808115,-0.0108868,-0.0433009,-0.0902832,66.0151,1.01061,0,57251.4,face81__AS80_p67_face81_p13__kf2
