spectrum,geom,rho,ring,arm,A_Th-232,z_Th-232,A_Ra-226,z_Ra-226,chi2ndf,chi2pois,resid,pk238,pk338,pk583,pk911,pk2614,spline,gain,offset,live,key
edge93,edge93,2.8,ring10,asis,798.772,163.984,115.448,20.7939,1.64324,1.78699,0.132523,-0.0095629,-0.0102982,-0.0511899,-0.0977408,-0.0585202,25.3369,1.00526,-16.0715,23492.2,edge93__AS80_p67_edge93_r28__asis
edge93,edge93,3.3,ring05,asis,822.269,161.503,121.196,21.1764,1.6658,1.81908,0.135197,-0.0199857,-0.00603082,-0.0398911,-0.079365,-0.0344932,25.1842,1.00409,-16.0619,23492.2,edge93__AS80_p67_edge93_r33_ring05__asis
edge93,edge93,3.3,ring10,asis,836.278,158.4,119.067,20.0639,1.71861,1.893,0.141167,-0.0218872,-0.00822094,-0.0484343,-0.08734,-0.0337703,25.2943,1.00531,-16.1861,23492.2,edge93__AS80_p67_edge93_r33__asis
edge93,edge93,3.3,ring20,asis,796.67,126.794,212.577,35.4108,1.83955,2.42975,0.178612,-0.116695,-0.000298455,-0.0274153,-0.098003,-0.0934314,24.1011,1.00829,-38.0126,23492.2,edge93__AS80_p67_edge93_r33_ring20__asis
edge93,edge93,3.8,ring10,asis,797.956,126.36,205.471,34.3615,1.83922,2.44212,0.179383,-0.124743,0.00157977,-0.0284185,-0.0958561,-0.0890407,25.0522,1.00828,-37.6251,23492.2,edge93__AS80_p67_edge93_r38__asis
edge93,edge93,4.2,ring10,asis,857.449,143.505,177.432,29.7512,1.79185,2.13819,0.159373,-0.0936751,0.00163455,-0.0316152,-0.0825261,-0.0443958,24.7566,1.00625,-27.7184,23492.2,edge93__AS80_p67_edge93_r42__asis
edge93,edge93,4.345,ring10,asis,873.047,138.068,185.174,29.4071,1.83381,2.27562,0.16871,-0.125968,-0.0113796,-0.0388667,-0.0758629,-0.0299332,27.0502,1.00628,-28.3536,23492.2,edge93__AS80_p67_edge93_p13__asis
face81,face81,2.8,ring10,asis,520.751,99.0813,,,4.08609,7.55318,0.147867,0.0132858,-0.0281607,-0.0334127,-0.0416242,-0.264068,66.5901,0.992014,0,57251.4,face81__AS80_p67_face81_r28__asis
face81,face81,3.3,ring10,asis,545.07,102.235,,,4.02191,7.37862,0.145892,0.0140275,-0.0273854,-0.0303281,-0.0339781,-0.24655,65.2562,0.991958,0,57251.4,face81__AS80_p67_face81_r33__asis
face81,face81,3.8,ring10,asis,561.766,103.269,,,3.96649,7.16943,0.143474,0.0156968,-0.0231817,-0.0286817,-0.029812,-0.236214,63.9791,0.991983,0,57251.4,face81__AS80_p67_face81_r38__asis
face81,face81,4.2,ring10,asis,569.288,102.61,,,3.95621,7.06401,0.142236,0.0147602,-0.0204458,-0.0287611,-0.027792,-0.233839,63.2523,0.991928,0,57251.4,face81__AS80_p67_face81_r42__asis
face81,face81,4.345,ring10,asis,575.265,103.329,,,3.96233,6.907,0.140397,0.00647458,-0.0150715,-0.0278321,-0.0267106,-0.229436,62.9079,0.991979,0,57251.4,face81__AS80_p67_face81_p13__asis
