ch,keV,net,model,continuum_raw,untied_tail,fit,Pb-212,Ra-224,continuum
35,7.257,225.078,114.195,114.195,0.000,225.078,0.000,0.000,114.195
36,7.633,223.098,117.348,117.348,0.000,223.098,0.000,0.000,117.348
37,8.010,278.279,120.500,120.500,0.000,278.279,0.000,0.000,120.500
38,8.386,271.052,123.651,123.651,0.000,271.052,0.000,0.000,123.651
39,8.763,291.282,126.802,126.802,0.000,291.282,0.000,0.000,126.802
40,9.139,308.314,129.954,129.954,0.000,308.314,0.000,0.000,129.954
41,9.516,362.285,133.106,133.106,0.000,362.285,0.000,0.000,133.106
42,9.892,356.225,136.260,136.260,0.000,356.225,0.000,0.000,136.260
43,10.269,406.860,139.415,139.415,0.000,406.860,0.000,0.000,139.415
44,10.646,393.774,142.570,142.570,0.000,393.774,0.000,0.000,142.570
45,11.022,406.780,145.727,145.727,0.000,406.780,0.000,0.000,145.727
46,11.399,415.743,148.884,148.884,0.000,415.743,0.000,0.000,148.884
47,11.775,452.001,152.042,152.042,0.000,452.001,0.000,0.000,152.042
48,12.152,427.996,155.199,155.199,0.000,427.996,0.000,0.000,155.199
49,12.529,444.304,158.356,158.356,0.000,444.304,0.000,0.000,158.356
50,12.906,484.024,161.511,161.511,0.000,484.024,0.000,0.000,161.511
51,13.282,410.660,164.666,164.666,0.000,410.660,0.000,0.000,164.666
52,13.659,405.629,167.818,167.818,0.000,405.629,0.000,0.000,167.818
53,14.036,429.460,170.969,170.969,0.000,429.460,0.000,0.000,170.969
54,14.413,423.450,174.118,174.118,0.000,423.450,0.000,0.000,174.118
55,14.789,389.338,177.264,177.264,0.000,389.338,0.000,0.000,177.264
56,15.166,395.294,180.408,180.408,0.000,395.294,0.000,0.000,180.408
57,15.543,393.292,183.551,183.551,0.000,393.292,0.000,0.000,183.551
58,15.920,358.071,186.691,186.691,0.000,358.071,0.000,0.000,186.691
59,16.297,351.056,189.829,189.829,0.000,351.056,0.000,0.000,189.829
60,16.674,346.802,192.965,192.965,0.000,346.802,0.000,0.000,192.965
61,17.051,320.640,196.099,196.099,0.000,320.640,0.000,0.000,196.099
62,17.427,321.609,199.233,199.233,0.000,321.609,0.000,0.000,199.233
63,17.804,311.864,202.364,202.364,0.000,311.864,0.000,0.000,202.364
64,18.181,281.150,201.011,201.011,0.000,281.150,0.000,0.000,201.011
65,18.558,269.900,199.656,199.656,0.000,269.900,0.000,0.000,199.656
66,18.935,241.875,198.301,198.301,0.000,241.875,0.000,0.000,198.301
67,19.312,223.932,196.946,196.946,0.000,223.932,0.000,0.000,196.946
68,19.689,239.478,195.591,195.591,0.000,239.478,0.000,0.000,195.591
69,20.066,170.094,194.237,194.237,0.000,170.094,0.000,0.000,194.237
70,20.443,175.780,192.883,192.883,0.000,175.780,0.000,0.000,192.883
71,20.820,172.729,191.530,191.530,0.000,172.729,0.000,0.000,191.530
72,21.198,128.035,190.179,190.179,0.000,128.035,0.000,0.000,190.179
73,21.575,108.002,188.829,188.829,0.000,108.002,0.000,0.000,188.829
74,21.952,100.691,187.480,187.480,0.000,100.691,0.000,0.000,187.480
75,22.329,79.518,186.134,186.134,0.000,79.518,0.000,0.000,186.134
76,22.706,66.217,184.790,184.790,0.000,66.217,0.000,0.000,184.790
77,23.083,79.009,183.448,183.448,0.000,79.009,0.000,0.000,183.448
78,23.460,64.778,182.108,182.108,0.000,64.778,0.000,0.000,182.108
79,23.838,40.841,180.771,180.771,0.000,40.841,0.000,0.000,180.771
80,24.215,34.252,179.436,179.436,0.000,34.252,0.000,0.000,179.436
81,24.592,40.687,178.105,178.105,0.000,40.687,0.000,0.000,178.105
82,24.969,76.108,176.776,176.776,0.000,76.108,0.000,0.000,176.776
83,25.346,40.490,175.449,175.449,0.000,40.490,0.000,0.000,175.449
84,25.724,40.753,174.126,174.126,0.000,40.753,0.000,0.000,174.126
85,26.101,54.990,172.806,172.806,0.000,54.990,0.000,0.000,172.806
86,26.478,40.579,171.488,171.488,0.000,40.579,0.000,0.000,171.488
87,26.856,37.904,170.173,170.173,0.000,37.904,0.000,0.000,170.173
88,27.233,33.382,168.861,168.861,0.000,33.382,0.000,0.000,168.861
89,27.610,46.118,167.551,167.551,0.000,46.118,0.000,0.000,167.551
90,27.988,28.477,166.244,166.244,0.000,28.477,0.000,0.000,166.244
91,28.365,10.752,164.939,164.939,0.000,10.752,0.000,0.000,164.939
92,28.743,16.365,163.637,163.637,0.000,16.365,0.000,0.000,163.637
93,29.120,46.001,162.337,162.337,0.000,46.001,0.000,0.000,162.337
94,29.497,19.043,161.040,161.040,0.000,19.043,0.000,0.000,161.040
95,29.875,28.126,159.745,159.745,0.000,28.126,0.000,0.000,159.745
96,30.252,28.990,158.453,158.453,0.000,28.990,0.000,0.000,158.453
97,30.630,10.806,157.163,157.163,0.000,10.806,0.000,0.000,157.163
98,31.007,37.180,155.876,155.876,0.000,37.180,0.000,0.000,155.876
99,31.385,17.282,154.592,154.592,0.000,17.282,0.000,0.000,154.592
100,31.763,6.828,153.312,153.312,0.000,6.828,0.000,0.000,153.312
101,32.140,25.761,152.036,152.036,0.000,25.761,0.000,0.000,152.036
102,32.518,25.492,150.766,150.766,0.000,25.492,0.000,0.000,150.766
103,32.895,43.650,149.501,149.501,0.000,43.650,0.000,0.000,149.501
104,33.273,24.576,148.243,148.243,0.000,24.576,0.000,0.000,148.243
105,33.651,19.205,146.993,146.993,0.000,19.205,0.000,0.000,146.993
106,34.028,14.839,145.753,145.753,0.000,14.839,0.000,0.000,145.753
107,34.406,29.546,144.524,144.524,0.000,29.546,0.000,0.000,144.524
108,34.783,28.818,143.308,143.308,0.000,28.818,0.000,0.000,143.308
109,35.161,28.455,142.106,142.106,0.000,28.455,0.000,0.000,142.106
110,35.539,55.045,140.920,140.920,0.000,55.045,0.000,0.000,140.920
111,35.917,60.828,139.753,139.753,0.000,60.828,0.000,0.000,139.753
112,36.294,72.396,138.606,138.606,0.000,72.396,0.000,0.000,138.606
113,36.672,61.174,137.482,137.482,0.000,61.174,0.000,0.000,137.482
114,37.050,0.000,136.382,136.382,0.000,-12.714,0.000,0.000,136.382
115,37.428,64.202,135.309,135.309,0.000,64.202,0.000,0.000,135.309
116,37.806,33.848,134.264,134.264,0.000,33.848,0.000,0.000,134.264
117,38.183,56.633,133.248,133.248,0.000,56.633,0.000,0.000,133.248
118,38.561,72.058,132.264,132.264,0.000,72.058,0.000,0.000,132.264
119,38.939,67.373,131.311,131.311,0.000,67.373,0.000,0.000,131.311
120,39.317,59.629,130.390,130.390,0.000,59.629,0.000,0.000,130.390
121,39.695,95.422,129.501,129.500,0.000,95.422,0.000,0.000,129.500
122,40.073,78.009,128.642,128.641,0.000,78.009,0.001,0.000,128.641
123,40.451,126.887,127.811,127.810,0.000,126.887,0.001,0.000,127.810
124,40.829,87.902,127.007,127.005,0.000,87.902,0.001,0.000,127.005
125,41.207,70.895,126.224,126.223,0.000,70.895,0.002,0.000,126.223
126,41.585,88.751,125.460,125.458,0.000,88.751,0.003,0.000,125.458
127,41.963,98.748,124.709,124.706,0.000,98.748,0.004,0.000,124.706
128,42.341,115.813,123.965,123.960,0.000,115.813,0.005,0.000,123.960
129,42.719,123.219,123.220,123.214,0.000,123.219,0.007,0.000,123.214
130,43.097,140.568,122.468,122.459,0.000,140.568,0.009,0.000,122.459
131,43.475,76.833,121.701,121.689,0.000,76.833,0.012,0.000,121.689
132,43.853,129.887,120.910,120.894,0.000,129.887,0.016,0.000,120.894
133,44.231,105.843,120.087,120.066,0.000,105.843,0.021,0.000,120.066
134,44.609,138.383,119.224,119.196,0.000,138.383,0.028,0.000,119.196
135,44.987,135.223,118.313,118.277,0.000,135.223,0.037,0.000,118.277
136,45.365,108.885,117.347,117.300,0.000,108.885,0.047,0.000,117.300
137,45.743,100.982,116.319,116.258,0.000,100.982,0.061,0.000,116.258
138,46.122,114.215,115.224,115.146,0.000,114.215,0.078,0.000,115.146
139,46.500,138.469,114.057,113.958,0.000,138.469,0.098,0.000,113.958
140,46.878,99.743,112.815,112.692,0.000,99.743,0.124,0.000,112.692
141,47.256,110.842,111.498,111.344,0.000,110.842,0.154,0.000,111.344
142,47.634,160.346,110.104,109.913,0.000,160.346,0.191,0.000,109.913
143,48.013,127.845,110.578,110.343,0.000,127.845,0.235,0.000,110.343
144,48.391,123.964,110.980,110.693,0.000,123.964,0.287,0.000,110.693
145,48.769,134.082,111.315,110.967,0.000,134.082,0.348,0.000,110.967
146,49.147,167.392,111.589,111.170,0.000,167.392,0.418,0.000,111.170
147,49.526,134.671,111.808,111.307,0.000,134.671,0.500,0.000,111.307
148,49.904,158.983,111.980,111.386,0.000,158.983,0.593,0.001,111.386
149,50.283,161.109,112.113,111.413,0.000,161.109,0.699,0.001,111.413
150,50.661,132.820,112.217,111.397,0.000,132.820,0.818,0.001,111.397
151,51.039,128.274,112.299,111.346,0.000,128.274,0.952,0.001,111.346
152,51.418,185.966,112.368,111.268,0.000,185.966,1.099,0.002,111.268
153,51.796,177.828,112.434,111.172,0.000,177.828,1.260,0.002,111.172
154,52.175,177.644,112.504,111.065,0.000,177.644,1.437,0.003,111.065
155,52.553,166.764,112.585,110.955,0.000,166.764,1.627,0.003,110.955
156,52.931,180.924,112.683,110.849,0.000,180.924,1.830,0.004,110.849
157,53.310,183.599,112.804,110.753,0.000,183.599,2.047,0.005,110.753
158,53.688,150.490,112.953,110.672,0.000,150.490,2.275,0.006,110.672
159,54.067,177.499,113.134,110.613,0.000,177.499,2.514,0.007,110.613
160,54.445,160.424,113.348,110.578,0.000,160.424,2.761,0.009,110.578
161,54.824,187.457,113.597,110.571,0.000,187.457,3.016,0.011,110.571
162,55.203,181.185,113.883,110.594,0.000,181.185,3.276,0.013,110.594
163,55.581,165.207,114.206,110.650,0.000,165.207,3.540,0.015,110.650
164,55.960,204.100,114.563,110.740,0.000,204.100,3.805,0.018,110.740
165,56.338,137.476,114.956,110.865,0.000,137.476,4.070,0.021,110.865
166,56.717,122.881,115.381,111.024,0.000,122.881,4.333,0.024,111.024
167,57.096,141.186,115.837,111.217,0.000,141.186,4.592,0.028,111.217
168,57.474,223.132,116.322,111.445,0.000,223.132,4.845,0.032,111.445
169,57.853,208.794,116.834,111.705,0.000,208.794,5.092,0.037,111.705
170,58.232,159.173,117.371,111.998,0.000,159.173,5.331,0.042,111.998
171,58.610,142.795,117.930,112.321,0.000,142.795,5.562,0.047,112.321
172,58.989,147.503,118.510,112.673,0.000,147.503,5.784,0.053,112.673
173,59.368,238.858,119.109,113.052,0.000,238.858,5.998,0.059,113.052
174,59.747,177.395,119.726,113.456,0.000,177.395,6.204,0.065,113.456
175,60.125,220.217,120.360,113.884,0.000,220.217,6.403,0.072,113.884
176,60.504,232.322,121.011,114.334,0.000,232.322,6.598,0.079,114.334
177,60.883,176.871,121.679,114.804,0.000,176.871,6.788,0.086,114.804
178,61.262,168.417,122.364,115.292,0.000,168.417,6.978,0.094,115.292
179,61.641,146.503,123.067,115.796,0.000,146.503,7.170,0.101,115.796
180,62.020,189.466,123.791,116.315,0.000,189.466,7.367,0.109,116.315
181,62.398,189.016,124.537,116.847,0.000,189.016,7.574,0.117,116.847
182,62.777,167.576,125.309,117.390,0.000,167.576,7.794,0.124,117.390
183,63.156,200.799,126.109,117.944,0.000,200.799,8.034,0.132,117.944
184,63.535,206.261,126.944,118.506,0.000,206.261,8.299,0.139,118.506
185,63.914,212.080,127.817,119.076,0.000,212.080,8.595,0.146,119.076
186,64.293,213.056,128.734,119.652,0.000,213.056,8.929,0.153,119.652
187,64.672,187.086,129.704,120.233,0.000,187.086,9.310,0.160,120.233
188,65.051,190.047,130.732,120.820,0.000,190.047,9.746,0.166,120.820
189,65.430,204.460,131.828,121.410,0.000,204.460,10.246,0.172,121.410
190,65.809,208.223,133.000,122.003,0.000,208.223,10.819,0.178,122.003
191,66.188,209.459,134.259,122.599,0.000,209.459,11.477,0.183,122.599
192,66.567,216.721,135.616,123.197,0.000,216.721,12.230,0.188,123.197
193,66.946,198.986,137.080,123.797,0.000,198.986,13.090,0.193,123.797
194,67.325,209.378,138.663,124.398,0.000,209.378,14.068,0.197,124.398
195,67.704,238.437,140.377,125.000,0.000,238.437,15.176,0.201,125.000
196,68.084,211.988,142.232,125.604,0.000,211.988,16.424,0.205,125.604
197,68.463,231.754,144.240,126.207,0.000,231.754,17.824,0.208,126.207
198,68.842,227.972,146.408,126.812,0.000,227.972,19.385,0.211,126.812
199,69.221,196.826,148.747,127.416,0.000,196.826,21.116,0.215,127.416
200,69.600,234.825,151.263,128.021,0.000,234.825,23.024,0.218,128.021
201,69.979,258.961,153.960,128.627,0.000,258.961,25.113,0.221,128.627
202,70.359,225.502,156.841,129.232,0.000,225.502,27.385,0.224,129.232
203,70.738,229.885,159.906,129.838,0.000,229.885,29.842,0.227,129.838
204,71.117,213.664,163.152,130.443,0.000,213.664,32.478,0.231,130.443
205,71.496,274.958,166.570,131.049,0.000,274.958,35.287,0.235,131.049
206,71.876,297.348,170.152,131.655,0.000,297.348,38.258,0.239,131.655
207,72.255,263.912,173.882,132.260,0.000,263.912,41.377,0.244,132.260
208,72.634,285.421,177.742,132.866,0.000,285.421,44.626,0.250,132.866
209,73.014,177.895,181.710,133.472,0.000,177.895,47.981,0.257,133.472
210,73.393,283.551,185.761,134.078,0.000,283.551,51.418,0.265,134.078
211,73.772,281.088,189.863,134.684,0.000,281.088,54.905,0.274,134.684
212,74.152,294.375,193.986,135.290,0.000,294.375,58.412,0.285,135.290
213,74.531,290.300,198.094,135.895,0.000,290.300,61.901,0.297,135.895
214,74.911,340.173,202.148,136.501,0.000,340.173,65.336,0.311,136.501
215,75.290,292.247,206.112,137.107,0.000,292.247,68.677,0.327,137.107
216,75.669,355.490,209.943,137.713,0.000,355.490,71.885,0.345,137.713
217,76.049,393.137,213.605,138.319,0.000,393.137,74.920,0.366,138.319
218,76.428,324.902,217.056,138.925,0.000,324.902,77.743,0.389,138.925
219,76.808,293.707,220.262,139.531,0.000,293.707,80.317,0.414,139.531
220,77.187,301.551,223.187,140.136,0.000,301.551,82.609,0.442,140.136
221,77.567,284.302,225.801,140.742,0.000,284.302,84.586,0.473,140.742
222,77.946,306.642,228.078,141.348,0.000,306.642,86.224,0.506,141.348
223,78.326,255.049,229.996,141.954,0.000,255.049,87.500,0.542,141.954
224,78.706,336.056,231.539,142.560,0.000,336.056,88.398,0.581,142.560
225,79.085,292.207,232.697,143.166,0.000,292.207,88.910,0.622,143.166
226,79.465,364.012,233.467,143.772,0.000,364.012,89.030,0.665,143.772
227,79.844,273.325,233.852,144.377,0.000,273.325,88.764,0.711,144.377
228,80.224,238.475,233.859,144.983,0.000,238.475,88.118,0.757,144.983
229,80.604,291.785,233.506,145.589,0.000,291.785,87.111,0.806,145.589
230,80.983,257.701,232.813,146.195,0.000,257.701,85.763,0.855,146.195
231,81.363,275.630,231.806,146.801,0.000,275.630,84.102,0.904,146.801
232,81.743,301.563,230.518,147.407,0.000,301.563,82.159,0.952,147.407
233,82.122,232.748,228.983,148.013,0.000,232.748,79.970,1.000,148.013
234,82.502,334.408,227.239,148.618,0.000,334.408,77.574,1.047,148.618
235,82.882,283.847,225.327,149.224,0.000,283.847,75.012,1.091,149.224
236,83.262,250.025,223.288,149.830,0.000,250.025,72.325,1.133,149.830
237,83.641,234.588,221.163,150.436,0.000,234.588,69.556,1.171,150.436
238,84.021,230.832,218.992,151.042,0.000,230.832,66.745,1.205,151.042
239,84.401,302.032,216.813,151.648,0.000,302.032,63.931,1.235,151.648
240,84.781,241.059,214.662,152.254,0.000,241.059,61.149,1.260,152.254
241,85.161,181.701,212.570,152.859,0.000,181.701,58.431,1.279,152.859
242,85.541,208.319,208.674,151.575,0.000,208.319,55.805,1.294,151.575
243,85.920,174.967,204.887,150.290,0.000,174.967,53.294,1.302,150.290
244,86.300,189.113,201.226,149.006,0.000,189.113,50.915,1.305,149.006
245,86.680,116.059,197.705,147.721,0.000,116.059,48.681,1.303,147.721
246,87.060,111.704,194.330,146.437,0.000,111.704,46.598,1.295,146.437
247,87.440,209.312,191.104,145.152,0.000,209.312,44.670,1.281,145.152
248,87.820,154.318,188.024,143.868,0.000,154.318,42.894,1.263,143.868
249,88.200,154.360,185.085,142.583,0.000,154.360,41.262,1.240,142.583
250,88.580,141.253,182.276,141.299,0.000,141.253,39.764,1.213,141.299
251,88.960,121.687,179.585,140.014,0.000,121.687,38.388,1.183,140.014
252,89.340,127.533,176.997,138.730,0.000,127.533,37.118,1.149,138.730
253,89.720,104.306,174.495,137.445,0.000,104.306,35.936,1.114,137.445
254,90.100,173.343,172.063,136.161,0.000,173.343,34.826,1.077,136.161
255,90.480,197.451,169.684,134.876,0.000,197.451,33.769,1.039,134.876
256,90.860,140.765,167.341,133.591,0.000,140.765,32.749,1.000,133.591
257,91.241,77.759,165.019,132.307,0.000,77.759,31.751,0.962,132.307
258,91.621,137.026,162.705,131.022,0.000,137.026,30.759,0.924,131.022
259,92.001,169.878,160.387,129.738,0.000,169.878,29.762,0.887,129.738
260,92.381,49.650,158.055,128.453,0.000,49.650,28.750,0.851,128.453
261,92.761,101.668,155.703,127.169,0.000,101.668,27.717,0.818,127.169
262,93.141,66.735,153.327,125.884,0.000,66.735,26.657,0.786,125.884
263,93.521,113.365,150.924,124.600,0.000,113.365,25.568,0.756,124.600
264,93.902,117.882,148.494,123.315,0.000,117.882,24.452,0.728,123.315
265,94.282,59.032,146.041,122.031,0.000,59.032,23.309,0.702,122.031
266,94.662,73.758,143.568,120.746,0.000,73.758,22.144,0.678,120.746
267,95.042,95.384,141.080,119.462,0.000,95.384,20.963,0.656,119.462
268,95.423,70.452,138.586,118.177,0.000,70.452,19.773,0.635,118.177
269,95.803,127.648,136.091,116.893,0.000,127.648,18.582,0.617,116.893
270,96.183,36.464,133.605,115.608,0.000,36.464,17.397,0.600,115.608
271,96.564,76.312,131.135,114.323,0.000,76.312,16.228,0.583,114.323
272,96.944,24.383,128.691,113.039,0.000,24.383,15.083,0.568,113.039
273,97.324,32.825,126.278,111.754,0.000,32.825,13.970,0.554,111.754
274,97.705,52.695,123.905,110.470,0.000,52.695,12.895,0.540,110.470
275,98.085,70.301,121.577,109.185,0.000,70.301,11.865,0.527,109.185
276,98.466,11.501,119.300,107.901,0.000,11.501,10.886,0.514,107.901
277,98.846,50.208,117.078,106.616,0.000,50.208,9.961,0.501,106.616
278,99.226,0.000,114.915,105.332,0.000,-27.113,9.095,0.487,105.332
279,99.607,74.383,112.812,104.047,0.000,74.383,8.290,0.474,104.047
280,99.987,7.279,110.770,102.763,0.000,7.279,7.546,0.461,102.763
281,100.368,26.874,108.790,101.478,0.000,26.874,100.243,8.547,0.000
282,100.748,44.211,106.871,100.194,0.000,44.211,98.438,8.434,0.000
283,101.129,38.146,105.012,98.909,0.000,38.146,96.693,8.319,0.000
284,101.509,55.051,103.210,97.625,0.000,55.051,95.006,8.204,0.000
285,101.890,36.002,101.463,96.340,0.000,36.002,93.375,8.089,0.000
286,102.271,46.748,99.768,95.055,0.000,46.748,91.796,7.973,0.000
287,102.651,41.932,98.122,93.771,0.000,41.932,90.265,7.856,0.000
288,103.032,9.342,96.520,92.486,0.000,9.342,88.780,7.740,0.000
289,103.412,38.251,94.959,91.202,0.000,38.251,87.336,7.623,0.000
290,103.793,40.509,93.436,89.917,0.000,40.509,85.930,7.507,0.000
291,104.174,44.025,91.948,88.633,0.000,44.025,84.557,7.390,0.000
292,104.554,42.507,90.490,87.348,0.000,42.507,83.215,7.275,0.000
293,104.935,10.050,89.059,86.064,0.000,10.050,81.900,7.159,0.000
294,105.316,40.283,87.653,84.779,0.000,40.283,80.608,7.045,0.000
295,105.696,0.000,86.269,83.495,0.000,-12.625,79.338,6.930,0.000
296,106.077,23.241,84.904,82.210,0.000,23.241,78.087,6.817,0.000
297,106.458,55.669,83.556,80.926,0.000,55.669,76.851,6.704,0.000
298,106.839,20.131,82.222,79.641,0.000,20.131,75.630,6.592,0.000
299,107.219,0.000,80.902,78.357,0.000,-16.294,74.422,6.481,0.000
300,107.600,0.000,79.594,77.072,0.000,-47.446,73.224,6.370,0.000
301,107.981,0.000,78.296,75.787,0.000,-13.534,72.036,6.260,0.000
302,108.362,24.341,77.007,74.503,0.000,24.341,70.856,6.151,0.000
303,108.743,0.000,75.726,73.218,0.000,-19.490,69.684,6.042,0.000
304,109.123,39.611,74.452,71.934,0.000,39.611,68.518,5.934,0.000
305,109.504,16.288,73.185,70.649,0.000,16.288,67.358,5.826,0.000
306,109.885,3.199,71.924,69.365,0.000,3.199,66.204,5.719,0.000
307,110.266,0.000,70.667,68.080,0.000,-35.098,65.054,5.613,0.000
308,110.647,21.931,69.416,66.796,0.000,21.931,63.909,5.507,0.000
309,111.028,67.678,68.168,65.511,0.000,67.678,62.767,5.401,0.000
310,111.409,0.000,66.924,64.227,0.000,-11.456,61.629,5.296,0.000
311,111.790,0.000,65.684,62.942,0.000,-51.188,60.493,5.191,0.000
312,112.171,0.000,64.445,61.658,0.000,-21.033,59.359,5.086,0.000
313,112.552,0.000,63.209,60.373,0.000,-86.369,58.228,4.981,0.000
314,112.933,0.000,61.974,59.089,0.000,-31.285,57.097,4.877,0.000
315,113.314,0.000,60.740,57.804,0.000,-4.421,55.967,4.773,0.000
316,113.695,0.000,59.506,56.519,0.000,-12.108,54.837,4.669,0.000
317,114.076,0.000,58.271,55.235,0.000,-6.385,53.706,4.566,0.000
318,114.457,0.000,57.036,53.950,0.000,-15.419,52.573,4.462,0.000
319,114.838,17.543,55.798,52.666,0.000,17.543,51.439,4.359,0.000
320,115.219,25.088,54.558,51.381,0.000,25.088,50.302,4.255,0.000
321,115.600,15.116,53.314,50.097,0.000,15.116,49.162,4.152,0.000
322,115.982,13.182,52.067,48.812,0.000,13.182,48.018,4.049,0.000
323,116.363,0.000,50.816,47.528,0.000,-63.928,46.870,3.946,0.000
324,116.744,0.000,49.559,46.243,0.000,-18.563,45.716,3.843,0.000
325,117.125,0.000,48.297,44.959,0.000,-2.660,44.558,3.740,0.000
326,117.506,3.179,47.030,43.674,0.000,3.179,43.393,3.637,0.000
327,117.888,17.421,45.756,42.390,0.000,17.421,42.222,3.534,0.000
328,118.269,0.000,44.476,41.105,0.000,-39.750,41.045,3.431,0.000
329,118.650,0.000,43.190,39.821,0.000,-25.840,39.862,3.329,0.000
330,119.031,30.218,41.898,38.536,0.000,30.218,38.672,3.226,0.000
331,119.413,0.000,40.599,37.251,0.000,-31.415,37.476,3.124,0.000
332,119.794,2.131,39.295,35.967,0.000,2.131,36.274,3.021,0.000
