ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,Xray-Pb,Backscatter,DE-1588,SE-1631,DE-1631,Xray-Th,SE-1588,Xray-La,continuum
1870,679.847,1958.086,1958.086,2054.964,1660.606,1382.240,318.470,0.000,254.038,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.866,0.248,0.000,32.069,0.000,0.000
1871,680.219,2045.452,2045.452,2055.012,1659.022,1379.870,318.245,0.000,256.773,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.817,0.228,0.000,32.046,0.000,0.000
1872,680.592,1935.129,1935.129,2055.063,1657.437,1377.409,318.020,0.000,259.600,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.768,0.210,0.000,32.023,0.000,0.000
1873,680.965,1929.001,1929.001,2055.122,1655.852,1374.859,317.795,0.000,262.522,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.719,0.193,0.000,32.000,0.000,0.000
1874,681.338,1976.138,1976.138,2055.193,1654.267,1372.223,317.571,0.000,265.540,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.670,0.178,0.000,31.977,0.000,0.000
1875,681.710,2003.019,2003.019,2055.279,1652.683,1369.503,317.347,0.000,268.657,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.622,0.164,0.000,31.954,0.000,0.000
1876,682.083,1998.778,1998.778,2055.385,1651.098,1366.701,317.124,0.000,271.873,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.573,0.151,0.000,31.931,0.000,0.000
1877,682.456,2031.714,2031.714,2055.515,1649.513,1363.819,316.901,0.000,275.191,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.524,0.138,0.000,31.908,0.000,0.000
1878,682.829,1992.787,1992.787,2055.673,1647.928,1360.861,316.679,0.000,278.612,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.476,0.127,0.000,31.885,0.000,0.000
1879,683.202,1992.184,1992.184,2055.864,1646.343,1357.829,316.458,0.000,282.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.427,0.117,0.000,31.862,0.000,0.000
1880,683.575,2035.253,2035.253,2056.091,1644.759,1354.726,316.237,0.000,285.770,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.379,0.107,0.000,31.839,0.000,0.000
1881,683.947,2044.874,2044.874,2056.359,1643.174,1351.554,316.017,0.000,289.511,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.330,0.098,0.000,31.816,0.000,0.000
1882,684.320,2026.665,2026.665,2056.673,1641.589,1348.316,315.797,0.000,293.361,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.282,0.090,0.000,31.793,0.000,0.000
1883,684.693,2135.701,2135.701,2057.036,1640.004,1345.015,315.578,0.000,297.323,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.233,0.083,0.000,31.770,0.000,0.000
1884,685.066,2069.916,2069.916,2057.453,1638.419,1341.655,315.360,0.000,301.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.185,0.076,0.000,31.748,0.000,0.000
1885,685.439,2018.263,2018.263,2057.929,1636.835,1338.238,315.143,0.000,305.585,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.137,0.069,0.000,31.725,0.000,0.000
1886,685.812,1960.155,1960.155,2058.469,1635.250,1334.767,314.926,0.000,309.888,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.089,0.064,0.000,31.702,0.000,0.000
1887,686.185,2006.282,2006.282,2059.075,1633.665,1331.246,314.710,0.000,314.308,0.000,0.000,0.000,0.000,0.000,0.000,0.000,67.041,0.058,0.000,31.679,0.000,0.000
1888,686.558,1974.371,1974.371,2059.753,1632.080,1327.678,314.495,0.000,318.845,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.993,0.053,0.000,31.656,0.000,0.000
1889,686.931,2147.937,2147.937,2060.508,1630.495,1324.065,314.281,0.000,323.502,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.945,0.049,0.000,31.634,0.000,0.000
1890,687.304,2005.113,2005.113,2061.343,1628.911,1320.412,314.068,0.000,328.278,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.897,0.045,0.000,31.611,0.000,0.000
1891,687.677,2061.686,2061.686,2062.262,1627.326,1316.721,313.856,0.000,333.175,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.849,0.041,0.000,31.589,0.000,0.000
1892,688.050,2076.321,2076.321,2063.271,1625.741,1312.995,313.645,0.000,338.193,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.801,0.037,0.000,31.566,0.000,0.000
1893,688.423,2094.578,2094.578,2064.372,1624.156,1309.239,313.435,0.000,343.335,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.753,0.034,0.000,31.543,0.000,0.000
1894,688.796,2149.014,2149.014,2065.571,1622.572,1305.455,313.226,0.000,348.599,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.706,0.031,0.000,31.521,0.000,0.000
1895,689.170,2066.228,2066.228,2066.870,1620.987,1301.647,313.018,0.000,353.987,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.658,0.028,0.000,31.498,0.000,0.000
1896,689.543,2056.691,2056.691,2068.274,1619.402,1297.818,312.812,0.000,359.499,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.611,0.026,0.000,31.476,0.000,0.000
1897,689.916,2159.017,2159.017,2069.787,1617.817,1293.971,312.607,0.000,365.136,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.563,0.023,0.000,31.454,0.000,0.000
1898,690.289,2189.187,2189.187,2071.412,1616.232,1290.109,312.403,0.000,370.898,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.516,0.021,0.000,31.431,0.000,0.000
1899,690.662,2114.155,2114.155,2073.152,1614.648,1286.237,312.201,0.000,376.784,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.469,0.019,0.000,31.409,0.000,0.000
1900,691.035,2120.011,2120.011,2075.012,1613.063,1282.357,312.000,0.000,382.796,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.422,0.018,0.000,31.387,0.000,0.000
1901,691.409,2122.178,2122.178,2076.994,1611.478,1278.472,311.801,0.000,388.933,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.375,0.016,0.000,31.365,0.000,0.000
1902,691.782,2208.489,2208.489,2079.102,1609.893,1274.586,311.603,0.000,395.194,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.328,0.015,0.000,31.343,0.000,0.000
1903,692.155,2147.797,2147.797,2081.338,1608.308,1270.702,311.407,0.000,401.580,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.281,0.013,0.000,31.321,0.000,0.000
1904,692.528,2131.796,2131.796,2083.705,1606.724,1266.823,311.213,0.000,408.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.235,0.012,0.000,31.298,0.000,0.000
1905,692.902,2087.821,2087.821,2086.206,1605.139,1262.952,311.021,0.000,414.724,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.188,0.011,0.000,31.277,0.000,0.000
1906,693.275,2135.827,2135.827,2088.844,1603.554,1259.093,310.831,0.000,421.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.142,0.010,0.000,31.255,0.000,0.000
1907,693.648,2105.410,2105.410,2091.619,1601.969,1255.248,310.642,0.000,428.358,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.096,0.009,0.000,31.233,0.000,0.000
1908,694.022,2151.802,2151.802,2094.536,1600.384,1251.421,310.456,0.000,435.357,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.050,0.008,0.000,31.211,0.000,0.000
1909,694.395,2168.521,2168.521,2097.594,1598.800,1247.613,310.272,0.000,442.475,0.000,0.000,0.000,0.000,0.000,0.000,0.000,66.004,0.007,0.000,31.189,0.000,0.000
1910,694.768,2188.725,2188.725,2100.797,1597.215,1243.829,310.090,0.000,449.712,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.958,0.007,0.000,31.168,0.000,0.000
1911,695.142,2146.351,2146.351,2104.146,1595.630,1240.071,309.911,0.000,457.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.913,0.006,0.000,31.146,0.000,0.000
1912,695.515,2204.760,2204.760,2107.641,1594.045,1236.342,309.734,0.000,464.534,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.867,0.006,0.000,31.125,0.000,0.000
1913,695.889,2266.668,2266.668,2111.284,1592.461,1232.645,309.560,0.000,472.117,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.822,0.005,0.000,31.104,0.000,0.000
1914,696.262,2264.375,2264.375,2115.076,1590.876,1228.981,309.388,0.000,479.810,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.777,0.005,0.000,31.082,0.000,0.000
1915,696.636,2289.948,2289.948,2119.017,1589.291,1225.355,309.219,0.000,487.613,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.732,0.004,0.000,31.061,0.000,0.000
1916,697.009,2356.152,2356.152,2123.107,1587.706,1221.767,309.053,0.000,495.523,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.688,0.004,0.000,31.040,0.000,0.000
1917,697.383,2181.208,2181.208,2127.347,1586.121,1218.221,308.889,0.000,503.538,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.643,0.003,0.000,31.019,0.000,0.000
1918,697.756,2277.947,2277.947,2131.737,1584.537,1214.720,308.729,0.000,511.655,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.599,0.003,0.000,30.998,0.000,0.000
1919,698.130,2302.048,2302.048,2136.275,1582.952,1211.264,308.572,0.000,519.872,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.555,0.003,0.000,30.977,0.000,0.000
1920,698.503,2364.526,2364.526,2140.963,1581.367,1207.857,308.418,0.000,528.184,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.511,0.002,0.000,30.956,0.000,0.000
1921,698.877,2355.604,2355.604,2145.797,1579.782,1204.501,308.268,0.000,536.590,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.468,0.002,0.000,30.936,0.000,0.000
1922,699.250,2343.219,2343.219,2150.778,1578.197,1201.197,308.121,0.000,545.087,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.424,0.002,0.000,30.915,0.000,0.000
1923,699.624,2340.719,2340.719,2155.905,1576.613,1197.947,307.978,0.000,553.669,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.381,0.002,0.000,30.895,0.000,0.000
1924,699.997,2385.706,2385.706,2161.174,1575.028,1194.754,307.838,0.000,562.335,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.338,0.002,0.000,30.875,0.000,0.000
1925,700.371,2384.625,2384.625,2166.586,1573.443,1191.619,307.703,0.000,571.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.295,0.001,0.000,30.855,0.000,0.000
1926,700.745,2344.886,2344.886,2172.137,1571.858,1188.544,307.571,0.000,579.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.253,0.001,0.000,30.834,0.000,0.000
1927,701.118,2381.415,2381.415,2177.825,1570.273,1185.531,307.443,0.000,588.792,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.211,0.001,0.000,30.815,0.000,0.000
1928,701.492,2441.510,2441.510,2183.647,1568.689,1182.580,307.320,0.000,597.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.169,0.001,0.000,30.795,0.000,0.000
1929,701.866,2296.401,2296.401,2189.601,1567.104,1179.693,307.201,0.000,606.771,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.127,0.001,0.000,30.775,0.000,0.000
1930,702.240,2394.798,2394.798,2195.684,1565.519,1176.873,307.086,0.000,615.850,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.086,0.001,0.000,30.755,0.000,0.000
1931,702.613,2267.409,2267.409,2201.891,1563.934,1174.119,306.977,0.000,624.982,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.044,0.001,0.000,30.736,0.000,0.000
1932,702.987,2394.235,2394.235,2208.221,1562.350,1171.433,306.871,0.000,634.163,0.000,0.000,0.000,0.000,0.000,0.000,0.000,65.004,0.001,0.000,30.717,0.000,0.000
1933,703.361,2367.399,2367.399,2214.668,1560.765,1168.816,306.771,0.000,643.387,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.963,0.001,0.000,30.697,0.000,0.000
1934,703.735,2450.147,2450.147,2221.228,1559.180,1166.270,306.676,0.000,652.649,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.923,0.001,0.000,30.678,0.000,0.000
1935,704.108,2388.280,2388.280,2227.898,1557.595,1163.794,306.586,0.000,661.943,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.883,0.001,0.000,30.660,0.000,0.000
1936,704.482,2417.624,2417.624,2234.673,1556.010,1161.391,306.501,0.000,671.265,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.843,0.000,0.000,30.641,0.000,0.000
1937,704.856,2502.038,2502.038,2241.548,1554.426,1159.060,306.422,0.000,680.609,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.804,0.000,0.000,30.622,0.000,0.000
1938,705.230,2461.744,2461.744,2248.519,1552.841,1156.802,306.348,0.000,689.968,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.764,0.000,0.000,30.604,0.000,0.000
1939,705.604,2533.685,2533.685,2255.579,1551.256,1154.618,306.280,0.000,699.338,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.726,0.000,0.000,30.585,0.000,0.000
1940,705.978,2454.887,2454.887,2262.724,1549.671,1152.508,306.218,0.000,708.711,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.687,0.000,0.000,30.567,0.000,0.000
1941,706.352,2425.896,2425.896,2269.948,1548.086,1150.473,306.162,0.000,718.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.649,0.000,0.000,30.549,0.000,0.000
1942,706.726,2508.233,2508.233,2277.246,1546.502,1148.514,306.112,0.000,727.446,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.611,0.000,0.000,30.531,0.000,0.000
1943,707.100,2540.952,2540.952,2284.612,1544.917,1146.629,306.069,0.000,736.794,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.573,0.000,0.000,30.513,0.000,0.000
1944,707.474,2523.608,2523.608,2292.038,1543.332,1144.821,306.032,0.000,746.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.536,0.000,0.000,30.496,0.000,0.000
1945,707.848,2594.464,2594.464,2299.521,1541.747,1143.088,306.001,0.000,755.422,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.499,0.000,0.000,30.478,0.000,0.000
1946,708.222,2549.122,2549.122,2307.052,1540.162,1141.430,305.978,0.000,764.688,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.462,0.000,0.000,30.461,0.000,0.000
1947,708.596,2515.226,2515.226,2314.625,1538.578,1139.849,305.961,0.000,773.913,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.426,0.000,0.000,30.444,0.000,0.000
1948,708.970,2601.085,2601.085,2322.234,1536.993,1138.343,305.951,0.000,783.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.390,0.000,0.000,30.427,0.000,0.000
1949,709.344,2517.929,2517.929,2329.872,1535.408,1136.913,305.949,0.000,792.214,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.354,0.000,0.000,30.410,0.000,0.000
1950,709.718,2622.399,2622.399,2337.533,1533.823,1135.559,305.954,0.000,801.276,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.319,0.000,0.000,30.393,0.000,0.000
1951,710.092,2545.919,2545.919,2345.208,1532.239,1134.279,305.966,0.000,810.269,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.284,0.000,0.000,30.377,0.000,0.000
1952,710.466,2553.166,2553.166,2352.891,1530.654,1133.075,305.986,0.000,819.188,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.249,0.000,0.000,30.360,0.000,0.000
1953,710.840,2630.058,2630.058,2360.575,1529.069,1131.945,306.014,0.000,828.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.215,0.000,0.000,30.344,0.000,0.000
1954,711.214,2501.807,2501.807,2368.253,1527.484,1130.890,306.050,0.000,836.772,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.181,0.000,0.000,30.328,0.000,0.000
1955,711.588,2621.449,2621.449,2375.917,1525.899,1129.908,306.094,0.000,845.424,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.147,0.000,0.000,30.312,0.000,0.000
1956,711.963,2593.424,2593.424,2383.560,1524.315,1128.999,306.146,0.000,853.972,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.114,0.000,0.000,30.296,0.000,0.000
1957,712.337,2626.061,2626.061,2391.175,1522.730,1128.163,306.207,0.000,862.411,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.081,0.000,0.000,30.281,0.000,0.000
1958,712.711,2621.077,2621.077,2398.753,1521.145,1127.400,306.276,0.000,870.732,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.048,0.000,0.000,30.265,0.000,0.000
1959,713.085,2685.289,2685.289,2406.289,1519.560,1126.708,306.354,0.000,878.929,0.000,0.000,0.000,0.000,0.000,0.000,0.000,64.016,0.000,0.000,30.250,0.000,0.000
1960,713.460,2626.666,2626.666,2413.774,1517.975,1126.087,306.441,0.000,886.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.984,0.000,0.000,30.235,0.000,0.000
1961,713.834,2621.942,2621.942,2421.200,1516.391,1125.537,306.536,0.000,894.924,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.952,0.000,0.000,30.220,0.000,0.000
1962,714.208,2674.388,2674.388,2428.561,1514.806,1125.056,306.641,0.000,902.707,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.921,0.000,0.000,30.205,0.000,0.000
1963,714.582,2579.377,2579.377,2435.850,1513.221,1124.644,306.755,0.000,910.339,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.890,0.000,0.000,30.190,0.000,0.000
1964,714.957,2612.445,2612.445,2443.058,1511.636,1124.300,306.878,0.000,917.813,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.859,0.000,0.000,30.176,0.000,0.000
1965,715.331,2656.787,2656.787,2450.178,1510.051,1124.024,307.011,0.000,925.122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.828,0.000,0.000,30.161,0.000,0.000
1966,715.706,2724.638,2724.638,2457.204,1508.467,1123.814,307.153,0.000,932.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.798,0.000,0.000,30.147,0.000,0.000
1967,716.080,2602.524,2602.524,2464.128,1506.882,1123.671,307.306,0.000,939.219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.768,0.000,0.000,30.133,0.000,0.000
1968,716.454,2706.329,2706.329,2470.943,1505.297,1123.592,307.468,0.000,945.994,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.739,0.000,0.000,30.119,0.000,0.000
1969,716.829,2647.479,2647.479,2477.643,1503.712,1123.578,307.639,0.000,952.579,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.709,0.000,0.000,30.105,0.000,0.000
1970,717.203,2759.773,2759.773,2484.220,1502.128,1123.627,307.821,0.000,958.968,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.680,0.000,0.000,30.091,0.000,0.000
1971,717.578,2697.361,2697.361,2490.667,1500.543,1123.739,308.014,0.000,965.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.652,0.000,0.000,30.078,0.000,0.000
1972,717.952,2747.051,2747.051,2496.979,1498.958,1123.912,308.216,0.000,971.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.623,0.000,0.000,30.064,0.000,0.000
1973,718.327,2750.763,2750.763,2503.149,1497.373,1124.146,308.429,0.000,976.896,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.595,0.000,0.000,30.051,0.000,0.000
1974,718.701,2759.299,2759.299,2509.170,1495.788,1124.441,308.652,0.000,982.440,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.567,0.000,0.000,30.038,0.000,0.000
1975,719.076,2690.906,2690.906,2515.036,1494.204,1124.794,308.886,0.000,987.760,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.540,0.000,0.000,30.025,0.000,0.000
1976,719.450,2668.566,2668.566,2520.742,1492.619,1125.206,309.130,0.000,992.850,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.512,0.000,0.000,30.012,0.000,0.000
1977,719.825,2642.693,2642.693,2526.282,1491.034,1125.676,309.385,0.000,997.706,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.485,0.000,0.000,29.999,0.000,0.000
1978,720.199,2702.817,2702.817,2531.650,1489.449,1126.202,309.651,0.000,1002.321,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.458,0.000,0.000,29.986,0.000,0.000
1979,720.574,2791.831,2791.831,2536.841,1487.864,1126.784,309.928,0.000,1006.693,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.432,0.000,0.000,29.974,0.000,0.000
1980,720.949,2762.411,2762.411,2541.850,1486.280,1127.421,310.215,0.000,1010.816,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.405,0.000,0.000,29.961,0.000,0.000
1981,721.323,2787.921,2787.921,2546.672,1484.695,1128.112,310.514,0.000,1014.687,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.379,0.000,0.000,29.949,0.000,0.000
1982,721.698,2874.200,2874.200,2551.302,1483.110,1128.856,310.823,0.000,1018.301,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.353,0.000,0.000,29.937,0.000,0.000
1983,722.073,2701.986,2701.986,2555.735,1481.525,1129.653,311.143,0.000,1021.655,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.327,0.000,0.000,29.925,0.000,0.000
1984,722.447,2728.042,2728.042,2559.969,1479.940,1130.502,311.475,0.000,1024.746,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.302,0.000,0.000,29.912,0.000,0.000
1985,722.822,2636.682,2636.682,2563.998,1478.356,1131.402,311.817,0.000,1027.570,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.276,0.000,0.000,29.900,0.000,0.000
1986,723.197,2710.843,2710.843,2567.818,1476.771,1132.353,312.171,0.000,1030.124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.251,0.000,0.000,29.889,0.000,0.000
1987,723.572,2651.459,2651.459,2571.428,1475.186,1133.353,312.535,0.000,1032.406,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.226,0.000,0.000,29.877,0.000,0.000
1988,723.946,2660.310,2660.310,2574.823,1473.601,1134.401,312.911,0.000,1034.413,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.201,0.000,0.000,29.865,0.000,0.000
1989,724.321,2703.608,2703.608,2578.000,1472.017,1135.498,313.297,0.000,1036.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.177,0.000,0.000,29.853,0.000,0.000
1990,724.696,2673.005,2673.005,2580.957,1470.432,1136.643,313.695,0.000,1037.594,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.152,0.000,0.000,29.842,0.000,0.000
1991,725.071,2723.560,2723.560,2583.692,1468.847,1137.834,314.103,0.000,1038.765,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.128,0.000,0.000,29.830,0.000,0.000
1992,725.446,2783.675,2783.675,2586.202,1467.262,1139.071,314.522,0.000,1039.654,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.104,0.000,0.000,29.819,0.000,0.000
1993,725.820,2795.395,2795.395,2588.486,1465.677,1140.355,314.953,0.000,1040.260,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.080,0.000,0.000,29.807,0.000,0.000
1994,726.195,2678.122,2678.122,2590.542,1464.093,1141.683,315.394,0.000,1040.582,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.056,0.000,0.000,29.796,0.000,0.000
1995,726.570,2727.198,2727.198,2592.369,1462.508,1143.055,315.845,0.000,1040.620,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.032,0.000,0.000,29.785,0.000,0.000
1996,726.945,2579.016,2579.016,2593.967,1460.923,1144.472,316.308,0.000,1040.374,0.000,0.000,0.000,0.000,0.000,0.000,0.000,63.008,0.000,0.000,29.774,0.000,0.000
1997,727.320,2697.151,2697.151,2595.334,1459.338,1145.931,316.781,0.000,1039.843,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.984,0.000,0.000,29.762,0.000,0.000
1998,727.695,2690.700,2690.700,2596.470,1457.753,1147.434,317.264,0.000,1039.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.961,0.000,0.000,29.751,0.000,0.000
1999,728.070,2562.955,2562.955,2597.375,1456.169,1148.979,317.758,0.000,1037.929,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.937,0.000,0.000,29.740,0.000,0.000
2000,728.445,2761.850,2761.850,2598.050,1454.584,1150.566,318.261,0.000,1036.548,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.914,0.000,0.000,29.729,0.000,0.000
2001,728.820,2690.298,2690.298,2598.494,1452.999,1152.194,318.775,0.000,1034.884,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.890,0.000,0.000,29.718,0.000,0.000
2002,729.195,2578.219,2578.219,2598.710,1451.414,1153.864,319.299,0.000,1032.941,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.867,0.000,0.000,29.707,0.000,0.000
2003,729.570,2655.006,2655.006,2598.697,1449.829,1155.574,319.832,0.000,1030.720,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.844,0.000,0.000,29.696,0.000,0.000
2004,729.945,2602.050,2602.050,2598.458,1448.245,1157.324,320.375,0.000,1028.221,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.820,0.000,0.000,29.685,0.000,0.000
2005,730.320,2606.700,2606.700,2597.994,1446.660,1159.114,320.927,0.000,1025.449,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.797,0.000,0.000,29.674,0.000,0.000
2006,730.695,2635.683,2635.683,2597.307,1445.075,1160.944,321.489,0.000,1022.405,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.774,0.000,0.000,29.663,0.000,0.000
2007,731.071,2499.263,2499.263,2596.399,1443.490,1162.814,322.059,0.000,1019.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.751,0.000,0.000,29.652,0.000,0.000
2008,731.446,2622.552,2622.552,2595.273,1441.906,1164.722,322.638,0.000,1015.512,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.727,0.000,0.000,29.641,0.000,0.000
2009,731.821,2661.411,2661.411,2593.932,1440.321,1166.669,323.226,0.000,1011.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.704,0.000,0.000,29.630,0.000,0.000
2010,732.196,2702.371,2702.371,2592.378,1438.736,1168.654,323.822,0.000,1007.569,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.681,0.000,0.000,29.619,0.000,0.000
2011,732.571,2649.617,2649.617,2590.614,1437.151,1170.677,324.426,0.000,1003.213,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.658,0.000,0.000,29.608,0.000,0.000
2012,732.946,2635.346,2635.346,2588.645,1435.566,1172.739,325.037,0.000,998.606,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.634,0.000,0.000,29.597,0.000,0.000
2013,733.322,2604.294,2604.294,2586.475,1433.982,1174.838,325.656,0.000,993.751,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62.611,0.000,0.000,29.586,0.000,0.000
