key,channels,anchors,lines,order_req,order_before,order_after,miss_before,miss_after,miss_out_before,miss_out_after,worst_before,worst_after
G1S16_Ra226_Mar_2,1024,12,12,4,4,2,11.4821,15.9751,0.0000,0.0000,3.1182,5.5478
G1S16_Th228_P25,1024,7,9,4,4,1,43.6456,129.1235,0.0000,0.0000,30.1675,47.2314
G1S16_Th228_P5,1024,6,8,4,4,2,162.5360,85.4060,0.0000,0.0000,145.8411,64.9316
G1S16_Th232_Denta100,1024,8,9,4,4,2,109.2216,104.5950,1.3029,4.4262,91.4804,73.5077
G1S16_Th232_Mar,1024,9,12,4,4,2,316.4091,152.9910,0.0000,0.0000,247.2176,76.5689
G1S16_Th232_Mar_2,1024,9,11,4,4,1,6137.2941,61.6964,6090.5178,17.2543,6090.0018,23.8582
G1S16_Th232_Mar_3,1024,10,11,4,4,2,116.2891,104.4241,0.0756,1.3167,97.4191,75.2720
G1S16_Th232_Petri,1024,7,9,4,4,2,45.5712,47.5464,2.0174,1.7866,34.5034,36.2720
G1S16_Y88_P25,1024,7,9,4,4,2,86.7116,99.6641,9.9229,17.5358,64.0871,66.9451
G1S16_Y88_P5,1024,4,5,3,3,1,42.8607,43.9160,40.6066,28.2237,38.9091,20.8818
G1S24_Am241_P5,1024,2,5,1,1,1,84.4079,84.4079,1.1383,1.1383,55.5013,55.5013
G1S24_Ba133_P5,1024,4,5,3,3,1,46.8141,53.8753,0.7143,8.0853,44.4992,36.4542
G1S24_Bi207_P5,1024,5,6,4,4,1,47.3571,67.6477,1.5361,3.1806,42.8122,45.0562
G1S24_Cd109_P5,1024,2,4,1,1,1,70.2970,70.2970,69.1071,69.1071,41.6330,41.6330
G1S24_Co60_P5,1024,7,7,4,4,1,8.7020,52.1114,1.3471,14.2296,3.4754,13.2518
G1S24_Cs137_Denta120,1024,2,4,1,1,1,64.3076,64.3076,63.9013,63.9013,35.5477,35.5477
G1S24_Cs137_Denta120_2,1024,4,5,3,3,2,41.5839,84.1126,0.7561,6.2976,39.2573,58.4846
G1S24_Cs137_Mar,1024,3,2,2,2,1,7.3169,8.6643,0.0000,0.0000,5.0927,4.3790
G1S24_Cs137_Mar_2,1024,4,6,3,3,2,106.0918,109.8772,10.7134,4.9145,58.1095,48.7177
G1S24_Cs137_P25,1024,5,6,4,4,2,93.7838,119.4840,0.3854,6.2475,90.9948,83.8217
G1S24_Cs137_P5,1024,3,3,2,2,2,11.0372,11.0372,9.5662,9.5662,9.5662,9.5662
G1S24_Cs137_Petri,1024,3,5,2,2,1,109.8354,131.2426,45.9745,56.1936,63.1304,67.5604
G1S24_Cs137_Petri_2,1024,4,6,3,3,2,101.8140,127.8308,2.2479,9.9278,68.0367,65.8995
G1S24_Eu152_P5,1024,8,11,4,4,1,127.8907,157.5776,66.5424,89.5307,65.4766,84.5433
G1S24_K40_Denta120,1024,6,7,4,4,1,28.5271,72.1530,1.1013,12.5191,9.0287,23.9913
G1S24_K40_Denta120_2,1024,4,7,3,3,2,209.8908,182.1188,0.6760,1.6843,133.2856,100.8298
G1S24_K40_Mar,1024,4,7,3,3,1,116.7085,172.8588,31.7895,40.6029,53.2029,70.3193
G1S24_K40_Mar_2,1024,2,3,1,1,1,65.2871,65.2871,65.2871,65.2871,62.9414,62.9414
G1S24_K40_Petri,1024,5,8,4,4,2,177.8287,158.8078,1.0229,1.2934,133.4417,95.1951
G1S24_K40_Petri_2,1024,2,5,1,1,1,140.6979,140.6979,139.8214,139.8214,84.0380,84.0380
G1S24_Na22_P25,1024,5,4,4,4,1,2.4035,39.8180,0.0000,0.0000,0.9609,14.3999
G1S24_Na22_P5,1024,5,7,4,4,1,63.9066,108.7602,0.0000,0.0000,33.7721,32.5940
G1S24_Ra226_Denta120,1024,14,14,4,4,1,35.2463,81.1166,3.3643,31.7933,7.8373,18.3363
G1S24_Ra226_Denta120_2,1024,11,13,4,4,2,40.8595,45.2283,5.0359,10.7810,13.7595,10.1066
G1S24_Ra226_Mar,1024,12,13,4,4,2,28.3467,46.8236,0.1883,8.1416,13.6101,13.4269
G1S24_Ra226_Mar_2,1024,13,14,4,4,2,40.2996,53.6294,6.1045,12.5586,15.3013,14.1419
G1S24_Ra226_Petri,1024,10,12,4,4,1,27.7818,90.7483,0.6615,34.5735,18.1033,24.2400
G1S24_Ra226_Petri_2,1024,14,15,4,4,1,34.4958,52.6762,1.3216,7.2812,6.3065,12.6768
G1S24_Th228_P25,1024,9,9,4,4,2,56.9725,68.7032,0.0830,1.3902,32.8216,36.5804
G1S24_Th228_P5,1024,9,9,4,4,1,15.9941,114.3883,0.0000,0.0000,4.4961,53.1063
G1S24_Th232_Denta120,1024,7,8,4,4,2,594.9189,121.9509,3.4792,1.1002,571.8696,94.9554
G1S24_Th232_Denta120_2,1024,11,12,4,4,2,64.5647,125.6049,0.0000,0.0000,37.2679,79.1927
G1S24_Th232_Mar,1024,9,10,4,4,1,165.9647,93.7175,1.5779,4.3751,140.8557,47.2802
G1S24_Th232_Mar_2,1024,9,10,4,4,2,26.0835,28.7980,0.0000,0.0000,8.1563,7.9143
G1S24_Th232_Petri,1024,11,11,4,4,2,55.2531,92.8486,0.0000,0.0000,14.3762,17.6722
G1S24_Th232_Petri_2,1024,10,11,4,4,2,44.4159,133.2984,0.7070,3.6347,16.1222,76.3485
G1S24_Y88_P25,1024,6,7,4,4,1,58.1553,79.1697,0.0000,0.0000,42.1766,39.9630
G1S24_Y88_P5,1024,5,5,4,4,1,38.7233,65.1714,0.6142,11.8844,36.6879,33.1171
G1S24_Zn65_P5,1024,3,3,2,2,1,1.1969,18.7592,0.8449,2.4781,0.8449,9.9110
GS4000_Lu176,4000,4,6,3,3,1,708.1631,102.5180,675.0939,69.6281,675.0939,69.6281
GS4000_Ra226,4000,11,12,4,4,2,24.7725,85.7660,11.2202,48.4449,11.2202,48.4449
GS4000_Th232,4000,8,9,4,4,1,40.6042,49.3486,25.9448,21.8413,25.9448,21.8413
GS4000_U,4000,7,8,4,4,1,1499.1307,138.1201,1373.8186,15.4504,1372.8450,53.9107
HPGE_Uranium,16384,15,18,4,4,4,5.5264,5.5264,0.2093,0.2093,1.6495,1.6495
HPGeGEM_K40,8192,2,3,1,1,1,1.2017,1.2017,0.2448,0.2448,0.9569,0.9569
HPGeGEM_Ra226,8192,12,13,4,4,4,1.7759,1.7759,0.0252,0.0252,1.0213,1.0213
HPGeGEM_Th232,8192,17,18,4,4,4,2.4476,2.4476,0.1964,0.1964,1.7515,1.7515
HPGeGMX_Background,8192,11,12,4,4,4,1.8681,1.8681,0.1426,0.1426,0.9960,0.9960
HPGeGMX_Eu152,8192,7,11,4,4,4,13.6103,13.6103,12.7202,12.7202,6.7774,6.7774
HPGeGMX_Th228,8192,6,8,4,4,4,3.3361,3.3361,3.0573,3.0573,1.6948,1.6948
HPGeGMX_Th232,8192,13,16,4,4,4,3.5233,3.5233,0.1262,0.1262,1.6737,1.6737
LaBrBril_Eu152,1024,13,14,4,4,1,38.8886,50.9815,0.1470,3.2998,13.9457,15.6664
LaBrBril_Th228,1024,11,11,4,4,1,16.0542,59.2426,0.3612,16.0247,4.2383,16.0247
OBS_UGlass,1024,3,7,2,2,1,441.5640,358.0411,307.0164,238.7977,305.9460,237.2464
RC101_I131,1024,2,3,1,1,1,38.4662,38.4662,36.0648,36.0648,36.0648,36.0648
RC103_Charoite,1024,5,6,4,4,1,9.4776,35.3323,1.0163,12.5835,6.3785,9.2099
RC103_Cs137_0cm,1024,2,2,1,1,1,1.7531,1.7531,0.0000,0.0000,0.9343,0.9343
RC103_K40Village,1024,2,3,1,1,1,46.5697,46.5697,0.0000,0.0000,45.1051,45.1051
RC103_Lu176,1024,4,4,3,3,1,3.0698,6.3314,0.0000,0.0000,0.8860,2.5251
RC103_Th232Village,1024,4,6,3,3,1,184.2481,199.7127,1.3156,1.8641,104.9985,103.6513
RC103_Th232WT20,1024,6,9,4,4,1,283.9160,280.0676,0.0000,0.0000,266.9684,136.9784
