geometry,nuclide,E_keV,eps,u_pct,distance_cm,volume_ml
Петри-60,Ra-226,295.223,0.06775857,4.038,0,60
Петри-60,Th-232,338.32,0.07812554,3.7471,0,60
Петри-60,Eu-152,344.279,0.05964747,3.6611,0,60
Петри-60,Ra-226,351.932,0.06250617,3.5017,0,60
Петри-60,Th-232,583.187,0.04334782,3.2715,0,60
Петри-60,Ra-226,609.32,0.03670985,3.1791,0,60
Петри-60,Cs-137,661.657,0.03544419,2.5856,0,60
Петри-60,Eu-152,778.904,0.0266105,4.8486,0,60
Петри-60,Th-232,911.204,0.03190514,3.8046,0,60
Петри-60,Eu-152,964.079,0.02174192,5.203,0,60
Петри-60,Eu-152,1085.869,0.01793317,7.1133,0,60
Петри-60,Eu-152,1112.069,0.01874094,6.5215,0,60
Петри-60,Ra-226,1120.294,0.02398277,3.8867,0,60
Петри-60,Ti-44,1157.02,0.01459107,4.0614,0,60
Петри-60,Eu-152,1408.006,0.01538598,4.6099,0,60
Петри-60,K-40,1460.822,0.01984676,4.2471,0,60
Петри-60,Ra-226,1764.491,0.01331256,4.1465,0,60
Петри-60,Th-232,2614.511,0.008785778,3.3316,0,60
Точечная-25см,Am-241,59.541,0.002772444,6.523,25,0
Точечная-25см,Ba-133,80.997,0.003134299,4.493,25,0
Точечная-25см,Eu-152,121.782,0.003067634,2.707,25,0
Точечная-25см,Th-228,238.632,0.002789831,3.2652,25,0
Точечная-25см,Ba-133,302.851,0.00244027,3.533,25,0
Точечная-25см,Eu-152,344.279,0.002208708,2.288,25,0
Точечная-25см,Ba-133,356.013,0.002159463,1.499,25,0
Точечная-25см,Th-228,583.187,0.001412106,1.7667,25,0
Точечная-25см,Cs-137,661.657,0.001221501,1.5605,25,0
Точечная-25см,Mn-54,834.848,0.0009983515,1.793,25,0
Точечная-25см,Y-88,898.042,0.0009063597,1.6288,25,0
Точечная-25см,Eu-152,964.079,0.0008293017,2.448,25,0
Точечная-25см,Eu-152,1085.869,0.0007767922,1.698,25,0
Точечная-25см,Eu-152,1112.069,0.0007767083,1.688,25,0
Точечная-25см,Co-60,1173.228,0.0006946485,1.191,25,0
Точечная-25см,Na-22,1274.537,0.000672327,2.5482,25,0
Точечная-25см,Co-60,1332.492,0.0006198122,1.231,25,0
Точечная-25см,Eu-152,1408.006,0.0006238686,2.088,25,0
Точечная-25см,Y-88,1836.063,0.0004509345,1.6783,25,0
Точечная-25см,Th-228,2614.511,0.0003054126,1.7327,25,0
Точечная-5см,Am-241,59.541,0.04462078,4.6313,5,0
Точечная-5см,Ba-133,80.998,0.04571469,2.323,5,0
Точечная-5см,Cd-109,88.034,0.04273808,3.8751,5,0
Точечная-5см,Eu-152,121.782,0.04137813,2.9845,5,0
Точечная-5см,Co-57,122.061,0.04298577,4.723,5,0
Точечная-5см,Th-228,238.632,0.02839861,8.2757,5,0
Точечная-5см,Eu-152,244.697,0.03331484,2.3578,5,0
Точечная-5см,Ba-133,302.851,0.02577367,2.4845,5,0
Точечная-5см,Eu-152,344.279,0.02504321,2.4753,5,0
Точечная-5см,Ba-133,356.013,0.02340067,1.5792,5,0
Точечная-5см,Th-228,583.187,0.01471679,1.5888,5,0
Точечная-5см,Cs-137,661.657,0.013742,1.5839,5,0
Точечная-5см,Th-228,727.33,0.01212129,2.1734,5,0
Точечная-5см,Mn-54,834.848,0.01129982,1.985,5,0
Точечная-5см,Th-228,860.557,0.01021314,1.9028,5,0
Точечная-5см,Y-88,898.042,0.009998491,1.5534,5,0
Точечная-5см,Eu-152,964.057,0.01023209,2.5585,5,0
Точечная-5см,Zn-65,1115.539,0.008189508,2.0108,5,0
Точечная-5см,Co-60,1173.228,0.006513874,1.9575,5,0
Точечная-5см,Na-22,1274.537,0.006655385,2.5178,5,0
Точечная-5см,Co-60,1332.492,0.00590343,1.9296,5,0
Точечная-5см,Eu-152,1408.013,0.005909987,2.0815,5,0
Точечная-5см,Y-88,1836.063,0.004787202,1.5698,5,0
Точечная-5см,Th-228,2614.511,0.003032573,1.5337,5,0
