ch,keV,net,fit,model,continuum_raw,Ac-228,Tl-208,Pb-212,Bi-212,Ra-224,Th-228,Rn-220,Th-232,DE-2615,SE-2615,Xray-W,SE-1631,Backscatter,Xray-NaI,Esc-NaI,continuum
52,12.666,0.000,-4.002,0.092,0.092,0.022,0.011,0.030,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.012,0.000,0.004,0.003,0.002,0.000
53,13.035,14.838,14.838,0.094,0.093,0.022,0.012,0.031,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.012,0.000,0.004,0.003,0.002,0.000
54,13.404,46.436,46.436,0.096,0.095,0.023,0.012,0.032,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.012,0.000,0.004,0.003,0.002,0.000
55,13.772,196.085,196.085,0.098,0.097,0.023,0.012,0.032,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.013,0.001,0.004,0.004,0.002,0.000
56,14.141,508.221,508.221,0.101,0.099,0.024,0.012,0.033,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.013,0.001,0.004,0.005,0.002,0.000
57,14.510,1130.463,1130.463,0.105,0.100,0.024,0.012,0.033,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.013,0.001,0.004,0.007,0.002,0.000
58,14.879,2178.938,2178.938,0.112,0.102,0.025,0.013,0.034,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.013,0.001,0.004,0.012,0.002,0.000
59,15.248,3501.759,3501.759,0.124,0.104,0.025,0.013,0.035,0.002,0.002,0.001,0.000,0.000,0.002,0.001,0.014,0.001,0.004,0.023,0.002,0.000
60,15.617,4761.095,4761.095,0.148,0.106,0.025,0.013,0.035,0.002,0.002,0.001,0.000,0.000,0.002,0.002,0.014,0.001,0.004,0.045,0.002,0.000
61,15.985,6153.435,6153.435,0.192,0.107,0.026,0.013,0.036,0.002,0.002,0.001,0.000,0.000,0.002,0.002,0.014,0.001,0.004,0.088,0.003,0.000
62,16.354,7260.612,7260.612,0.277,0.109,0.026,0.013,0.036,0.002,0.002,0.001,0.000,0.000,0.002,0.002,0.014,0.001,0.004,0.170,0.003,0.000
63,16.723,8367.266,8367.266,0.435,0.111,0.027,0.014,0.037,0.002,0.002,0.001,0.000,0.000,0.002,0.002,0.015,0.001,0.004,0.326,0.003,0.000
64,17.092,9468.665,9468.665,213.226,212.613,51.113,26.220,70.777,4.422,3.812,1.566,0.050,0.242,3.808,3.028,27.867,1.110,8.294,6.289,4.628,0.000
65,17.461,10262.501,10262.501,426.252,425.114,102.199,52.426,141.517,8.841,7.622,3.131,0.100,0.483,7.614,6.054,55.719,2.220,16.584,12.486,9.254,0.000
66,17.830,10817.027,10817.027,639.684,637.616,153.285,78.632,212.257,13.261,11.433,4.697,0.150,0.724,11.420,9.080,83.571,3.329,24.874,19.089,13.882,0.000
67,18.199,11130.837,11130.837,853.802,850.118,204.371,104.838,282.997,17.681,15.243,6.262,0.200,0.966,15.225,12.106,111.423,4.439,33.164,26.374,18.512,0.000
68,18.567,11406.337,11406.337,1069.053,1062.620,255.457,131.044,353.738,22.100,19.053,7.828,0.250,1.207,19.031,15.132,139.275,5.548,41.454,34.787,23.146,0.000
69,18.936,11425.403,11425.403,1286.128,1275.121,306.543,157.250,424.478,26.520,22.863,9.393,0.299,1.449,22.837,18.158,167.127,6.658,49.744,45.017,27.788,0.000
70,19.305,11812.066,11812.066,1506.077,1487.623,357.630,183.457,495.219,30.939,26.674,10.958,0.349,1.690,26.643,21.184,194.980,7.768,58.034,58.107,32.442,0.000
71,19.674,12028.958,12028.958,1730.444,1700.125,408.717,209.663,565.960,35.359,30.484,12.524,0.399,1.932,30.449,24.210,222.832,8.877,66.324,75.595,37.114,0.000
72,20.043,12060.241,12060.241,1961.441,1912.626,459.804,235.870,636.703,39.779,34.294,14.089,0.449,2.173,34.255,27.236,250.686,9.987,74.614,99.680,41.816,0.000
73,20.412,12323.655,12323.655,2202.144,2125.128,510.894,262.078,707.447,44.199,38.105,15.654,0.499,2.414,38.061,30.262,278.539,11.096,82.905,133.422,46.563,0.000
74,20.781,12621.706,12621.706,2456.706,2337.630,561.985,288.287,778.195,48.619,41.915,17.220,0.549,2.656,41.868,33.289,306.394,12.206,91.196,180.947,51.374,0.000
75,21.150,12555.665,12555.665,2730.550,2550.132,613.080,314.497,848.947,53.039,45.726,18.786,0.599,2.897,45.674,36.315,334.251,13.316,99.487,247.647,56.280,0.000
76,21.519,13362.422,13362.422,3030.527,2762.633,664.181,340.711,919.708,57.460,49.538,20.351,0.649,3.139,49.481,39.342,362.112,14.426,107.781,340.324,61.317,0.000
77,21.887,13517.939,13517.939,3364.963,2975.135,715.291,366.929,990.481,61.882,53.350,21.917,0.699,3.380,53.289,42.370,389.977,15.536,116.076,467.245,66.535,0.000
78,22.256,13401.699,13401.699,3743.573,3187.637,766.414,393.154,1061.272,66.304,57.162,23.484,0.749,3.622,57.097,45.398,417.849,16.646,124.374,638.046,71.993,0.000
79,22.625,13840.265,13840.265,4177.152,3400.138,817.556,419.389,1132.090,70.729,60.977,25.051,0.799,3.864,60.907,48.427,445.732,17.757,132.677,863.427,77.762,0.000
80,22.994,13826.766,13826.766,4677.024,3612.640,868.725,445.638,1202.945,75.156,64.793,26.619,0.849,4.106,64.719,51.458,473.629,18.868,140.986,1154.598,83.924,0.000
81,23.363,14206.415,14206.415,5254.201,3825.142,919.932,471.906,1273.853,79.586,68.613,28.188,0.899,4.348,68.534,54.491,501.547,19.980,149.306,1522.441,90.566,0.000
82,23.732,14900.753,14900.753,5918.279,4037.643,971.190,498.200,1344.830,84.022,72.436,29.758,0.949,4.590,72.353,57.527,529.493,21.094,157.641,1976.410,97.776,0.000
83,24.101,15177.390,15177.390,6676.117,4250.145,1022.513,524.528,1415.900,88.463,76.264,31.331,0.999,4.832,76.177,60.568,557.475,22.208,165.996,2523.215,105.636,0.000
84,24.470,15399.870,15399.870,7530.419,4462.647,1073.923,550.900,1487.087,92.913,80.098,32.906,1.049,5.075,80.007,63.613,585.503,23.325,174.379,3165.415,114.213,0.000
85,24.839,15597.303,15597.303,8478.376,4675.149,1125.438,577.326,1558.422,97.375,83.940,34.485,1.099,5.319,83.844,66.664,613.589,24.444,182.802,3900.070,123.546,0.000
86,25.208,16309.842,16309.842,9510.574,4887.650,1177.083,603.819,1629.935,101.850,87.792,36.067,1.150,5.563,87.692,69.723,641.746,25.566,191.276,4717.663,133.635,0.000
87,25.577,16476.567,16476.567,10610.377,5100.152,1228.881,630.390,1701.661,106.345,91.655,37.654,1.201,5.808,91.551,72.792,669.986,26.691,199.820,5601.493,144.435,0.000
88,25.946,16895.516,16895.516,11753.969,5312.654,1280.856,657.052,1773.632,110.863,95.532,39.247,1.251,6.053,95.423,75.870,698.323,27.820,208.454,6527.733,155.844,0.000
89,26.315,16780.063,16780.063,12911.185,5525.155,1333.029,683.816,1845.879,115.414,99.423,40.846,1.302,6.300,99.310,78.961,726.768,28.953,217.206,7466.259,167.705,0.000
90,26.684,16702.833,16702.833,14047.154,5737.657,1385.420,710.692,1918.426,120.006,103.331,42.451,1.353,6.548,103.213,82.064,755.332,30.091,226.106,8382.300,179.806,0.000
91,27.053,16830.874,16830.874,15124.655,5950.159,1438.042,737.685,1991.292,124.653,107.255,44.063,1.405,6.796,107.133,85.181,784.021,31.234,235.191,9238.793,191.892,0.000
92,27.422,16690.663,16690.663,16106.986,6162.661,1490.902,764.801,2064.489,129.376,111.198,45.683,1.456,7.046,111.071,88.312,812.840,32.382,244.506,9999.226,203.680,0.000
93,27.791,17025.012,17025.012,16961.014,6375.162,1543.999,792.039,2138.014,134.203,115.158,47.310,1.508,7.297,115.027,91.457,841.789,33.535,254.098,10630.679,214.883,0.000
94,28.160,16885.818,16885.818,17660.032,6587.664,1597.325,819.394,2211.856,139.173,119.136,48.944,1.560,7.549,119.000,94.616,870.862,34.693,264.019,11106.653,225.232,0.000
95,28.529,16775.012,16775.012,18186.063,6800.166,1650.865,846.859,2285.993,144.343,123.129,50.584,1.613,7.802,122.988,97.787,900.052,35.856,274.325,11409.344,234.503,0.000
96,28.898,16447.240,16447.240,18531.287,7012.667,1704.594,874.421,2360.394,149.791,127.136,52.231,1.665,8.056,126.991,100.970,929.345,37.023,285.069,11531.043,242.537,0.000
97,29.267,16363.547,16363.547,18698.405,7225.169,1758.485,902.066,2435.017,155.624,131.155,53.882,1.718,8.311,131.006,104.162,958.726,38.193,296.302,11474.476,249.259,0.000
98,29.636,16120.856,16120.856,18699.908,7437.671,1812.504,929.776,2509.819,161.985,135.184,55.537,1.771,8.566,135.030,107.362,988.178,39.367,308.064,11252.057,254.687,0.000
99,30.005,16376.800,16376.800,18556.377,7650.173,1866.617,957.535,2584.750,169.062,139.220,57.195,1.824,8.822,139.062,110.567,1017.680,40.542,320.381,10884.174,258.925,0.000
100,30.374,15905.261,15905.261,18294.079,7862.674,1920.789,985.324,2659.763,177.098,143.261,58.855,1.876,9.078,143.097,113.776,1047.214,41.719,333.260,10396.789,262.156,0.000
101,30.743,16033.881,16033.881,17942.209,8075.176,1974.988,1013.127,2734.814,186.399,147.303,60.516,1.929,9.334,147.135,116.986,1076.764,42.896,346.681,9818.691,264.621,0.000
102,31.112,15821.538,15821.538,17530.172,8287.678,2029.185,1040.929,2809.863,197.340,151.346,62.177,1.982,9.590,151.173,120.197,1106.312,44.073,360.594,9178.793,266.594,0.000
103,31.481,15731.264,15731.264,17085.238,8500.179,2083.357,1068.718,2884.876,210.369,155.386,63.837,2.035,9.846,155.209,123.406,1135.847,45.249,374.916,8503.811,268.351,0.000
104,31.850,15764.210,15764.210,16630.825,8712.681,2137.484,1096.484,2959.827,226.009,159.423,65.495,2.088,10.102,159.241,126.612,1165.357,46.425,389.529,7816.574,270.150,0.000
105,32.219,15421.306,15421.306,16185.536,8925.183,2191.551,1124.220,3034.695,244.850,163.455,67.152,2.141,10.357,163.269,129.814,1194.834,47.599,404.280,7135.086,272.205,0.000
106,32.588,15433.186,15433.186,15762.944,9137.685,2245.549,1151.920,3109.467,267.535,167.483,68.806,2.194,10.613,167.292,133.013,1224.274,48.772,418.989,6472.337,274.673,0.000
107,32.957,15414.105,15414.105,15372.004,9350.186,2299.472,1179.581,3184.135,294.736,171.505,70.459,2.246,10.867,171.309,136.207,1253.673,49.943,433.455,5836.734,277.655,0.000
108,33.326,15467.791,15467.791,15017.904,9562.688,2353.315,1207.201,3258.694,327.119,175.521,72.108,2.299,11.122,175.320,139.396,1283.028,51.113,447.466,5232.975,281.197,0.000
109,33.695,15384.348,15384.348,14703.122,9775.190,2407.079,1234.781,3333.141,365.306,179.530,73.756,2.352,11.376,179.326,142.581,1312.340,52.281,460.811,4663.123,285.312,0.000
110,34.064,15103.637,15103.637,14428.481,9987.691,2460.763,1262.320,3407.479,409.812,183.534,75.401,2.404,11.630,183.325,145.761,1341.609,53.446,473.295,4127.674,290.000,0.000
111,34.433,15261.320,15261.320,14194.030,10200.193,2514.369,1289.818,3481.708,460.994,187.533,77.043,2.456,11.883,187.319,148.936,1370.835,54.611,484.752,3626.464,295.279,0.000
112,34.802,14952.926,14952.926,13999.656,10412.695,2567.899,1317.278,3555.834,518.983,191.525,78.684,2.509,12.136,191.307,152.107,1400.020,55.773,495.059,3159.295,301.217,0.000
113,35.171,15023.511,15023.511,13845.402,10625.196,2621.358,1344.702,3629.860,583.624,195.512,80.322,2.561,12.389,195.289,155.274,1429.166,56.935,504.140,2726.272,307.968,0.000
114,35.540,14784.680,14784.680,13731.510,10837.698,2674.751,1372.091,3703.793,654.423,199.495,81.958,2.613,12.641,199.267,158.436,1458.276,58.094,511.978,2327.862,315.801,0.000
115,35.909,14414.003,14414.003,13658.270,11050.200,2728.081,1399.448,3777.642,730.507,203.472,83.592,2.665,12.893,203.240,161.595,1487.353,59.253,518.612,1964.754,325.131,0.000
116,36.278,14357.685,14357.685,13625.778,11262.702,2781.358,1426.778,3851.414,810.610,207.446,85.224,2.717,13.145,207.209,164.751,1516.400,60.410,524.138,1637.605,336.539,0.000
117,36.647,14508.873,14508.873,13633.665,11475.203,2834.587,1454.084,3925.123,893.077,211.416,86.855,2.769,13.396,211.175,167.904,1545.423,61.566,528.699,1346.760,350.797,0.000
118,37.016,14295.442,14295.442,13680.912,11687.705,2887.779,1481.370,3998.778,975.908,215.383,88.485,2.821,13.648,215.138,171.055,1574.426,62.721,532.478,1092.016,368.872,0.000
119,37.386,13863.735,13863.735,13765.752,11900.207,2940.942,1508.641,4072.394,1056.827,219.348,90.114,2.873,13.899,219.098,174.204,1603.417,63.876,535.680,872.468,391.938,0.000
120,37.755,13890.553,13890.553,13885.717,12112.708,2994.086,1535.903,4145.983,1133.380,223.312,91.742,2.925,14.150,223.057,177.352,1632.400,65.030,538.527,686.467,421.368,0.000
121,38.124,14023.521,14023.521,14037.786,12325.210,3047.220,1563.159,4219.559,1203.062,227.275,93.370,2.977,14.401,227.016,180.499,1661.384,66.184,541.239,531.678,458.725,0.000
122,38.493,13728.815,13728.815,14218.626,12537.712,3100.356,1590.416,4293.135,1263.459,231.238,94.999,3.029,14.652,230.974,183.646,1690.378,67.338,544.021,405.209,505.739,0.000
123,38.862,13276.942,13276.942,14424.878,12750.214,3153.501,1617.677,4366.724,1312.386,235.202,96.627,3.081,14.904,234.933,186.794,1719.391,68.492,547.059,303.798,564.271,0.000
124,39.231,13523.211,13523.211,14653.435,12962.715,3206.664,1644.948,4440.338,1348.034,239.167,98.256,3.133,15.155,238.894,189.943,1748.437,69.647,550.509,224.008,636.264,0.000
125,39.600,13389.585,13389.585,14901.686,13175.217,3259.855,1672.232,4513.988,1369.085,243.133,99.886,3.185,15.406,242.856,193.094,1777.531,70.802,554.496,162.418,723.680,0.000
126,39.969,13397.768,13397.768,15167.685,13387.719,3313.082,1699.533,4587.684,1374.802,247.103,101.516,3.237,15.658,246.821,196.246,1806.696,71.958,559.108,115.780,828.422,0.000
127,40.338,13352.199,13352.199,15025.223,13175.215,3261.155,1672.891,4515.767,1356.584,243.229,99.925,3.186,15.412,242.952,193.170,1778.610,70.830,547.408,81.123,942.941,0.000
128,40.707,13017.323,13017.323,14898.822,12962.712,3209.237,1646.252,4443.857,1323.567,239.356,98.334,3.135,15.167,239.083,190.094,1750.643,69.702,536.418,55.873,1078.066,0.000
129,41.077,13496.656,13496.656,14788.608,12750.208,3157.335,1619.616,4371.959,1276.890,235.483,96.743,3.084,14.921,235.215,187.018,1722.856,68.574,526.143,37.824,1234.907,0.000
130,41.446,13040.526,13040.526,14695.123,12537.705,3105.455,1592.988,4300.079,1218.214,231.612,95.152,3.034,14.676,231.348,183.943,1695.331,67.447,516.570,25.166,1414.069,0.000
131,41.815,13092.353,13092.353,14619.083,12325.201,3053.606,1566.369,4228.223,1149.617,227.742,93.562,2.983,14.431,227.482,180.870,1668.183,66.320,507.673,16.456,1615.530,0.000
132,42.184,12977.421,12977.421,14561.107,12112.698,3001.796,1539.760,4156.395,1073.458,223.873,91.973,2.932,14.186,223.618,177.797,1641.575,65.193,499.415,10.575,1838.524,0.000
133,42.553,13169.957,13169.957,14521.451,11900.194,2950.038,1513.164,4084.602,992.233,220.006,90.384,2.882,13.941,219.755,174.726,1615.728,64.067,491.756,6.679,2081.455,0.000
134,42.922,13307.652,13307.652,14499.776,11687.691,2898.344,1486.582,4012.848,908.431,216.141,88.796,2.831,13.697,215.895,171.657,1590.947,62.942,484.653,4.145,2341.834,0.000
135,43.291,13436.044,13436.044,14494.971,11475.187,2846.731,1460.016,3941.135,824.406,212.278,87.209,2.780,13.452,212.036,168.589,1567.645,61.817,478.063,2.528,2616.251,0.000
136,43.661,13358.565,13358.565,14505.062,11262.684,2795.218,1433.466,3869.468,742.264,208.418,85.624,2.730,13.209,208.181,165.523,1546.371,60.693,471.946,1.515,2900.403,0.000
137,44.030,13324.919,13324.919,14527.204,11050.181,2743.831,1406.934,3797.847,663.785,204.561,84.039,2.679,12.965,204.327,162.460,1527.856,59.569,466.264,0.893,3189.161,0.000
138,44.399,13656.419,13656.419,14557.784,10837.677,2692.598,1380.419,3726.273,590.369,200.705,82.455,2.629,12.723,200.477,159.398,1513.055,58.447,460.987,0.517,3476.701,0.000
139,44.768,13885.112,13885.112,14592.610,10625.174,2641.556,1353.920,3654.743,523.021,196.853,80.872,2.578,12.481,196.628,156.338,1503.202,57.325,456.089,0.294,3756.679,0.000
140,45.137,13943.547,13943.547,14627.196,10412.670,2590.750,1327.436,3583.252,462.354,193.002,79.290,2.528,12.241,192.782,153.280,1499.880,56.204,451.554,0.164,4022.448,0.000
141,45.506,14193.769,14193.769,14657.114,10200.167,2540.234,1300.964,3511.796,408.628,189.153,77.709,2.478,12.003,188.938,150.223,1505.084,55.083,447.380,0.090,4267.321,0.000
142,45.876,14433.685,14433.685,14678.399,9987.663,2490.074,1274.503,3440.366,361.793,185.306,76.128,2.427,11.768,185.095,147.168,1521.307,53.962,443.578,0.049,4484.847,0.000
143,46.245,14360.698,14360.698,14687.981,9775.160,2440.349,1248.047,3368.952,321.553,181.459,74.548,2.377,11.537,181.252,144.113,1551.619,52.842,440.182,0.026,4669.094,0.000
144,46.614,14158.757,14158.757,14684.108,9562.656,2391.154,1221.594,3297.546,287.426,177.613,72.968,2.326,11.311,177.411,141.058,1599.753,51.722,437.252,0.013,4814.930,0.000
145,46.983,14458.915,14458.915,14666.748,9350.153,2342.600,1195.140,3226.137,258.809,173.767,71.388,2.276,11.092,173.569,138.004,1670.183,50.602,434.881,0.007,4918.264,0.000
146,47.352,14633.066,14633.066,14637.924,9137.649,2294.816,1168.682,3154.715,235.033,169.920,69.808,2.226,10.884,169.726,134.948,1768.197,49.482,433.201,0.003,4976.256,0.000
147,47.722,14755.697,14755.697,14601.967,8925.146,2247.946,1142.215,3083.270,215.408,166.072,68.227,2.175,10.690,165.883,131.892,1899.950,48.361,432.388,0.002,4987.461,0.000
148,48.091,14870.816,14870.816,14565.674,8712.642,2202.155,1115.737,3011.797,199.267,162.222,66.645,2.125,10.515,162.037,128.835,2072.487,47.240,432.670,0.001,4951.913,0.000
149,48.460,15129.656,15129.656,14538.334,8500.139,2157.620,1089.247,2940.291,185.988,158.371,65.063,2.074,10.366,158.190,125.776,2293.743,46.119,434.333,0.000,4871.127,0.000
150,48.829,15251.912,15251.912,14531.632,8287.635,2114.531,1062.745,2868.750,175.013,154.517,63.480,2.024,10.251,154.341,122.716,2572.479,44.996,437.722,0.000,4748.041,0.000
