key,det,channels,live_s,counts,chains,nuclides,background,ecal_mode,ecal_lines,ecal_rms_kev,ecal_rms_fwhm,bg_ecal_mode,fwhm_662_pct,result_data,source,why
ASN16_Cs137_10cm,ASN16,8192,3421.0,117131,,137CS,встроен,gain/grp,2,1.16,0.018,как передний план,6.66,0,!ASN16\Cs137 - 10cm.xml,"ОПОРНЫЙ ПАСПОРТНЫЙ (Amber, 14.08.2026): точечный Cs-137 на 10 см; якорь — паспорт: 9.25 кБк на 02.01.2002 (в паспорте 01/02/2002, американский календарь). На дату съёмки 03.12.2022 — 5712 Бк (T1/2 = 30.08 л). Решение Amber 14.08.2026: фиксируются паспортная активность и активность на даты ключевых спектров; новые спектры этого источника считать ОТ паспортной. Фон внутри файла, 35148 с"
AS80_Cs137_0cm,AS80x80,8192,10192.3,9350355,,137CS,Фон дом.xml,affine,7,8.95,0.147,gain,7.65,0,!AS80x80\Cs-137.xml,"ОПОРНЫЙ ПАСПОРТНЫЙ (Amber, 14.08.2026 вечер, B5): тот же чек-источник Cs-137 (якорь 9.25 кБк на 02.01.2002), точечно ВПРИТЫК к торцу; на дату съёмки 10.08.2025 — 5369 Бк (T1/2 = 30.08 л). Кристалл AS80x80 — CsI по прямому слову Amber (пресет нёс NaI допущением и исправлен), обвязка из шаблона; геометрия AS80_point0"
RC103_Cs137_0cm,RC103,1024,0.0,153053,,137CS,Фон дома 103.xml,gain/grp,2,0.8,0.024,stored,8.49,0,!КОТ-103\Cs-137.xml,"ОПОРНЫЙ ПАСПОРТНЫЙ (Amber, 14.08.2026 вечер, B5): тот же чек-источник Cs-137, точечно ВПРИТЫК; на дату съёмки 23.01.2024 — 5564 Бк (T1/2 = 30.08 л). В файле LiveTime=0 — время берётся MeasurementTime (872 с); геометрия RC103_point0"
ASN16_BrazilNuts,ASN16,8192,196931.0,1255521,Ra-226,40K,встроен,stored/grp,10,4.35,0.092,как передний план,6.66,0,!ASN16\Бразильские орехи из Боливии в домике.xml,"реальный слабоактивный образец: Ra-226 и K-40 в пище, 1.3 М отсчётов за 197 ks в свинцовом домике"
AS80_Th232Medal,AS80x80,8192,52742.3,33620155,Th-232,,Фон дом.xml,gain/robust/grp,12,11.88,0.202,gain,7.65,0,!AS80x80\Th-232(медальон).xml,"второй сильный Th-232 у AS80x80 (33.6 М) — другой образец, без вольфрамовых линий электрода"
AS80_Onyx,AS80x80,8192,380497.5,68068445,Th-232;Ra-226,40K,встроен,affine/robust/grp,9,16.36,0.193,gain,7.65,0,!AS80x80\Камни\Оникс.xml,"природный камень, 68 М отсчётов за 380 ks: обе цепочки на естественном уровне и с измеренным фоном"
AS80_K40,AS80x80,8192,323624.3,66756892,,40K,встроен,affine/grp,8,13.59,0.148,как передний план,7.65,0,!AS80x80\K40 Москва.xml,"негатив AS80x80, 67 М отсчётов"
AS80_Th232WT20,AS80x80,8192,31556.0,61396823,Th-232,,Фон дом.xml,gain/robust/grp,11,11.24,0.152,gain,7.65,0,!AS80x80\Th232(WT-20).xml,"опорный Th-232 AS80x80, 61 М отсчётов; фон — комнатный того же прибора"
RC103_Th232WT20,RC103,1024,225338.9,11623023,Th-232,,Фон дома 103.xml,poly2,7,0.98,0.027,stored,8.49,0,!КОТ-103\Th-232 WT-20.xml,1024 канала — нижняя граница по числу каналов на FWHM; фон — комнатный того же прибора
G1S_Th232_Denta,G1S,1024,6309.1,702463,Th-232,,встроен,gain/robust/grp,11,9.56,0.181,gain,6.85,0,SpectraVibe\Gamma-1S\Th232 Дента-120мл.xml,"Th-232, флакон Дента 120 мл вплотную; 1940 Бк/кг паспорт"
G1S_Th232_Marinelli,G1S,1024,11359.2,8006138,Th-232,,встроен,affine,9,3.08,0.061,stored,6.85,0,SpectraVibe\Gamma-1S\Th232 Маринелли-1л.xml,"тот же источник в маринелли 1 л: другая геометрия, другое каскадное суммирование"
G1S_Th232_Petri,G1S,1024,61929.4,4750845,Th-232,,встроен,gain/grp,10,8.65,0.155,gain,6.85,0,SpectraVibe\Gamma-1S\Th232 Петри-60мл.xml,тот же источник в чашке Петри 60 мл — третья точка оси геометрии
G1S_Ra226_Denta,G1S,1024,6937.7,232899,Ra-226,,встроен,affine/grp,12,4.73,0.076,gain,6.85,0,SpectraVibe\Gamma-1S\Ra226 Дента-120мл.xml,"аттестованный Ra-226, 1780 Бк/кг"
G1S_Ra226_Petri,G1S,1024,9050.7,220817,Ra-226,,встроен,affine/grp,12,5.19,0.086,gain,6.85,0,SpectraVibe\Gamma-1S\Ra226 Петри-60мл.xml,тот же радий в другой геометрии
G1S_K40_Denta,G1S,1024,57055.2,522328,,40K,встроен,gain,9,7.13,0.13,gain,6.85,0,SpectraVibe\Gamma-1S\K40 Дента-120мл.xml,"негатив с паспортной активностью, 2530 Бк/кг"
G1S_Th228_25cm,G1S,1024,7634.4,1908325,Th-228,,встроен,affine/grp,9,3.86,0.113,affine,6.85,0,SpectraVibe\Gamma-1S\Th228 точечный 25см.xml,"укороченный ториевый ряд, точечный источник на 25 см — суммирование слабое"
G1S_Th228_5cm,G1S,1024,1800.0,376070,Th-228,,встроен,poly2/grp,6,1.38,0.032,gain,6.85,0,SpectraVibe\Gamma-1S\Th228 точечный 5см.xml,тот же ряд на 5 см — суммирование сильное. Пара к предыдущему: чистая ось каскадного суммирования при неизменном всём остальном
G1S_Eu152_25cm,G1S,1024,3600.0,995657,,152EU,встроен,affine/grp,9,4.7,0.075,affine,6.85,0,SpectraVibe\Gamma-1S\Eu152 точечный 25см.xml,"четырнадцать линий одного нуклида, 122-1408 кэВ, слабое суммирование"
G1S_Eu152_5cm,G1S,1024,1800.0,5029781,,152EU,встроен,affine/grp,8,3.9,0.081,gain,6.85,0,SpectraVibe\Gamma-1S\Eu152 точечный 5см.xml,"тот же европий на 5 см: у Eu-152 каскадов много, и здесь они видны"
G1S_Co60_25cm,G1S,1024,1800.0,495775,,60CO,встроен,affine,3,4.89,0.093,affine,6.85,0,SpectraVibe\Gamma-1S\Co60 точечный 25см.xml,негатив; классическая каскадная пара 1173/1332
G1S_Ba133_25cm,G1S,1024,1800.0,444959,,133BA,встроен,poly2,5,4.15,0.078,affine,6.85,0,SpectraVibe\Gamma-1S\Ba133 точечный 25см.xml,"негатив из семи линий — многолинейчатый, но не цепочка"
HPGeGMX_Th232,HPGE_GMX,8192,300.0,94237,Th-232,,встроен,affine/grp,12,0.17,0.125,affine,0.2,0,SpectraVibe\HPGe GMX\Th232 17 кБк.xml,"ТОРИЕВАЯ ЦЕПОЧКА НА ГЕРМАНИИ. Единственный прежний HPGe нёс головы рядов U-238 и U-235, где сильных линий почти нет, и вето по согласованности набора там не с чем было строить"
HPGeGMX_Th228,HPGE_GMX,8192,300.0,174257,Th-228,,встроен,affine/grp,6,0.04,0.027,affine,0.2,0,SpectraVibe\HPGe GMX\Th228 68 кБк.xml,укороченный ряд на германии: линии разделены полностью
HPGeGMX_Eu152,HPGE_GMX,8192,300.0,548241,,152EU,встроен,affine/grp,7,0.03,0.019,affine,0.2,0,SpectraVibe\HPGe GMX\Eu152 244 кБк.xml,четырнадцать разрешённых линий — предельный случай для критерия согласованности
HPGeGMX_Background,HPGE_GMX,8192,956.0,62083,Th-232;Ra-226,40K,нет,affine/grp,9,0.12,0.1,-,0.2,0,SpectraVibe\HPGe GMX\Фон.xml,фон того же германия
HPGeGEM_Th232,HPGE_GEM,8192,1800.0,890416,Th-232,,Фон маринелли (дист. вода).xml,poly2,17,0.04,0.03,poly2,0.2,0,SpectraVibe\HPGe GEM20\Th232 маринелли.xml,"второй германий, маринелли: два независимых HPGe вместо одного"
HPGeGEM_Ra226,HPGE_GEM,8192,1800.0,626854,Ra-226,,Фон маринелли (дист. вода).xml,poly2,12,0.03,0.018,poly2,0.2,0,SpectraVibe\HPGe GEM20\Ra226 маринелли.xml,радий на германии — линии ряда разрешены поодиночке
HPGeGEM_K40,HPGE_GEM,8192,3600.0,70809,,40K,Фон маринелли (дист. вода).xml,gain/grp,2,0.16,0.2,poly2,0.2,0,SpectraVibe\HPGe GEM20\K40 маринелли.xml,негатив на германии
LaBrBril_Th228,LABR_BRIL,1024,3600.0,648015,Th-228,,встроен,poly2/robust,10,4.04,0.148,как передний план,2.96,0,SpectraVibe\LaBr3 BrilLanCe\Th228 24см.xml,"второй LaBr3, другой производитель и вчетверо меньше каналов. ОГОВОРКА: вшитый фон Background_1 подобран апстримом автоматически и человеком не проверен (detectors/CHANGELOG.md, 27.07.2026). Оставлен: это фоновое измерение того же детектора, а образец — точечный источник на 24 см, для которого комнатный фон и есть верный"
LaBrBril_Eu152,LABR_BRIL,1024,3600.0,1024978,,152EU,встроен,affine/robust,12,3.62,0.133,как передний план,2.96,0,SpectraVibe\LaBr3 BrilLanCe\Eu152 24см.xml,европий на LaBr3: 14 линий при разрешении между NaI и германием
G1S16_Mix_Denta100,G1S,1024,3600.0,576525,,241AM;44TI;152EU;137CS,фон пустая защита_15.xml,gain/grp,10,2.55,0.07,gain,6.85,0,LSRM поверки\Поверка 2016\Дента-100мл\РИСН №379_Am-Ti-Eu-Cs_Дента-100.xml,"поверка 2016 ЛСРМ, Дента-100; паспорт: Cs-137 A=2210 Бк/кг dA=5% 31-05-2002"
G1S16_Th232_Denta100,G1S,1024,3600.0,118745,Th-232,,фон пустая защита_15.xml,affine/grp,7,1.15,0.034,gain,6.85,0,LSRM поверки\Поверка 2016\Дента-100мл\Th-232 #420_13036 Дента-100_Дента-100.xml,"поверка 2016 ЛСРМ, Дента-100; паспорт: Th-232 A=910 Бк/кг dA=6% 11-05-2016"
G1S16_Mix_Mar,G1S,1024,3600.2,4351855,,241AM;44TI;152EU;137CS,фон пустая защита_15.xml,poly2/grp,11,2.76,0.061,gain,6.85,0,LSRM поверки\Поверка 2016\Маринелли\Смесь_AmTiCsEu_Маринелли.xml,"поверка 2016 ЛСРМ, Маринелли; паспорт: Am-241 A=4200 Бк/кг dA=10% 31-05-2002"
G1S16_Cs137_Mar,G1S,1024,3600.0,182541,,137CS,фон пустая защита_15.xml,affine,3,2.02,0.059,gain,6.85,0,LSRM поверки\Поверка 2016\Маринелли\Cs137_420-7-14_Маринелли_0cm.xml,"поверка 2016 ЛСРМ, Маринелли; паспорт: Cs-137 A=1760 Бк/кг dA=5% 24-05-2002"
G1S16_Cs137_Mar_2,G1S,1024,3600.0,542243,,137CS,фон пустая защита_15.xml,affine/grp,3,1.12,0.02,как передний план,6.85,0,LSRM поверки\Поверка 2016\Маринелли\Cs137_420-7-15_Маринелли.xml,"поверка 2016 ЛСРМ, Маринелли; паспорт: Cs-137 A=1650 Бк/кг dA=5% 17-09-2007"
G1S16_K40_Mar,G1S,1024,3600.0,68917,,40K,фон пустая защита_15.xml,stored,3,8.4,0.14,gain,6.85,0,LSRM поверки\Поверка 2016\Маринелли\K40_420-7-20_Маринелли_0cm.xml,"поверка 2016 ЛСРМ, Маринелли; паспорт: K-40 A=2530 Бк/кг dA=6% 24-05-2002"
G1S16_K40_Mar_2,G1S,1024,3600.0,119600,,40K,фон пустая защита_15.xml,affine/grp,3,0.55,0.015,как передний план,6.85,0,LSRM поверки\Поверка 2016\Маринелли\K40_420-7-21_Маринелли.xml,"поверка 2016 ЛСРМ, Маринелли; паспорт: K-40 A=1950 Бк/кг dA=6% 17-09-2007"
G1S16_Ra226_Mar,G1S,1024,3600.0,749487,Ra-226,,фон пустая защита_15.xml,affine/grp,12,2.7,0.055,gain,6.85,0,LSRM поверки\Поверка 2016\Маринелли\Ra226_420-7-18_Маринелли_0cm.xml,"поверка 2016 ЛСРМ, Маринелли; паспорт: Ra-226 A=1780 Бк/кг dA=6% 24-05-2002"
G1S16_Ra226_Mar_2,G1S,1024,3600.0,1894016,Ra-226,,фон пустая защита_15.xml,poly2,12,2.16,0.058,как передний план,6.85,0,LSRM поверки\Поверка 2016\Маринелли\Ra226_420-7-19_Маринелли.xml,"поверка 2016 ЛСРМ, Маринелли; паспорт: Ra-226 A=1790 Бк/кг dA=6% 17-09-2007"
G1S16_Th232_Mar,G1S,1024,3600.0,834878,Th-232,,фон пустая защита_15.xml,affine,9,3.79,0.098,gain,6.85,0,LSRM поверки\Поверка 2016\Маринелли\Th-232 #420_13036_Маринелли.xml,"поверка 2016 ЛСРМ, Маринелли; паспорт: Th-232 A=910 Бк/кг dA=6% 11-05-2016"
G1S16_Th232_Mar_2,G1S,1024,3600.0,1115851,Th-232,,фон пустая защита_15.xml,affine/grp,10,4.79,0.103,gain,6.85,0,LSRM поверки\Поверка 2016\Маринелли\Th232_420-7-16_Маринелли_0cm.xml,"поверка 2016 ЛСРМ, Маринелли; паспорт: Th-232 A=2240 Бк/кг dA=6% 24-05-2002"
G1S16_Th232_Mar_3,G1S,1024,3600.2,2704428,Th-232,,фон пустая защита_15.xml,affine,11,2.74,0.068,gain,6.85,0,LSRM поверки\Поверка 2016\Маринелли\Th232_420-7-17_Маринелли.xml,"поверка 2016 ЛСРМ, Маринелли; паспорт: Th-232 A=1940 Бк/кг dA=6% 17-09-2007"
G1S16_Mix_Petri,G1S,1024,3600.0,422990,,241AM;44TI;152EU;137CS,фон пустая защита_15.xml,affine/grp,11,5.47,0.117,gain,6.85,0,LSRM поверки\Поверка 2016\Чашка Петри 60мл\РИСН №379_Am-Ti-Eu-Cs_Петри-60.xml,"поверка 2016 ЛСРМ, Петри-60; паспорт: Cs-137 A=2210 Бк/кг dA=5% 31-05-2002"
G1S16_Th232_Petri,G1S,1024,3600.0,91288,Th-232,,фон пустая защита_15.xml,affine/grp,7,1.54,0.035,gain,6.85,0,LSRM поверки\Поверка 2016\Чашка Петри 60мл\Th-232 #420_13036 Петри-60_Петри-60.xml,"поверка 2016 ЛСРМ, Петри-60; паспорт: Th-232 A=910 Бк/кг dA=6% 11-05-2016"
G1S16_Am241_P25,G1S,1024,600.0,116115,,241AM,фон открытый_15.xml,ref-cal(G1S_Eu152_25cm),1,12.05,0.203,affine,6.85,0,LSRM поверки\Поверка 2016\Точка 25см\Am-241 42.13_Точечная-25см_25cm.xml,"поверка 2016 ЛСРМ, Точечная-25см; паспорт: Am-241 A=118000 Бк dA=5% 03-12-2013"
G1S16_Ba133_P25,G1S,1024,1800.0,444959,,133BA,фон открытый_15.xml,poly2,5,4.15,0.078,affine,6.85,0,LSRM поверки\Поверка 2016\Точка 25см\Ba-133 #6649_Точечная-25см_25cm.xml,"поверка 2016 ЛСРМ, Точечная-25см; паспорт: Ba-133 A=44100 Бк dA=2% 01-10-2008"
G1S16_Cd109_P25,G1S,1024,1800.0,81970,,109CD,фон открытый_15.xml,stored/grp,2,2.61,0.219,affine,6.85,0,LSRM поверки\Поверка 2016\Точка 25см\Cd-109 #6649_Точечная-25см_25cm.xml,"поверка 2016 ЛСРМ, Точечная-25см; паспорт: Cd-109 A=1.033E6 Бк dA=2% 01-10-2008"
G1S16_Ce139_P25,G1S,1024,1800.0,83721,,139CE,фон открытый_15.xml,stored/grp,6,5.44,0.12,affine,6.85,0,LSRM поверки\Поверка 2016\Точка 25см\Ce-139_591_Точечная-25см_25cm.xml,"поверка 2016 ЛСРМ, Точечная-25см; паспорт: Ce-139 A=191000 Бк dA=3% 01-12-2013"
G1S16_Co60_P25,G1S,1024,1800.0,495775,,60CO,фон открытый_15.xml,affine,3,4.89,0.093,affine,6.85,0,LSRM поверки\Поверка 2016\Точка 25см\Co-60 #6649_Точечная-25см_25cm.xml,"поверка 2016 ЛСРМ, Точечная-25см; паспорт: Co-60 A=107800 Бк dA=2% 01-10-2008"
G1S16_Cs137_P25,G1S,1024,1800.0,518437,,137CS,фон открытый_15.xml,poly2,4,0.91,0.015,affine,6.85,0,LSRM поверки\Поверка 2016\Точка 25см\Cs-137 #6649_Точечная-25см_25cm.xml,"поверка 2016 ЛСРМ, Точечная-25см; паспорт: Cs-137 A=94200 Бк dA=2% 01-10-2008"
G1S16_Eu152_P25,G1S,1024,3600.0,995657,,152EU,фон открытый_15.xml,affine/grp,9,4.7,0.075,affine,6.85,0,LSRM поверки\Поверка 2016\Точка 25см\Eu-152 #6649_Точечная-25см_25cm.xml,"поверка 2016 ЛСРМ, Точечная-25см; паспорт: Eu-152 A=46700 Бк dA=2% 01-10-2008"
G1S16_Mn54_P25,G1S,1024,1800.0,250040,,54MN,фон открытый_15.xml,poly2/grp,2,2.17,0.046,affine,6.85,0,LSRM поверки\Поверка 2016\Точка 25см\Mn-54_587_Точечная-25см_25cm.xml,"поверка 2016 ЛСРМ, Точечная-25см; паспорт: Mn-54 A=224000 Бк dA=3% 01-12-2013"
G1S16_Na22_P25,G1S,1024,1800.2,1511444,,22NA,фон открытый_15.xml,poly1/grp,3,0.3,0.006,affine,6.85,0,LSRM поверки\Поверка 2016\Точка 25см\Na-22_585_Точечная-25см_25cm.xml,"поверка 2016 ЛСРМ, Точечная-25см; паспорт: Na-22 A=133000 Бк dA=3% 01-12-2013"
G1S16_Th228_P25,G1S,1024,3600.0,191626,Th-228,,фон открытый_15.xml,poly2/robust,8,7.68,0.138,affine,6.85,0,LSRM поверки\Поверка 2016\Точка 25см\Th-228 #6649_Точечная-25см_25cm.xml,"поверка 2016 ЛСРМ, Точечная-25см; паспорт: Th-228 A=37700 Бк dA=2% 01-10-2008"
G1S16_Y88_P25,G1S,1024,3600.0,138104,,88Y,фон открытый_15.xml,stored/grp,8,4.91,0.094,affine,6.85,0,LSRM поверки\Поверка 2016\Точка 25см\Y-88_589_Точечная-25см_25cm.xml,"поверка 2016 ЛСРМ, Точечная-25см; паспорт: Y-88 A=234000 Бк dA=3% 01-12-2013"
G1S16_Am241_P5,G1S,1024,300.0,666706,,241AM,фон пустая защита_15.xml,ref-cal(G1S_Eu152_5cm),0,nan,inf,gain,6.85,0,LSRM поверки\Поверка 2016\Точка 5см\Am-241 42.13_Точечная-5см_5cm.xml,"поверка 2016 ЛСРМ, Точечная-5см; паспорт: Am-241 A=118000 Бк dA=5% 03-12-2013"
G1S16_Ba133_P5,G1S,1024,1800.3,4683681,,133BA,фон пустая защита_15.xml,affine/grp,4,4.25,0.191,gain,6.85,0,LSRM поверки\Поверка 2016\Точка 5см\Ba-133 #6649_Точечная-5см_5cm.xml,"поверка 2016 ЛСРМ, Точечная-5см; паспорт: Ba-133 A=44100 Бк dA=2% 01-10-2008"
G1S16_Cd109_P5,G1S,1024,1800.0,251252,,109CD,фон пустая защита_15.xml,ref-cal(G1S_Eu152_5cm),1,3.39,0.054,gain,6.85,0,LSRM поверки\Поверка 2016\Точка 5см\Cd-109 #6649_Точечная-5см_5cm.xml,"поверка 2016 ЛСРМ, Точечная-5см; паспорт: Cd-109 A=1.033E6 Бк dA=2% 01-10-2008"
G1S16_Ce139_P5,G1S,1024,1800.0,260036,,139CE,фон пустая защита_15.xml,gain/grp,3,6.81,0.121,gain,6.85,0,LSRM поверки\Поверка 2016\Точка 5см\Ce-139_591_Точечная-5см_5cm.xml,"поверка 2016 ЛСРМ, Точечная-5см; паспорт: Ce-139 A=191000 Бк dA=3% 01-12-2013"
G1S16_Co57_P5,G1S,1024,1800.0,18646,,57CO,фон пустая защита_15.xml,ref-cal(G1S_Eu152_5cm),1,1.74,0.095,gain,6.85,0,LSRM поверки\Поверка 2016\Точка 5см\Co-57 #6649_Точечная-5см_5cm.xml,"поверка 2016 ЛСРМ, Точечная-5см; паспорт: Co-57 A=99500 Бк dA=2% 01-10-2008"
G1S16_Co60_P5,G1S,1024,1200.0,2918346,,60CO,фон пустая защита_15.xml,poly2,7,1.81,0.035,gain,6.85,0,LSRM поверки\Поверка 2016\Точка 5см\Co-60 #6649_Точечная-5см_5cm.xml,"поверка 2016 ЛСРМ, Точечная-5см; паспорт: Co-60 A=107800 Бк dA=2% 01-10-2008"
G1S16_Cs137_P5,G1S,1024,1800.2,4966296,,137CS,фон пустая защита_15.xml,poly1,3,0.45,0.013,gain,6.85,0,LSRM поверки\Поверка 2016\Точка 5см\Cs-137 #6649_Точечная-5см_5cm.xml,"поверка 2016 ЛСРМ, Точечная-5см; паспорт: Cs-137 A=94200 Бк dA=2% 01-10-2008"
G1S16_Eu152_P5,G1S,1024,1800.0,5029781,,152EU,фон пустая защита_15.xml,affine/grp,8,3.9,0.081,gain,6.85,0,LSRM поверки\Поверка 2016\Точка 5см\Eu-152 #6649_Точечная-5см_5cm.xml,"поверка 2016 ЛСРМ, Точечная-5см; паспорт: Eu-152 A=46700 Бк dA=2% 01-10-2008"
G1S16_Mn54_P5,G1S,1024,600.0,659957,,54MN,фон пустая защита_15.xml,poly1/grp,5,10.7,0.154,gain,6.85,0,LSRM поверки\Поверка 2016\Точка 5см\Mn-54_587_Точечная-5см_5cm.xml,"поверка 2016 ЛСРМ, Точечная-5см; паспорт: Mn-54 A=224000 Бк dA=3% 01-12-2013"
