geometry,spectrum,preset,vessel
RC103_point0,RC103_Cs137_0cm,RadiaCode-103,"точечный источник, вплотную к торцу"
ASN16_lu_side,ASN16_Lu176,Atom Spectra Nano 16,"банка 50 мл Ø40×h15, СБОКУ у широкой грани"
ASN16_lu_front,ASN16_Lu176_P0,Atom Spectra Nano 16,"банка 50 мл Ø40×h15, С ТОРЦА"
RC103_marinelli05_kcl,RC103_K40,RadiaCode-103,"маринелли 0.5 л (поставка ЛСРМ, размеры не восстановлены — взяты из шаблона)"
G1S_denta100_oisn10_100_p16,G1S16_Th232_Denta100,Gamma-1S UDS-GC 63x63,"Дента-100, набивка ОИСН-10 1 г/см³, вплотную"
G1S_denta100_risn379_100_p16,G1S16_Mix_Denta100,Gamma-1S UDS-GC 63x63,"Дента-100, набивка РИСН-379 1 г/см³, вплотную"
G1S_denta120_oisn06_057_p24,G1S24_Cs137_Denta120,Gamma-1S UDS-GC 63x63,"Дента-120мл, набивка ОИСН-06 0.567 г/см³, вплотную"
G1S_denta120_oisn06_062_p24,G1S24_Ra226_Denta120,Gamma-1S UDS-GC 63x63,"Дента-120мл, набивка ОИСН-06 0.617 г/см³, вплотную"
G1S_denta120_oisn06_064_p24,G1S24_Th232_Denta120,Gamma-1S UDS-GC 63x63,"Дента-120мл, набивка ОИСН-06 0.64 г/см³, вплотную"
G1S_denta120_oisn06_066_p24,G1S24_K40_Denta120,Gamma-1S UDS-GC 63x63,"Дента-120мл, набивка ОИСН-06 0.658 г/см³, вплотную"
G1S_denta120_oisn16_155_p24,G1S24_K40_Denta120_2,Gamma-1S UDS-GC 63x63,"Дента-120мл, набивка ОИСН-16 1.55 г/см³, вплотную"
G1S_denta120_oisn16_160_p24,G1S24_Th232_Denta120_2,Gamma-1S UDS-GC 63x63,"Дента-120мл, набивка ОИСН-16 1.6 г/см³, вплотную"
G1S_denta120_oisn16_166_p24,G1S24_Cs137_Denta120_2,Gamma-1S UDS-GC 63x63,"Дента-120мл, набивка ОИСН-16 1.658 г/см³, вплотную"
G1S_denta120_oisn16_167_p24,G1S24_Ra226_Denta120_2,Gamma-1S UDS-GC 63x63,"Дента-120мл, набивка ОИСН-16 1.667 г/см³, вплотную"
G1S_mar1l_oisn06_055_p16,G1S16_Th232_Mar_2,Gamma-1S UDS-GC 63x63,"Маринелли, набивка ОИСН-06 0.55 г/см³, вплотную"
G1S_mar1l_oisn06_057_p16,G1S16_Cs137_Mar,Gamma-1S UDS-GC 63x63,"Маринелли, набивка ОИСН-06 0.57 г/см³, вплотную"
G1S_mar1l_oisn06_057_p24,G1S24_Cs137_Mar,Gamma-1S UDS-GC 63x63,"Маринелли, набивка ОИСН-06 0.57 г/см³, вплотную"
G1S_mar1l_oisn06_062_p16,G1S16_Ra226_Mar,Gamma-1S UDS-GC 63x63,"Маринелли, набивка ОИСН-06 0.62 г/см³, вплотную"
G1S_mar1l_oisn06_062_p24,G1S24_Ra226_Mar,Gamma-1S UDS-GC 63x63,"Маринелли, набивка ОИСН-06 0.62 г/см³, вплотную"
G1S_mar1l_oisn06_064_p24,G1S24_Th232_Mar,Gamma-1S UDS-GC 63x63,"Маринелли, набивка ОИСН-06 0.64 г/см³, вплотную"
G1S_mar1l_oisn06_066_p16,G1S16_K40_Mar,Gamma-1S UDS-GC 63x63,"Маринелли, набивка ОИСН-06 0.66 г/см³, вплотную"
G1S_mar1l_oisn06_066_p24,G1S24_K40_Mar,Gamma-1S UDS-GC 63x63,"Маринелли, набивка ОИСН-06 0.66 г/см³, вплотную"
G1S_mar1l_oisn16_155_p16,G1S16_K40_Mar_2,Gamma-1S UDS-GC 63x63,"Маринелли, набивка ОИСН-16 1.55 г/см³, вплотную"
G1S_mar1l_oisn16_155_p24,G1S24_K40_Mar_2,Gamma-1S UDS-GC 63x63,"Маринелли, набивка ОИСН-16 1.55 г/см³, вплотную"
G1S_mar1l_oisn16_160_p16,G1S16_Th232_Mar_3,Gamma-1S UDS-GC 63x63,"Маринелли, набивка ОИСН-16 1.6 г/см³, вплотную"
G1S_mar1l_oisn16_160_p24,G1S24_Th232_Mar_2,Gamma-1S UDS-GC 63x63,"Маринелли, набивка ОИСН-16 1.6 г/см³, вплотную"
G1S_mar1l_oisn16_166_p16,G1S16_Cs137_Mar_2,Gamma-1S UDS-GC 63x63,"Маринелли, набивка ОИСН-16 1.66 г/см³, вплотную"
G1S_mar1l_oisn16_166_p24,G1S24_Cs137_Mar_2,Gamma-1S UDS-GC 63x63,"Маринелли, набивка ОИСН-16 1.66 г/см³, вплотную"
G1S_mar1l_oisn16_167_p16,G1S16_Ra226_Mar_2,Gamma-1S UDS-GC 63x63,"Маринелли, набивка ОИСН-16 1.67 г/см³, вплотную"
G1S_mar1l_oisn16_167_p24,G1S24_Ra226_Mar_2,Gamma-1S UDS-GC 63x63,"Маринелли, набивка ОИСН-16 1.67 г/см³, вплотную"
G1S_mar1l_risn379_100_p16,G1S16_Mix_Mar,Gamma-1S UDS-GC 63x63,"Маринелли, набивка РИСН-379 1 г/см³, вплотную"
G1S_petri60_oisn06_057_p24,G1S24_Cs137_Petri,Gamma-1S UDS-GC 63x63,"Петри-60, набивка ОИСН-06 0.567 г/см³, вплотную"
G1S_petri60_oisn06_062_p24,G1S24_Ra226_Petri,Gamma-1S UDS-GC 63x63,"Петри-60, набивка ОИСН-06 0.617 г/см³, вплотную"
G1S_petri60_oisn06_064_p24,G1S24_Th232_Petri,Gamma-1S UDS-GC 63x63,"Петри-60, набивка ОИСН-06 0.64 г/см³, вплотную"
G1S_petri60_oisn06_067_p24,G1S24_K40_Petri,Gamma-1S UDS-GC 63x63,"Петри-60, набивка ОИСН-06 0.667 г/см³, вплотную"
G1S_petri60_oisn10_100_p16,G1S16_Th232_Petri,Gamma-1S UDS-GC 63x63,"Петри-60, набивка ОИСН-10 1 г/см³, вплотную"
G1S_petri60_oisn16_155_p24,G1S24_K40_Petri_2,Gamma-1S UDS-GC 63x63,"Петри-60, набивка ОИСН-16 1.55 г/см³, вплотную"
G1S_petri60_oisn16_160_p24,G1S24_Th232_Petri_2,Gamma-1S UDS-GC 63x63,"Петри-60, набивка ОИСН-16 1.6 г/см³, вплотную"
G1S_petri60_oisn16_167_p24,G1S24_Cs137_Petri_2,Gamma-1S UDS-GC 63x63,"Петри-60, набивка ОИСН-16 1.667 г/см³, вплотную"
G1S_petri60_oisn16_167_p24,G1S24_Ra226_Petri_2,Gamma-1S UDS-GC 63x63,"Петри-60, набивка ОИСН-16 1.667 г/см³, вплотную"
G1S_petri60_risn379_100_p16,G1S16_Mix_Petri,Gamma-1S UDS-GC 63x63,"Петри-60, набивка РИСН-379 1 г/см³, вплотную"
