правило порога: доля уровня 0.70, окно уровня 3.0 кэВ (не меньше 4 каналов), рампа от подошвы 0.03 уровня не шире 5 кэВ, уровень держится не ниже 0.50 в окне 9 кэВ, хвост рампы 0.333 ширины подъёма, искать до 20 кэВ

== положительные контроли ==
  OK  S-кривая → порог у верха рампы: порог 14.40 кэВ, доля рампы в нём 0.977, через окно 1.000; рампа 7.60→14.40 кэВ (каналы 44→61; подошва 10.00, середина в канале 57 при уровне 8854, хвост 4)
  OK  жёсткий рез → первый канал: порог 27.20 кэВ; жёсткий рез 27.20 кэВ (канал 93 уже на уровне 5000)
  OK  пик на пороге → отступить к первому каналу: порог 8.00 кэВ; подъём от 8.00 кэВ кончается падением (пик на пороге) — порог по первому каналу
  OK  подъём на десятки кэВ → первый канал: порог 12.00 кэВ (первый ненулевой 12.00); подъём 15.20→21.20 кэВ (от подошвы к уровню 1662) шире рампы (5 кэВ) — порог по первому каналу 12.00
  OK  рампа со структурой над ней → порог у верха рампы: порог 14.80 кэВ, доля рампы в нём 0.990; рампа 8.00→14.80 кэВ (каналы 45→62; подошва 10.00, середина в канале 58 при уровне 1390, хвост 4)
  OK  пара: рез фона выше реза пробы → пол по фону: пол 44.00 кэВ; проба: жёсткий рез 27.20 кэВ (канал 93 уже на уровне 5000); фон: жёсткий рез 44.00 кэВ (канал 135 уже на уровне 100)
контроли: ВСЕ СОШЛИСЬ

спектр                     кто   1-й кан  1-й кэВ    порог чем взят                                                                пол пары чей
AS80_Th232WT20             фон       44     9.72    18.94 рампа 9.72→18.94 кэВ (каналы 44→69; подошва 14.14, середина в канале 63 при уровне 12369, хвост 6)     18.94 ФОН
AS80_Th232_v2              проба     48     0.68     8.03 рампа 0.68→8.03 кэВ (каналы 48→68; подошва 3.62, середина в канале 63 при уровне 2234, хвост 5)      8.03 равны
AS80_Th232_v2              фон       47     0.31     8.03 рампа 0.31→8.03 кэВ (каналы 47→68; подошва 3.25, середина в канале 63 при уровне 9539, хвост 5)      8.03 равны
AS80_UGlass                проба     49     8.01    14.94 рампа 8.01→14.94 кэВ (каналы 49→68; подошва 10.20, середина в канале 63 при уровне 2809, хвост 5)     15.30 ФОН
AS80_UGlass                фон       45     6.55    15.30 рампа 6.55→15.30 кэВ (каналы 45→69; подошва 10.20, середина в канале 63 при уровне 9539, хвост 6)     15.30 ФОН
ASN16_Am241                проба     31     0.06     0.43 рампа 0.06→0.43 кэВ (каналы 31→32; подошва 0.06, середина в канале 32 при уровне 17, хвост 0)      0.43 проба
ASN16_Am241                фон       18     0.34     0.34 жёсткий рез 0.34 кэВ (канал 18 уже на уровне 330)                           0.43 проба
ASN16_BrazilNuts           проба     12     0.29     0.29 жёсткий рез 0.29 кэВ (канал 12 уже на уровне 114)                           0.29 равны
ASN16_BrazilNuts           фон       12     0.29     0.29 жёсткий рез 0.29 кэВ (канал 12 уже на уровне 137)                           0.29 равны
ASN16_Charoite             проба     41     0.11     0.11 жёсткий рез 0.11 кэВ (канал 41 уже на уровне 4154)                          0.11 равны
ASN16_Charoite             фон       41     0.11     0.11 жёсткий рез 0.11 кэВ (канал 41 уже на уровне 3728)                          0.11 равны
ASN16_Charoite_v2          проба     33     0.18     0.18 жёсткий рез 0.18 кэВ (канал 33 уже на уровне 4791)                          0.18 равны
ASN16_Charoite_v2          фон       33     0.18     0.18 жёсткий рез 0.18 кэВ (канал 33 уже на уровне 3661)                          0.18 равны
ASN16_Cs137                проба     18     0.34     6.81 рампа 0.34→6.81 кэВ (каналы 18→35; подошва 2.24, середина в канале 31 при уровне 131059, хвост 4)      6.81 проба
ASN16_Cs137                фон       18     0.34     0.34 жёсткий рез 0.34 кэВ (канал 18 уже на уровне 330)                           6.81 проба
ASN16_Cs137_10cm           проба     18     0.34     0.34 подъём от 0.34 кэВ кончается падением (пик на пороге) — порог по первому каналу      0.34 равны
ASN16_Cs137_10cm           фон       18     0.34     0.34 жёсткий рез 0.34 кэВ (канал 18 уже на уровне 28)                            0.34 равны
ASN16_Granite              проба     28     0.61     0.61 жёсткий рез 0.61 кэВ (канал 28 уже на уровне 3)                             0.61 проба
ASN16_Granite              фон       27     0.23     0.23 подъём от 0.23 кэВ кончается падением (пик на пороге) — порог по первому каналу      0.61 проба
ASN16_Lu176                проба     14     0.34     0.71 рампа 0.34→0.71 кэВ (каналы 14→15; подошва 0.34, середина в канале 15 при уровне 23, хвост 0)      0.71 проба
ASN16_Lu176                фон       14     0.34     0.34 жёсткий рез 0.34 кэВ (канал 14 уже на уровне 308)                           0.71 проба
ASN16_Lu176_P0             проба     24     0.32     3.01 рампа 0.32→3.01 кэВ (каналы 24→31; подошва 0.32, середина в канале 29 при уровне 18, хвост 2)      4.55 ФОН
ASN16_Lu176_P0             фон       24     0.32     4.55 рампа 0.32→4.55 кэВ (каналы 24→35; подошва 0.32, середина в канале 32 при уровне 329, хвост 3)      4.55 ФОН
ASN16_Th232                проба     37     0.05     2.09 рампа 0.05→2.09 кэВ (каналы 37→42; подошва 0.05, середина в канале 41 при уровне 45, хвост 1)      2.09 проба
ASN16_Th232                фон       37     0.05     0.05 жёсткий рез 0.05 кэВ (канал 37 уже на уровне 266)                           2.09 проба
ASN16_Th232_Am241          проба     22     0.24     0.24 подъём от 0.24 кэВ кончается падением (пик на пороге) — порог по первому каналу      0.34 ФОН
ASN16_Th232_Am241          фон       18     0.34     0.34 жёсткий рез 0.34 кэВ (канал 18 уже на уровне 328)                           0.34 ФОН
ASN16_UGlass               проба     27     0.17     1.66 рампа 0.17→1.66 кэВ (каналы 27→31; подошва 0.17, середина в канале 30 при уровне 1865, хвост 1)      1.66 равны
ASN16_UGlass               фон       27     0.17     1.66 рампа 0.17→1.66 кэВ (каналы 27→31; подошва 0.17, середина в канале 30 при уровне 900, хвост 1)      1.66 равны
ASN3_Tile                  проба     26    26.58    27.76 рампа 26.58→27.76 кэВ (каналы 26→27; подошва 26.58, середина в канале 27 при уровне 8978, хвост 0)     27.76 проба
ASN3_Tile                  фон       26    23.80    25.05 рампа 23.80→25.05 кэВ (каналы 26→27; подошва 23.80, середина в канале 27 при уровне 1347, хвост 0)     27.76 проба
ASN8_Am241                 проба    101    33.05    33.05 жёсткий рез 33.05 кэВ (канал 101 уже на уровне 25749)                      46.45 ФОН
ASN8_Am241                 фон      137    46.45    46.45 жёсткий рез 46.45 кэВ (канал 137 уже на уровне 92)                         46.45 ФОН
ASN8_Th232_1024            проба     12    25.61    28.56 рампа 25.61→28.56 кэВ (каналы 12→13; подошва 25.61, середина в канале 13 при уровне 88044, хвост 0)     44.62 ФОН
ASN8_Th232_1024            фон       16    41.60    44.62 рампа 41.60→44.62 кэВ (каналы 16→17; подошва 41.60, середина в канале 17 при уровне 775, хвост 0)     44.62 ФОН
ASN8_Th232_2048            проба     24    26.13    27.60 рампа 26.13→27.60 кэВ (каналы 24→25; подошва 26.13, середина в канале 25 при уровне 40849, хвост 0)     40.04 ФОН
ASN8_Th232_2048            фон       33    40.04    40.04 жёсткий рез 40.04 кэВ (канал 33 уже на уровне 366)                         40.04 ФОН
ASN8_Th232_3000            проба     34    25.52    25.52 жёсткий рез 25.52 кэВ (канал 34 уже на уровне 51262)                       38.60 ФОН
ASN8_Th232_3000            фон       47    38.60    38.60 жёсткий рез 38.60 кэВ (канал 47 уже на уровне 748)                         38.60 ФОН
ASN8_Th232_4096            проба     49    26.94    27.67 рампа 26.94→27.67 кэВ (каналы 49→50; подошва 26.94, середина в канале 50 при уровне 46914, хвост 0)     38.89 ФОН
ASN8_Th232_4096            фон       66    38.89    38.89 жёсткий рез 38.89 кэВ (канал 66 уже на уровне 202)                         38.89 ФОН
ASN8_Th232_8192            проба     99    27.05    27.05 жёсткий рез 27.05 кэВ (канал 99 уже на уровне 23344)                       44.21 ФОН
ASN8_Th232_8192            фон      132    44.21    44.21 жёсткий рез 44.21 кэВ (канал 132 уже на уровне 103)                        44.21 ФОН
ASN8_UGlass                проба    101    24.07    24.07 жёсткий рез 24.07 кэВ (канал 101 уже на уровне 38093)                      37.58 ФОН
ASN8_UGlass                фон      137    37.58    37.58 жёсткий рез 37.58 кэВ (канал 137 уже на уровне 91)                         37.58 ФОН
G1S16_Am241_P25            проба      5     2.28     2.28 подъём 7.96→16.50 кэВ (от подошвы к уровню 2452) шире рампы (5 кэВ) — порог по первому каналу 2.28      2.28 равны (ниже пусто — не применяется)
G1S16_Am241_P25            фон        5     2.28     2.28 подъём 5.12→16.50 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 2.28      2.28 равны (ниже пусто — не применяется)
G1S16_Am241_P5             проба      5     1.23     1.23 подъём 6.95→15.52 кэВ (от подошвы к уровню 18167) шире рампы (5 кэВ) — порог по первому каналу 1.23      1.23 равны (ниже пусто — не применяется)
G1S16_Am241_P5             фон        5     1.23     1.23 подъём 1.23→15.52 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 1.23      1.23 равны (ниже пусто — не применяется)
G1S16_Ba133_P25            проба      5     8.92     8.92 подъём 20.20→25.84 кэВ (от подошвы к уровню 23793) шире рампы (5 кэВ) — порог по первому каналу 8.92      8.92 равны (ниже пусто — не применяется)
G1S16_Ba133_P25            фон        5     8.92     8.92 подъём 11.74→23.02 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 8.92      8.92 равны (ниже пусто — не применяется)
G1S16_Ba133_P5             проба      5     9.12     9.12 подъём 20.30→25.90 кэВ (от подошвы к уровню 301188) шире рампы (5 кэВ) — порог по первому каналу 9.12      9.12 равны (ниже пусто — не применяется)
G1S16_Ba133_P5             фон        5     9.12     9.12 подъём 9.12→23.10 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 9.12      9.12 равны (ниже пусто — не применяется)
G1S16_Cd109_P25            проба      5     9.36     9.36 подъём от 9.36 кэВ кончается падением (пик на пороге) — порог по первому каналу      9.36 равны (ниже пусто — не применяется)
G1S16_Cd109_P25            фон        5     9.36     9.36 подъём 12.21→23.60 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 9.36      9.36 равны (ниже пусто — не применяется)
G1S16_Cd109_P5             проба      5     7.94     7.94 подъём от 7.94 кэВ кончается падением (пик на пороге) — порог по первому каналу      7.94 равны (ниже пусто — не применяется)
G1S16_Cd109_P5             фон        5     7.94     7.94 подъём 7.94→22.25 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 7.94      7.94 равны (ниже пусто — не применяется)
G1S16_Ce139_P25            проба      5     9.05     9.05 подъём 17.55→28.91 кэВ (от подошвы к уровню 1374) шире рампы (5 кэВ) — порог по первому каналу 9.05      9.05 равны (ниже пусто — не применяется)
G1S16_Ce139_P25            фон        5     9.05     9.05 подъём 11.88→23.23 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 9.05      9.05 равны (ниже пусто — не применяется)
G1S16_Ce139_P5             проба      5     8.34     8.34 подъём 22.59→28.29 кэВ (от подошвы к уровню 15186) шире рампы (5 кэВ) — порог по первому каналу 8.34      8.34 равны (ниже пусто — не применяется)
G1S16_Ce139_P5             фон        5     8.34     8.34 подъём 8.34→22.59 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 8.34      8.34 равны (ниже пусто — не применяется)
G1S16_Co57_P5              проба      5     6.88     6.88 подъём 6.88→21.14 кэВ (от подошвы к уровню 40) шире рампы (5 кэВ) — порог по первому каналу 6.88      6.88 равны (ниже пусто — не применяется)
G1S16_Co57_P5              фон        5     6.88     6.88 подъём 6.88→21.14 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 6.88      6.88 равны (ниже пусто — не применяется)
G1S16_Co60_P25             проба      5    15.03    15.03 подъём 20.67→29.14 кэВ (от подошвы к уровню 980) шире рампы (5 кэВ) — порог по первому каналу 15.03     15.03 равны (ниже пусто — не применяется)
G1S16_Co60_P25             фон        5    15.03    15.03 подъём 17.85→29.14 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 15.03     15.03 равны (ниже пусто — не применяется)
G1S16_Co60_P5              проба      5     1.24     1.24 подъём 6.96→15.55 кэВ (от подошвы к уровню 5111) шире рампы (5 кэВ) — порог по первому каналу 1.24      1.24 равны (ниже пусто — не применяется)
G1S16_Co60_P5              фон        5     1.24     1.24 подъём 1.24→15.55 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 1.24      1.24 равны (ниже пусто — не применяется)
G1S16_Cs137_Mar            проба      5     3.73     3.73 подъём 9.60→21.35 кэВ (от подошвы к уровню 1455) шире рампы (5 кэВ) — порог по первому каналу 3.73      3.73 равны (ниже пусто — не применяется)
G1S16_Cs137_Mar            фон        5     3.73     3.73 подъём 3.73→18.41 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 3.73      3.73 равны (ниже пусто — не применяется)
G1S16_Cs137_Mar_2          проба      8     2.64     2.64 подъём 2.64→8.65 кэВ (от подошвы к уровню 1482) шире рампы (5 кэВ) — порог по первому каналу 2.64      2.64 равны
G1S16_Cs137_Mar_2          фон        8     2.64     2.64 подъём 2.64→8.65 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 2.64      2.64 равны
G1S16_Cs137_P25            проба      5    10.07    10.07 подъём 18.56→29.89 кэВ (от подошвы к уровню 4396) шире рампы (5 кэВ) — порог по первому каналу 10.07     10.07 равны (ниже пусто — не применяется)
G1S16_Cs137_P25            фон        5    10.07    10.07 подъём 12.90→24.22 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 10.07     10.07 равны (ниже пусто — не применяется)
G1S16_Cs137_P5             проба      5     3.39     3.39 подъём 9.09→23.36 кэВ (от подошвы к уровню 54532) шире рампы (5 кэВ) — порог по первому каналу 3.39      3.39 равны (ниже пусто — не применяется)
G1S16_Cs137_P5             фон        5     3.39     3.39 подъём 3.39→17.65 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 3.39      3.39 равны (ниже пусто — не применяется)
G1S16_Eu152_P25            проба      5     6.60     6.60 уровень не устоялся в 20 кэВ от 6.60 кэВ (растущий континуум) — порог по первому каналу      6.60 равны (ниже пусто — не применяется)
G1S16_Eu152_P25            фон        5     6.60     6.60 подъём 9.44→20.84 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 6.60      6.60 равны (ниже пусто — не применяется)
G1S16_Eu152_P5             проба      5     6.25     6.25 уровень не устоялся в 20 кэВ от 6.25 кэВ (растущий континуум) — порог по первому каналу      6.25 равны (ниже пусто — не применяется)
G1S16_Eu152_P5             фон        5     6.25     6.25 подъём 6.25→20.54 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 6.25      6.25 равны (ниже пусто — не применяется)
G1S16_K40_Mar              проба      7     2.76     2.76 подъём 2.76→14.54 кэВ (от подошвы к уровню 325) шире рампы (5 кэВ) — порог по первому каналу 2.76      2.76 равны
G1S16_K40_Mar              фон        7     2.76     2.76 подъём 2.76→11.60 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 2.76      2.76 равны
G1S16_K40_Mar_2            проба      9     1.14     1.14 подъём 1.14→7.30 кэВ (от подошвы к уровню 335) шире рампы (5 кэВ) — порог по первому каналу 1.14      4.22 ФОН
G1S16_K40_Mar_2            фон        9     1.14     4.22 рампа 1.14→4.22 кэВ (каналы 9→10; подошва 1.14, середина в канале 10 при уровне 976, хвост 0)      4.22 ФОН
G1S16_Mix_Denta100         проба      8     2.96     2.96 подъём 2.96→20.72 кэВ (от подошвы к уровню 7266) шире рампы (5 кэВ) — порог по первому каналу 2.96      2.96 равны
G1S16_Mix_Denta100         фон        8     2.96     2.96 подъём 2.96→8.88 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 2.96      2.96 равны
G1S16_Mix_Mar              проба      8     1.78     1.78 подъём 1.78→10.80 кэВ (от подошвы к уровню 39980) шире рампы (5 кэВ) — порог по первому каналу 1.78      1.78 равны
G1S16_Mix_Mar              фон        8     1.78     1.78 подъём 1.78→7.79 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 1.78      1.78 равны
G1S16_Mix_Petri            проба      8     2.12     2.12 подъём 2.12→19.95 кэВ (от подошвы к уровню 5637) шире рампы (5 кэВ) — порог по первому каналу 2.12      2.12 равны
G1S16_Mix_Petri            фон        8     2.12     2.12 подъём 2.12→8.07 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 2.12      2.12 равны
G1S16_Mn54_P25             проба      5     2.28     2.28 подъём 7.99→19.40 кэВ (от подошвы к уровню 727) шире рампы (5 кэВ) — порог по первому каналу 2.28      2.28 равны (ниже пусто — не применяется)
G1S16_Mn54_P25             фон        5     2.28     2.28 подъём 5.13→16.55 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 2.28      2.28 равны (ниже пусто — не применяется)
G1S16_Mn54_P5              проба     15     1.06     1.06 жёсткий рез 1.06 кэВ (канал 15 уже на уровне 1643)                          1.06 равны
G1S16_Mn54_P5              фон       15     1.06     1.06 жёсткий рез 1.06 кэВ (канал 15 уже на уровне 1111)                          1.06 равны
G1S16_Na22_P25             проба      5     6.21     6.21 подъём 11.89→20.41 кэВ (от подошвы к уровню 3857) шире рампы (5 кэВ) — порог по первому каналу 6.21      6.21 равны (ниже пусто — не применяется)
G1S16_Na22_P25             фон        5     6.21     6.21 подъём 9.05→20.41 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 6.21      6.21 равны (ниже пусто — не применяется)
G1S16_Na22_P5              проба      5    20.80    20.80 подъём 26.35→34.68 кэВ (от подошвы к уровню 13680) шире рампы (5 кэВ) — порог по первому каналу 20.80     20.80 равны (ниже пусто — не применяется)
G1S16_Na22_P5              фон        5    20.80    20.80 подъём 20.80→34.68 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 20.80     20.80 равны (ниже пусто — не применяется)
G1S16_Ra226_Mar            проба      6     2.17     2.17 подъём 5.13→16.94 кэВ (от подошвы к уровню 2593) шире рампы (5 кэВ) — порог по первому каналу 2.17      2.17 равны
G1S16_Ra226_Mar            фон        6     2.17     2.17 подъём 2.17→13.99 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 2.17      2.17 равны
G1S16_Ra226_Mar_2          проба      7     0.21     0.21 подъём 0.21→9.23 кэВ (от подошвы к уровню 4508) шире рампы (5 кэВ) — порог по первому каналу 0.21      0.21 равны
G1S16_Ra226_Mar_2          фон        7     0.21     0.21 подъём 0.21→9.23 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 0.21      0.21 равны
G1S16_Th228_P25            проба      5     5.29     5.29 подъём 8.13→19.52 кэВ (от подошвы к уровню 535) шире рампы (5 кэВ) — порог по первому каналу 5.29      5.29 равны (ниже пусто — не применяется)
G1S16_Th228_P25            фон        5     5.29     5.29 подъём 8.13→19.52 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 5.29      5.29 равны (ниже пусто — не применяется)
G1S16_Th228_P5             проба      6     1.01     1.01 подъём 3.97→12.83 кэВ (от подошвы к уровню 1129) шире рампы (5 кэВ) — порог по первому каналу 1.01      1.01 равны
G1S16_Th228_P5             фон        6     1.01     1.01 подъём 1.01→12.83 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 1.01      1.01 равны
G1S16_Th232_Denta100       проба      6     2.82     2.82 подъём 2.82→14.58 кэВ (от подошвы к уровню 303) шире рампы (5 кэВ) — порог по первому каналу 2.82      2.82 равны
G1S16_Th232_Denta100       фон        6     2.82     2.82 подъём 2.82→14.58 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 2.82      2.82 равны
G1S16_Th232_Mar            проба      5     1.38     1.38 подъём 7.27→16.11 кэВ (от подошвы к уровню 2008) шире рампы (5 кэВ) — порог по первому каналу 1.38      1.38 равны (ниже пусто — не применяется)
G1S16_Th232_Mar            фон        5     1.38     1.38 подъём 1.38→16.11 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 1.38      1.38 равны (ниже пусто — не применяется)
G1S16_Th232_Mar_2          проба      7     2.77     2.77 подъём 2.77→14.61 кэВ (от подошвы к уровню 3785) шире рампы (5 кэВ) — порог по первому каналу 2.77      2.77 равны
G1S16_Th232_Mar_2          фон        7     2.77     2.77 подъём 2.77→11.65 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 2.77      2.77 равны
G1S16_Th232_Mar_3          проба      5     0.72     0.72 подъём 6.61→15.45 кэВ (от подошвы к уровню 6039) шире рампы (5 кэВ) — порог по первому каналу 0.72      0.72 равны (ниже пусто — не применяется)
G1S16_Th232_Mar_3          фон        5     0.72     0.72 подъём 0.72→15.45 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 0.72      0.72 равны (ниже пусто — не применяется)
G1S16_Th232_Petri          проба      6     2.54     2.54 подъём 2.54→11.41 кэВ (от подошвы к уровню 219) шире рампы (5 кэВ) — порог по первому каналу 2.54      2.54 равны
G1S16_Th232_Petri          фон        6     2.54     2.54 подъём 2.54→14.36 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 2.54      2.54 равны
G1S16_Y88_P25              проба      6     5.12     5.12 подъём 5.12→19.37 кэВ (от подошвы к уровню 398) шире рампы (5 кэВ) — порог по первому каналу 5.12      5.12 проба
G1S16_Y88_P25              фон        5     2.28     2.28 подъём 5.12→16.52 кэВ (от подошвы к уровню 5545) шире рампы (5 кэВ) — порог по первому каналу 2.28      5.12 проба
G1S16_Y88_P5               проба      5     1.24     1.24 подъём 4.11→12.71 кэВ (от подошвы к уровню 110) шире рампы (5 кэВ) — порог по первому каналу 1.24      1.24 равны (ниже пусто — не применяется)
G1S16_Y88_P5               фон        5     1.24     1.24 подъём 1.24→15.58 кэВ (от подошвы к уровню 976) шире рампы (5 кэВ) — порог по первому каналу 1.24      1.24 равны (ниже пусто — не применяется)
G1S24_Am241_P5             проба      5     0.22     0.22 подъём 6.20→15.16 кэВ (от подошвы к уровню 75083) шире рампы (5 кэВ) — порог по первому каналу 0.22      0.22 равны (ниже пусто — не применяется)
G1S24_Am241_P5             фон        5     0.22     0.22 подъём 3.21→18.15 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 0.22      0.22 равны (ниже пусто — не применяется)
G1S24_Ba133_P5             проба      5     7.47     7.47 подъём 18.60→24.17 кэВ (от подошвы к уровню 512059) шире рампы (5 кэВ) — порог по первому каналу 7.47      7.47 равны (ниже пусто — не применяется)
G1S24_Ba133_P5             фон        5     7.47     7.47 подъём 10.25→24.17 кэВ (от подошвы к уровню 1305) шире рампы (5 кэВ) — порог по первому каналу 7.47      7.47 равны (ниже пусто — не применяется)
