spectrum,det,part,matrix_applied,grey_below_floor,grey_above_lines,grey_pct,spread_floor_kev,spread_floor_ch,residual_floor_kev,residual_floor_ch,first_ch,last_ch,stack_total,missing_pct,excess_pct
﻿spectrum,det,part,matrix_applied,grey_below_floor,grey_above_lines,grey_pct,spread_floor_kev,spread_floor_ch,residual_floor_kev,residual_floor_ch,first_ch,last_ch,stack_total,missing_pct,excess_pct
G1S24_Cs137_P25,G1S24,known,1,49596.6,32.6,5.177,100.0,37,30.0,12,0,1023,958689.2,3.213,2.446
G1S24_Na22_P25,G1S24,known,1,362430.7,23.8,7.581,100.0,40,30.0,15,0,1023,4781303.8,2.333,1.863
G1S24_Th228_P25,G1S24,known,1,114443.3,0.0,7.193,100.0,38,30.0,13,0,1023,1590961.2,2.934,2.897
G1S24_Y88_P25,G1S24,known,1,27603.8,0.0,5.379,100.0,37,30.0,12,0,1023,513164.5,2.459,2.361
G1S24_Am241_P5,G1S24,known,1,80345.5,4553.4,2.606,100.0,39,30.0,15,0,1023,3258233.5,10.427,2.262
G1S24_Ba133_P5,G1S24,known,1,280136.2,1213.3,3.367,100.0,39,30.0,14,0,1023,8356720.0,13.907,5.620
G1S24_Bi207_P5,G1S24,known,1,960450.9,30.7,6.485,100.0,36,30.0,11,0,1023,14811687.3,5.104,3.783
G1S24_Cd109_P5,G1S24,known,1,4653.6,789.4,10.824,100.0,38,30.0,13,0,1023,50285.8,64.264,6.754
G1S24_Co60_P5,G1S24,known,1,232705.6,16.8,4.486,100.0,35,30.0,10,0,1023,5188269.4,5.209,2.790
G1S24_Cs137_P5,G1S24,known,1,260297.6,0.0,5.003,100.0,38,30.0,13,0,1023,5202941.2,8.187,3.935
G1S24_Eu152_P5,G1S24,known,1,1987963.1,3234.0,4.472,100.0,38,30.0,13,0,1023,44530435.4,5.339,6.102
G1S24_Na22_P5,G1S24,known,1,1499284.9,0.0,5.470,100.0,31,30.0,5,0,1023,27410453.7,6.669,4.034
G1S24_Th228_P5,G1S24,known,1,2156412.2,0.0,5.930,100.0,41,30.0,17,6,1023,36363825.7,3.557,2.740
G1S24_Y88_P5,G1S24,known,1,198395.6,0.0,5.030,100.0,43,30.0,19,8,1023,3943954.7,3.782,2.770
G1S24_Zn65_P5,G1S24,known,1,1487.3,64.1,5.113,100.0,40,30.0,15,0,1023,30341.3,7.641,7.583
